int	int	int	int	int[]	int	int	int	int	int[]	int[]	int[]	int[]	int	int	int	string[]	string	int[]	int	int	int	int
ID	NpcID	MapID	line	showNpcs	length	showNameTime	BindMissionID	type	scale	NpcFace	PosX	PosY	shadow	effect	uieffect	mob	cam	Height	DialogueTime	Dialogue	soundId	soundTime
编号	NpcID	地图ID	功能线路id(1000不处理)	用于展示的npc	BossShow总时长(毫秒)	名字特效出现时机(毫秒)	绑定的任务ID	BossShow类型(0-服务端通知,1-npc出现,2-副本Loading完,3-场景秀只播放一次)	缩放100%	Npc朝向	坐标X 后两位为小数点	坐标Y 后两位为小数点	是否需要影子	特效ID	名字特效	模型名	摄像机动画预制体	计算高度(2d位置)x|y	剧情对话时间	剧情对话id	音效Id	音效开始播放时间
1	30902001	31090	1000	30902001	8000	0	0	2	200	128	1400	5000	1	3039	7001	M110	XiongMao_Xiu	0	5000	601041		
2	32503001	31250	1000	32503001|32501001|32501001|32501001|32501001|32501001|32501001|32501001|32502001|32504001	11000	0	0	2	100|100|100|100|100|100|100|100|100|300	128|96|65|32|1|228|192|160|128|128	2300|1900|1700|1900|2300|2700|2900|2700|2300|2300	2800|2600|2200|1800|1600|1800|2200|2600|2200|2200	1	0	7001	M104|M097|M097|M097|M097|M097|M097|M097|L004|SH01	Shfb_Camera	0	0	0	259	0
3	30203000	31190	1000	30203000	7400	5000	0	0	100	143	2300	3200	1	3025	7002	M065	Boss_Qlzf_Xiu	1500|1900	0	0	260	0
4	30203001	31190	1000	30203001	7400	5000	0	0	100	143	2300	3200	1	3025	7002	M065	Boss_Qlzf_Xiu	1500|1900	0	0	260	0
5	30203002	31190	1000	30203001	7400	5000	0	0	100	143	2300	3200	1	3025	7002	M065	Boss_Qlzf_Xiu	1500|1900	0	0	260	0
6	30203003	31190	1000	30203001	7400	5000	0	0	100	143	2300	3200	1	3025	7002	M065	Boss_Qlzf_Xiu	1500|1900	0	0	260	0
7	30203004	31190	1000	30203001	7400	5000	0	0	100	143	2300	3200	1	3025	7002	M065	Boss_Qlzf_Xiu	1500|1900	0	0	260	0
8	30203005	31190	1000	30203001	7400	5000	0	0	100	143	2300	3200	1	3025	7002	M065	Boss_Qlzf_Xiu	1500|1900	0	0	260	0
9	30203006	31190	1000	30203001	7400	5000	0	0	100	143	2300	3200	1	3025	7002	M065	Boss_Qlzf_Xiu	1500|1900	0	0	260	0
10	1007	10010	1000	1007	5250	0	1002	1	100	1	26000	6640	0	20002	0	N017	Boss_Cx_Sjz	0	0	0	250	0
11	201	52020	1000	0	5000	0	0	3	0	0	1680	1940	0	0	0	0	Boss_Fmt_Cj	0	0	0		
12	202	31080	1000	0	5000	0	0	3	0	0	2000	1900	0	0	0	0	Boss_Xjmj_Cj	0	0	0		
13	1008	10010	1000	1007	2500	0	1002	1	100	1	26000	6640	0	20003	0	N017A	Boss_DaShiXiong	0	0	0	318	0
14	31103002	41110	2	31103002	6000	3000	0	2	100	64	1887	1648	0	20004	7003	M126	Boss_Xiu_M126	0		0	254	0
15	31103001	41110	1	31103001	8200	5200	0	2	100	64	1887	1648	0	20005	7004	M128	Boss_Xiu_M128	0	0	0	253	1800
16	31103003	41110	3	31103003	10000	7000	0	2	100	64	1887	1648	0	20006	7005	M129	Boss_Xiu_M129	0	0	0	255	2500
17	31103004	41110	4	31103004	9300	6300	0	2	100	64	1887	1648	0	20007	7006	M132	Boss_Xiu_M132	0	0	0	256	0
18	30902001	41110	0	30902001	6500	4500	0	2	100	64	1887	1648	0	20008	7007	M131	Boss_Xiu_M131	0	0	0	252	0
19	31103005	41110	5	31103005	8750	7000	0	2	100	64	1887	1648	0	20009	7008	M133	Boss_Xiu_M133	0	0	0	257	0
20	31203011	41110	19	31203011	6200	4150	0	2	100	64	1887	1648	0	20010	7009	M139	Boss_Xiu_M139	0	0	0		
21	31203009	41110	17	31203009	7200	5000	0	2	100	64	1887	1648	0	20011	7010	M147	Boss_Xiu_M147	0	0	0		
22	31103008	41110	8	31103008	7500	5000	0	2	100	64	1887	1648	0	20012	7011	M136	Boss_Xiu_M136	0	0	0		
23	31103006	41110	6	31103006	7000	5000	0	2	100	64	1887	1648	0	20013	7012	M134	Boss_Xiu_M134	0	0	0		
24	31203006	41110	14	31203006	7150	4150	0	2	100	64	1887	1648	0	20014	7013	M137	Boss_Xiu_M137	0	0	0		
25	31203004	41110	12	31203004	7200	5000	0	2	100	64	1887	1648	0	20015	7014	M138	Boss_Xiu_M138	0	0	0		
26	31203005	41110	13	31203005	8150	4000	0	2	100	64	1887	1648	0	20016	7015	M140	Boss_Xiu_M140	0	0	0		
27	31103007	41110	7	31103007	8000	5000	0	2	100	64	1887	1648	0	20017	7016	M135	Boss_Xiu_M135	0	0	0		
28	31203001	41110	9	31203001	7200	5000	0	2	100	64	1887	1648	0	20018	7017	M150	Boss_Xiu_M150	0	0	0		
29	31203002	41110	10	31203002	10250	9000	0	2	100	64	1887	1648	0	20019	7018	M144	Boss_Xiu_M144	0	0	0		
30	31203003	41110	11	31203003	9150	7250	0	2	100	64	1887	1648	0	20020	7019	M146	Boss_Xiu_M146	0	0	0		
31	31203007	41110	15	31203007	7000	5000	0	2	100	64	1887	1648	0	20021	7020	M151	Boss_Xiu_M151	0	0	0		
32	31203008	41110	16	31203008	6500	4000	0	2	100	64	1887	1648	0	20022	7021	M141	Boss_Xiu_M141	0	0	0		
33	31203010	41110	18	31203010	7500	5500	0	2	100	64	1887	1648	0	20023	7022	M143	Boss_Xiu_M143	0	0	0		
34	31203014	41110	22	31203014	8000	5150	0	2	100	64	1887	1648	0	20024	7023	M145	Boss_Xiu_M145	0	0	0		
35	31203012	41110	20	31203012	6150	4000	0	2	100	64	1887	1648	0	20025	7024	M142	Boss_Xiu_M142	0	0	0		
36	31203013	41110	21	31203013	6020	4250	0	2	100	64	1887	1648	0	20026	7025	M148	Boss_Xiu_M148	0	0	0		
