int	int	int	int[]	int[]	int[]	int[]
ID	SuiteLv	CancelUseLimit	LegendAttrID	LegendAttrValue	OutOfPrintAttr	OutOfPrintAttrValue
定制物品ID	套装等级	穿戴限制(除职业)	传奇属性ID	传奇属性值	绝版属性ID	绝版最大属性值（公式）
6501	0	0	11|51	320|320		
6502	1	1	20|50|69	400|400|500		
6601	0	0	11|51|19	1250|400|400	79	132141
6602	0	0	11|51|19	1250|400|400	80	79285
6603	0	0	11|51|19	1250|400|400	79	132141
6604	0	0	11|51|19	1250|400|400	80	79285
6605	0	0	11|51|19	1250|400|400	79	132141
6606	0	0	11|51|19	1250|400|400	80	79285
6607	0	0	11|51|19	1250|400|400	79	132141
6608	0	0	11|51|19	1250|400|400	80	79285
6609	0	0	11|51|19	1250|400|400	79	132141
6610	0	0	11|51|19	1250|400|400	80	79285
6611	0	0	11|51|19	1250|400|400	79	132141
6612	0	0	11|51|19	1250|400|400	80	79285
6613	0	0	11|51|19	1250|400|400	79	132141
6614	0	0	11|51|19	1250|400|400	80	79285
6615	0	0	11|51|19	1250|400|400	79	132141
6616	0	0	11|51|19	1250|400|400	80	79285
6617	0	0	11|51|19	1250|400|400	79	132141
6618	0	0	11|51|19	1250|400|400	80	79285
3799	0	0	0	0	0	0
3798	0	0	0	0	0	0
6700	0	1	20|50|11	400|400|1250		
6701	0	1	50|11|22	400|1250|500		
6702	0	1	50|11|22	400|1250|500		
6703	0	1	20|50|69	400|400|500		
6704	0	1	50|69|22	400|500|500		
6705	0	1	50|69|22	400|500|500		
6706	0	1	20|50|69	400|400|500		
6707	0	1	50|69|22	400|500|500		
6708	0	1	50|69|22	400|500|500		
6709	0	1	20|50|69	400|400|500		
6710	0	1	50|69|22	400|500|500		
6711	0	1	50|69|22	400|500|500		
6712	0	1	20|50|69	400|400|500		
6713	0	1	50|69|22	400|500|500		
6714	0	1	50|69|22	400|500|500		
6715	0	0	50|69	320|400		
6716	0	0	51|19	320|320		
6717	0	0	51|19	320|320		
6718	0	0	51|19	320|320		
6800	0	1	20|50|11	400|400|1250		
6801	0	1	50|11|22	400|1250|500		
6802	0	1	50|11|22	400|1250|500		
6803	0	1	20|50|69	400|400|500		
6804	0	1	50|69|22	400|500|500		
6805	0	1	50|69|22	400|500|500		
6806	0	1	20|50|69	400|400|500		
6807	0	1	50|69|22	400|500|500		
6808	0	1	50|69|22	400|500|500		
6809	0	1	20|50|69	400|400|500		
6810	0	1	50|69|22	400|500|500		
6811	0	1	50|69|22	400|500|500		
6812	0	1	20|50|69	400|400|500		
6813	0	1	50|69|22	400|500|500		
6814	0	1	50|69|22	400|500|500		
6815	0	0	50|69	320|400		
6816	0	0	51|19	320|320		
6817	0	0	51|19	320|320		
6818	0	0	51|19	320|320		
6900	0	1	20|50|11	400|400|1250		
6901	0	1	50|11|22	400|1250|500		
6902	0	1	50|11|22	400|1250|500		
6903	0	1	20|50|69	400|400|500		
6904	0	1	50|69|22	400|500|500		
6905	0	1	50|69|22	400|500|500		
6906	0	1	20|50|69	400|400|500		
6907	0	1	50|69|22	400|500|500		
6908	0	1	50|69|22	400|500|500		
6909	0	1	20|50|69	400|400|500		
6910	0	1	50|69|22	400|500|500		
6911	0	1	50|69|22	400|500|500		
6912	0	1	20|50|69	400|400|500		
6913	0	1	50|69|22	400|500|500		
6914	0	1	50|69|22	400|500|500		
6915	0	0	50|69	320|400		
6916	0	0	51|19	320|320		
6917	0	0	51|19	320|320		
6918	0	0	51|19	320|320		
7000	0	1	12|70|15	500|2000|1000		
7001	0	1	12|15|25	500|1000|1000		
7002	0	1	12|25	400|800		
7003	0	1	11|12|15	1250|500|1000		
6919	0	0	15	500		
6920	0	0	15	500		
6921	0	0	15	500		
6922	0	0	15	500		
6619	0	0	11|51|15	1000|320|1000		
6620	0	0	11|51|15	1000|320|1000		
6621	0	0	11|51|15	1000|320|1000		
6622	0	0	11|51|15	1000|320|1000		
