int	int	int	int
ID	FuncID	MaxUseCnt	RecycleExp
物品ID	所属功能ID,0:灵宠,1:加坐骑上 2:丹药	最大可使用数量	回收炼丹炉经验值
4181	0	500	10
4182	0	300	10
4183	0	20	759
4184	0	200	10
4185	0	20	915
4186	0	10	10
4187	0	10	10
4188	0	10	10
4189	0	1	10
4190	0	1	10
4191	0	1	10
4192	0	1	10
191	1	50	10
192	1	50	10
193	1	50	10
194	1	60	10
195	1	60	10
196	1	30	10
197	1	500	10
198	1	300	10
199	1	100	10
200	1	10	509
201	1	10	665
204	1	15	10
205	1	15	10
206	1	1	10
202	1	1	10
203	1	1	10
4696	1	1	10
4697	1	1	10
4698	1	1	10
4699	0	1	10
4700	0	1	10
4701	0	1	10
4702	1	1	10
4703	1	1	10
4704	1	1	10
207	1	1	10
208	1	1	10
209	1	1	10
4706	2	5	50
4707	2	5	84
4716	2	10	84
4708	2	5	144
4712	2	15	144
4717	2	10	144
4721	2	6	144
4709	2	10	259
4713	2	30	259
4718	2	20	259
4722	2	12	259
4725	2	15	259
4710	2	15	415
4714	2	45	415
4719	2	30	415
4723	2	18	415
4726	2	20	415
4728	2	15	415
4711	2	20	622
4715	2	60	622
4720	2	40	622
4724	2	24	622
4727	2	25	622
4729	2	20	622
4730	2	2	259
4731	2	2	415
4732	2	5	622
4733	2	5	622
4655	2	50	134
4687	2	50	244
4688	2	50	1622
4676	2	5	1622
4677	2	5	1622
974	2	50	10
975	2	50	10
976	2	50	10
977	2	50	10
