int	int	int	int[]	string
NPCID	FloorNum	MonsterType	RareItemID	PortraitID
NPC表编号	BOSS所在层数	怪物类型	珍稀掉落物品ID	头像ID
30301001	1	1	3801|8045|10471|20471|10474|4611|4612|194	Body_M006
30301002	2	1	3802|3801|8045|10471|20471|4611|4612|194	Body_M031
30303001	1	2	10451|10452|10454|10455|20451|20452|20454|20455	Body_M126
30303002	1	2	10451|10452|10454|20451|20452|20454|20453|3801	Body_M128
30303003	1	2	10571|20571|10574|20574|10551|20551|3802|3801	Body_M129
30303004	1	2	9073|10571|20571|10551|20551|20554|3802|3801	Body_M132
30303005	1	2	9073|10671|20671|10651|20651|20654|3802|3801	Body_M133
30303006	1	2	9073|10671|20671|10651|20651|20654|3802|3801	Body_M134
30303007	1	2	9073|10771|20771|10751|20751|20754|3803|3802	Body_M135
30303008	2	2	10571|20571|10574|20574|10551|20551|3802|3801	Body_M028
30303009	2	2	9073|10571|20571|10551|20551|20554|3802|3801	Body_M705
30303010	2	2	9073|10671|20671|10651|20651|20654|3803|3802	Body_M042
30303011	2	2	9073|10771|20771|10751|20751|20754|3803|3802	Body_M049
30303012	2	2	9073|10871|20871|10851|20851|3804|3803|3802	Body_M056
