int	int	int
NPCID	MapID	StoneNPCID
NPC表编号	BOSS所在地图ID	墓碑NPCID
10403001	10040	2000
10503001	10050	2001
10603001	10060	2002
10703001	10070	2003
10803001	10080	2004
20103001	21070	2005
20103002	21070	2006
20103003	21070	2007
20103004	21070	2008
20103005	21070	2009
20103006	21070	2010
20103007	21070	2011
20203001	21100	2012
20203002	21100	2013
20203003	21100	2014
20203004	21100	2015
20203005	21100	2016
20203006	21100	2017
20203007	21100	2018
30303001	31020	2019
30303002	31020	2020
30303003	31020	2021
30303004	31020	2022
30303005	31020	2023
30303006	31020	2024
30303007	31020	2025
30303008	31030	2026
30303009	31030	2027
30303010	31030	2028
30303011	31030	2029
30303012	31030	2030
31503001	31150	2031
31503002	31150	2032
31503003	31150	2033
31503004	31150	2034
31503005	31150	2035
31503006	31150	2036
31503007	31150	2037
31503008	31150	2038
60203004	52010	
60203005	52010	
60203006	52010	
60203007	52010	
60203008	52010	
60203009	52010	
60203010	52010	
60203011	52010	
60203012	52010	
60203013	52010	
60203014	52010	
60203015	52010	
60203016	52010	
60203017	52010	
60203018	52010	
60203019	52010	
60203020	52010	
