int	string	string	string	int	float	int	int	int	string	string	int
RecordID	Title	OrderInfo	AppId	DailyBuyCount	PayRMBNum	GainGold	GainGoldPaper	FirstGoldPaperPrize	GainItemList	Icon	PayType
记录ID	商品名称	商品编号	用于渠道判断	每日限购次数	付费额度（元）	获得仙玉数量	奖励仙玉数量	首次充值该档位赠送仙玉	获得物品列表	充值底图	充值类型
1	暴击神兵宝箱	snqxz.18	424064855	1	18	0	0	0	[[2317,1,1],[109,2,1],[108,5,1],[107,10,1]]	CTG_18	1
2	6元	snqxz.6	424064855	0	6	60	0	0	[]	CTG_6	2
3	30元	snqxz.30	424064855	0	30	300	0	0	[]	CTG_30	2
4	98元	snqxz.98	424064855	0	98	980	0	0	[]	CTG_98	2
5	128元	snqxz.128	424064855	0	128	1280	0	0	[]	CTG_128	2
6	198元	snqxz.198	424064855	0	198	1980	0	0	[]	CTG_198	2
7	328元	snqxz.328	424064855	0	328	3280	0	0	[]	CTG_328	2
8	648元	snqxz.648	424064855	0	648	6480	0	0	[]	CTG_648	2
101	暴击神兵宝箱	lxj.18	226114725	1	18	0	0	0	[[2317,1,1],[109,2,1],[108,5,1],[107,10,1]]	CTG_18	1
102	10元	lxj.10	226114725	0	10	100	0	0	[]	CTG_6	2
103	30元	lxj.30	226114725	0	30	300	0	0	[]	CTG_30	2
104	98元	lxj.98	226114725	0	98	980	60	0	[]	CTG_98	2
105	128元	lxj.128	226114725	0	128	1280	108	0	[]	CTG_128	2
106	198元	lxj.198	226114725	0	198	1980	198	0	[]	CTG_198	2
107	328元	lxj.328	226114725	0	328	3280	388	0	[]	CTG_328	2
108	648元	lxj.648	226114725	0	648	6480	888	0	[]	CTG_648	2
109	3000元	lxj.3000	226114725	0	3000	30000	5888	0	[]	CTG_3000	3
110	1元	lxj.01	226114725	0	1	10	1	0	[]		4
