int	int	int	int	int
BoxID	ExpendItemID	ExpendCount	OpenMoney	OpenShow
宝箱ID	开启消耗物品	消耗个数	开启所需仙玉	开启展示判断
2200	0	0	0	1
2201	0	0	0	1
2202	0	0	0	1
2203	0	0	0	1
2204	0	0	0	0
2205	0	0	0	1
2206	0	0	0	1
2207	0	0	0	0
2208	0	0	0	0
2209	0	0	0	0
2210	0	0	0	1
2211	0	0	0	0
2212	0	0	0	1
2213	0	0	0	1
2214	0	0	0	1
2215	0	0	0	1
2216	0	0	0	1
2217	0	0	0	1
2218	0	0	0	1
2219	0	0	0	1
2220	0	0	0	1
2221	0	0	0	1
2222	0	0	0	1
2223	0	0	0	1
2224	0	0	0	1
2225	0	0	0	1
2226	0	0	0	1
2227	0	0	0	1
2228	0	0	0	1
2229	0	0	0	1
2230	0	0	0	1
2231	0	0	0	1
2232	0	0	0	1
2233	0	0	0	1
2234	0	0	0	1
2235	0	0	0	1
2236	0	0	0	1
2237	0	0	0	1
2238	0	0	0	1
2240	0	0	0	1
2241	0	0	0	0
2242	0	0	0	1
2250	0	0	0	1
2251	0	0	0	1
2252	0	0	0	1
2253	0	0	0	1
2254	0	0	0	1
2255	0	0	0	1
2256	0	0	0	1
2257	0	0	0	1
2258	0	0	0	1
2259	0	0	0	1
2260	0	0	0	1
2261	0	0	0	1
2262	0	0	0	1
2263	0	0	0	1
2264	0	0	0	1
2265	0	0	0	1
2266	0	0	0	1
2267	0	0	0	1
2268	0	0	0	1
2269	0	0	0	1
2270	0	0	0	1
2271	0	0	0	1
2272	0	0	0	1
2273	0	0	0	1
2274	0	0	0	1
2275	0	0	0	1
2276	0	0	0	1
2277	0	0	0	1
2278	0	0	0	1
2279	0	0	0	0
2280	0	0	0	0
2281	0	0	0	0
2282	0	0	0	0
2283	0	0	0	0
2284	0	0	0	0
2285	0	0	0	0
2286	0	0	0	0
2287	0	0	0	0
2288	0	0	0	0
2289	0	0	0	1
2290	0	0	0	1
2291	0	0	0	1
2292	0	0	0	1
2293	0	0	0	1
2294	0	0	0	1
2295	0	0	0	1
2296	0	0	0	1
2297	0	0	0	1
2298	0	0	0	1
2299	0	0	0	0
2300	0	0	0	0
2301	0	0	0	1
2302	0	0	0	1
2303	0	0	0	1
2304	0	0	0	1
2305	0	0	0	1
2306	0	0	0	1
2307	0	0	0	1
2308	0	0	0	1
2309	0	0	0	1
2310	0	0	0	1
2311	0	0	0	1
2312	0	0	0	1
2317	0	0	388	1
2318	0	0	0	1
2319	0	0	0	1
2320	0	0	0	0
2321	0	0	0	0
2322	0	0	0	0
2323	0	0	0	0
2324	0	0	0	0
