int	int	int	string	string
ID	BoxID	BoxLV	SelectList	 JobItem
数据ID	宝箱ID	宝箱等级	选择物品库	职业替换物品组
1	2200	0		
2	2201	0		
3	2202	0		
4	2203	0		
5	2204	0	144_10|143_30	
6	2205	0		[[5011,5021,5031],[5012,5022,5032],[5013,5023,5033],[5014,5024,5034],[5015,5025,5035]]
7	2206	0		
8	2301	0		
21	2207	0		
22	2263	0		
23	2264	0		
24	2265	0		
25	2266	0		
26	2267	0		
41	2208	0	4314_1|4319_1|4349_1|4354_1	
42	2209	0	4335_1|4370_1|4375_1|4380_1	
43	2210	0		
50	2211	0		
52	2212	0		
51	2213	0		
61	2214	0		
62	2215	0		
63	2216	0		
64	2217	0		
65	2218	0		
66	2219	0		
67	2220	0		
68	2221	0		
69	2222	0		
70	2223	0		
81	2224	0		[[10585,20585,30585]]
82	2225	0		[[10587,20587,30587]]
83	2226	0		[[10583,20583,30583]]
84	2227	0		[[10586,20586,30586]]
85	2228	0		[[10584,20584,30584]]
86	2229	0		[[10575,20575,30575]]
87	2230	0		[[10577,20577,30577]]
88	2231	0		[[10573,20573,30573]]
89	2232	0		[[10576,20576,30576]]
90	2233	0		[[10574,20574,30574]]
91	2234	0		[[10565,20565,30565]]
92	2235	0		[[10567,20567,30567]]
93	2236	0		[[10563,20563,30563]]
94	2237	0		[[10566,20566,30566]]
95	2238	0		[[10564,20564,30564]]
102	2240	0		[[10362,20362,30362]]
111	2241	0	4313_1|4318_1|4393_1|4383_1	
112	2242	0		[[10462,20462,30462]]
201	2250	0		
202	2251	0		
203	2252	0		
204	2253	0		
205	2254	0		
206	2255	0		
207	2256	0		
208	2257	0		
209	2258	0		
210	2259	0		
211	2260	0		
212	2261	0		
213	2262	0		
221	2268	0		
222	2269	0		
223	2270	0		
224	2271	0		
225	2272	0		
226	2273	0		
227	2274	0		
228	2275	0		
229	2276	0		
230	2277	0		
231	2278	0	6601_1|6602_1	[[6601,6613,6607],[6602,6614,6608]]
232	2279	0	10573_1|10574_1|10575_1|10576_1|10577_1	[[10573,20573,30573],[10574,20574,30574],[10575,20575,30575],[10576,20576,30576],[10577,20577,30577]]
233	2280	0	10583_1|10584_1|10585_1|10586_1|10587_1	[[10583,20583,30583],[10584,20584,30584],[10585,20585,30585],[10586,20586,30586],[10587,20587,30587]]
234	2281	0	10673_1|10674_1|10675_1|10676_1|10677_1	[[10673,20673,30673],[10674,20674,30674],[10675,20675,30675],[10676,20676,30676],[10677,20677,30677]]
235	2282	0	10683_1|10684_1|10685_1|10686_1|10687_1	[[10683,20683,30683],[10684,20684,30684],[10685,20685,30685],[10686,20686,30686],[10687,20687,30688]]
236	2283	0	10773_1|10774_1|10775_1|10776_1|10777_1	[[10773,20773,30773],[10774,20774,30774],[10775,20775,30775],[10776,20776,30776],[10777,20777,30777]]
237	2284	0	10783_1|10784_1|10785_1|10786_1|10787_1	[[10783,20783,30783],[10784,20784,30784],[10785,20785,30785],[10786,20786,30786],[10787,20787,30787]]
238	2285	0	10873_1|10874_1|10875_1|10876_1|10877_1	[[10873,20873,30873],[10874,20874,30874],[10875,20875,30875],[10876,20876,30876],[10877,20877,30877]]
239	2286	0	10883_1|10884_1|10885_1|10886_1|10887_1	[[10883,20883,30883],[10884,20884,30884],[10885,20885,30885],[10886,20886,30886],[10887,20887,30887]]
240	2287	0	10973_1|10974_1|10975_1|10976_1|10977_1	[[10973,20973,30973],[10974,20974,30974],[10975,20975,30975],[10976,20976,30976],[10977,20977,30977]]
241	2288	0	10983_1|10984_1|10985_1|10986_1|10987_1	[[10983,20983,30983],[10984,20984,30984],[10985,20985,30985],[10986,20986,30986],[10987,20987,30987]]
250	2289	0		
251	2290	0		
252	2291	0		
253	2292	0		
254	2293	0		
255	2294	0		
256	2295	0		
257	2296	0		
258	2297	0		
259	2298	0		
242	2299	0	10473_1|10474_1|10475_1|10476_1|10477_1	[[10473,20473,30473],[10474,20474,30474],[10475,20475,30475],[10476,20476,30476],[10477,20477,30477]]
243	2300	0	10483_1|10484_1|10485_1|10486_1|10487_1	[[10483,20483,30483],[10484,20484,30484],[10485,20485,30485],[10486,20486,30486],[10487,20487,30488]]
260	2302	0		
261	2303	0		
262	2304	0		
263	2305	0		[[10331,20331,30331],[10332,20332,30332],[10333,20333,30333],[10334,20334,30334],[10335,20335,30335],[10336,20336,30336],[10337,20337,30337],[10341,20341,30341],[10342,20342,30342],[10343,20343,30343],[10344,20344,30344],[10345,20345,30345],[10346,20346,30346],[10347,20347,30347],[10321,20321,30321],[10322,20322,30322],[10323,20323,30323],[10324,20324,30324],[10325,20325,30325],[10326,20326,30326],[10327,20327,30327],[10351,20351,30351],[10352,20352,30352],[10353,20353,30353],[10354,20354,30354],[10355,20355,30355],[10356,20356,30356],[10357,20357,30357]]
264	2306	0		[[10331,20331,30331],[10332,20332,30332],[10333,20333,30333],[10334,20334,30334],[10335,20335,30335],[10336,20336,30336],[10337,20337,30337],[10341,20341,30341],[10342,20342,30342],[10343,20343,30343],[10344,20344,30344],[10345,20345,30345],[10346,20346,30346],[10347,20347,30347],[10321,20321,30321],[10322,20322,30322],[10323,20323,30323],[10324,20324,30324],[10325,20325,30325],[10326,20326,30326],[10327,20327,30327],[10351,20351,30351],[10352,20352,30352],[10353,20353,30353],[10354,20354,30354],[10355,20355,30355],[10356,20356,30356],[10357,20357,30357]]
265	2307	0		[[10431,20431,30431],[10432,20432,30432],[10433,20433,30433],[10434,20434,30434],[10435,20435,30435],[10436,20436,30436],[10437,20437,30437],[10441,20441,30441],[10442,20442,30442],[10443,20443,30443],[10444,20444,30444],[10445,20445,30445],[10446,20446,30446],[10447,20447,30447],[10421,20421,30421],[10422,20422,30422],[10423,20423,30423],[10424,20424,30424],[10425,20425,30425],[10426,20426,30426],[10427,20427,30427],[10451,20451,30451],[10452,20452,30452],[10453,20453,30453],[10454,20454,30454],[10455,20455,30455],[10456,20456,30456],[10457,20457,30457]]
