int	int	int	int[]	int[]	string	int	int	int	int[]	int[]	int[]	int	int
NPCID	LineID	Time	ParticipateItemID	RareItemID	PortraitID	SpecialItemMark	CanEnterTimes	AutoAttention	Job1	Job2	Job3	KillHurtMin	KillHurtMax
NPC表编号	线路id	击杀总时间(秒)	参与奖励掉落物品ID	击杀大奖掉落物品ID	半身像ID	特殊物品标识	可进入次数	是否执行自动关注逻辑	枪豪npc穿戴的装备	道师npc穿戴的装备	剑修npc穿戴的装备	虚假伤害记录下限	虚假伤害记录上限
60203001	0	25	10114|10113|10115|10116|20114|20113|20115|1009	10114|10113|10115|10116|20114|20113|20115|1009	Body_M007	0	1	0	10134|10131|10132	20134|20131|20132	30134|30131|30132	10000	20000
60203002	1	30	10113|10114|10115|10116|20113|20114|20115|1010	10113|10114|10115|10116|20113|20114|20115|1010	Body_M014	0	1	0	10234|10231|10232	20234|20231|20232	30234|30231|30232	20000	30000
60203003	2	35	10114|10113|10115|10116|20114|20113|20115|1011	10114|10113|10115|10116|20114|20113|20115|1011	Body_M021	0	1	0	10234|10231|10232	20234|20231|20232	30234|30231|30232	30000	40000
60203004	3	40	10324|10323|10325|10326|20324|20323|2321|987	10324|10323|10325|10326|20324|20323|2321|987	Body_M028	10324	0	1	10334|10331|10332	20334|20331|20332	30334|30331|30332	40000	50000
60203005	4	40	10324|10323|10325|10326|20324|20323|2321|987	10324|10323|10325|10326|20324|20323|2321|987	Body_M128	10324	0	1	10334|10331|10332	20334|20331|20332	30334|30331|30332	50000	60000
60203006	5	50	10344|10343|10345|10346|20344|20343|2321|987	10344|10343|10345|10346|20344|20343|2321|987	Body_M129	2321	0	1	10434|10431|10432	20434|20431|20432	30434|30431|30432	60000	70000
60203007	6	60	10344|10343|10345|10346|20344|20343|2321|987	10344|10343|10345|10346|20344|20343|2321|987	Body_M132	2321	0	1	10434|10431|10432|3711	20434|20431|20432|3721	30434|30431|30432	70000	80000
60203008	7	65	4609|10444|10445|10446|10444|20443|2321|987	4609|10444|10445|10446|10444|20443|2321|987	Body_M133	4609	0	1					
60203009	8	70	5012|5022|3801|4609|2321|10444|20444|987	5012|5022|3801|4609|2321|10444|20444|987	Body_M134	3801	0	1					
60203010	9	73	5012|5022|3801|4610|2321|10544|20544|987	5012|5022|3801|4610|2321|10544|20544|987	Body_M135	5012	0	1					
60203011	10	76	5012|5022|3801|4610|2321|10544|20544|987	5012|5022|3801|4610|2321|10544|20544|987	Body_M078	4610	0	1					
60203012	11	79	5012|5022|3801|4610|2321|10644|20644|987	5012|5022|3801|4610|2321|10644|20644|987	Body_M079	4610	0	1					
60203013	12	82	5012|5022|3801|4610|2321|10644|20644|987	5012|5022|3801|4610|2321|10644|20644|987	Body_M080	4610	0	1					
60203014	13	85	5012|5022|4608|4610|2321|10744|20744|987	5012|5022|4608|4610|2321|10744|20744|987	Body_M081	4608	0	1					
60203015	14	88	5012|5022|4608|4610|2321|10744|20744|987	5012|5022|4608|4610|2321|10744|20744|987	Body_M082	4608	0	1					
60203016	15	91	5012|5022|4606|4608|2321|10844|20844|987	5012|5022|4606|4608|2321|10844|20844|987	Body_M705	4606	0	1					
60203017	16	94	5012|5022|4606|4608|2321|10844|20844|987	5012|5022|4606|4608|2321|10844|20844|987	Body_M056	4606	0	1					
