int	int	int[]
ID	RecommendPower	RecommendWay
法宝ID	推荐战力	推荐战力提升路径
201	49986	101|201|301|401
202	223689	102|202|302|402|501
203	348434	103|701|303|403|203|502
204	604305	104|702|304|404|204|503
205	893266	105|703|305|405|205|901
206	1221045	106|704|306|406|206|1101
207	1655766	107|705|307|407|504|1102
208	2230923	108|706|308|1001|505|1103
209	3296018	109|707|408|1002|506|1104
210	4947813	110|708|309|1003|1105|902
211	6063971	111|709|409|1004|507|1106
212	7277070	112|710|310|1005|508|1107
213	9486692	113|711|410|1006|509|1108
214	12403259	114|712|311|1007|510|1109
215	16792346	115|713|411|1008|1110|903
