int	string
id	word
主键	屏蔽词
1	谋杀
2	杀人
3	吸毒
4	贩毒
5	赌博
6	拐卖
7	走私
8	卖淫
9	造反
10	监狱
11	强奸
12	轮奸
13	抢劫
14	先奸后杀
15	下注
16	押大
17	押小
18	抽头
19	坐庄
20	赌马
21	赌球
22	筹码
23	老虎机
24	轮盘赌
25	安非他命
26	大麻
27	可卡因
28	海洛因
29	冰毒
30	摇头丸
31	杜冷丁
32	鸦片
33	罂粟
34	迷幻药
35	白粉
36	嗑药
37	吸毒
38	冰粉
39	中央
40	中南海
41	安拉
42	特朗普
43	朴槿惠
44	法轮功
45	道教
46	多维
47	佛教
48	佛祖
49	释迦牟尼
50	如来
51	阿弥陀佛
52	观世音
53	普贤
54	文殊
55	地藏
56	河殇
57	回教
58	密宗
59	摩门教
60	穆罕默德
61	穆斯林
62	升天
63	圣母
64	圣战
65	耶和华
66	耶稣
67	伊斯兰
68	真主安拉
69	白莲教
70	天主教
71	基督教
72	东正教
73	大法
74	法轮
75	法轮功
76	瘸腿帮
77	真理教
78	真善忍
79	转法轮
80	自焚
81	走向圆满
82	黄大仙
83	风水
84	跳大神
85	神汉
86	神婆
87	真理教
88	大卫教
89	阎王
90	黑白无常
91	牛头马面
92	古兰经
93	轉法輪
94	藏独
95	高丽棒子
96	回回
97	疆独
98	蒙古鞑子
99	台独
100	台独分子
101	台联
102	台湾民国
103	西藏独立
104	新疆独立
105	南蛮
106	老毛子
107	回民吃猪肉
108	全能神
109	实际神
110	东方闪电
111	占中
112	呼喊派
113	七灵派
114	徒弟会
115	灵灵教
116	新约教会
117	主神教
118	被立王
119	灵仙真佛宗
120	灵仙真舍总堂
121	爱的家庭
122	达米宣教会
123	毛泽东
124	周恩来
125	刘少奇
126	朱德
127	彭德怀
128	林彪
129	刘伯承
130	陈毅
131	贺龙
132	聂荣臻
133	徐向前
134	罗荣桓
135	叶剑英
136	李大钊
137	陈独秀
138	孙中山
139	孙文
140	孙逸仙
141	邓小平
142	陈云
143	江泽民
144	李鹏
145	朱镕基
146	李瑞环
147	尉健行
148	李岚清
149	胡锦涛
150	罗干
151	温家宝
152	吴邦国
153	曾庆红
154	贾庆林
155	黄菊
156	吴官正
157	李长春
158	吴仪
159	回良玉
160	曾培炎
161	周永康
162	曹刚川
163	唐家璇
164	华建敏
165	陈至立
166	陈良宇
167	张德江
168	张立昌
169	俞正声
170	王乐泉
171	刘云山
172	王刚
173	王兆国
174	刘淇
175	贺国强
176	郭伯雄
177	胡耀邦
178	王乐泉
179	王兆国
180	周永康
181	李登辉
182	连战
183	陈水扁
184	宋楚瑜
185	吕秀莲
186	郁慕明
187	蒋介石
188	蒋中正
189	蒋经国
190	马英九
191	习近平
192	李克强
193	杨尚昆
194	王光美
195	郭振家
196	陈秋平
197	蒋达德
198	陈忠财
199	樊金源
200	赵文淦
201	张国栋
202	石宗源
203	于永湛
204	桂晓风
205	杨牧之
206	任泽民
207	沈仁干
208	石峰
209	吴帮国
210	无帮国
211	无邦国
212	无帮过
213	瘟家宝
214	假庆林
215	甲庆林
216	假青林
217	离长春
218	习远平
219	袭近平
220	李磕墙
221	贺过墙
222	和锅枪
223	粥永康
224	轴永康
225	肘永康
226	周健康
227	粥健康
228	周小康
229	王刚
230	王乐泉
231	王兆国
232	王岐山
233	回良玉
234	刘淇
235	刘云山
236	刘延东
237	李长春
238	李克强
239	李源潮
240	吴邦国
241	汪洋
242	张高丽
243	张德江
244	周永康
245	胡锦涛
246	俞正声
247	贺国强
248	贾庆林
249	徐才厚
250	郭伯雄
251	温家宝
252	薄熙来
253	王立军
254	郭振家
255	李闽榕
256	蒋达德
257	陈忠财
258	樊金源
259	赵文淦
260	张国栋
261	国民党
262	打倒国民党
263	日本帝国
264	草泥马
265	达赖
266	汪洋
267	彭德懷
268	周恩來
269	毛澤東
270	鄧小平
271	日
272	习近平
273	李克强
274	彭丽圆
275	回民猪
276	安倍晋三
277	特朗普
278	川普
279	金三胖
280	萨德
281	尖阁群岛
282	金正男
283	仿真枪出售
284	is组织
285	朴槿惠
286	南海问题
287	南沙群岛
288	萨德
289	布什
290	布莱尔
291	小泉
292	纯一郎
293	萨马兰奇
294	安南
295	阿拉法特
296	普京
297	默克尔
298	克林顿
299	里根
300	尼克松
301	林肯
302	杜鲁门
303	赫鲁晓夫
304	列宁
305	斯大林
306	马克思
307	恩格斯
308	金正日
309	金日成
310	萨达姆
311	胡志明
312	西哈努克
313	希拉克
314	撒切尔
315	阿罗约
316	曼德拉
317	卡斯特罗
318	富兰克林
319	华盛顿
320	艾森豪威尔
321	拿破仑
322	亚历山大
323	路易
324	拉姆斯菲尔德
325	劳拉
326	鲍威尔
327	奥巴马
328	野田佳彦
329	玄叶光一郎
330	石原慎太郎
331	本拉登
332	奥马尔
333	柴玲
334	达赖喇嘛
335	江青
336	张春桥
337	姚文元
338	王洪文
339	东条英机
340	希特勒
341	墨索里尼
342	冈村秀树
