int	int	int	int	string	int	int	int	int	int[]	int	int	int	int	string	int[]	int[]	string	int	int	int
ID	DataMapID	LineID	MapID	FBName	LVLimitMin	LVLimitMax	JobRankLimit	TicketID	TicketCostCnt	TicketPrice	SweepLVLimit	SweepItemID	SweepCostCnt	StepTime	BossActorID	Rewards	Description	AutomaticATK	MapButton	ShowNewItemTip
唯一id	数据地图ID	功能线路ID	场景地图Id	副本名称	最低等级限制	最高等级限制	职业阶数限制	门票物品ID	单次门票数量	门票单价(不能用钱抵的配0)	扫荡等级限制	扫荡需要道具ID	扫荡需要道具数量	阶段时间控制	Boss的ActorId	副本奖励	副本描述	自动战斗类型	地图按钮默认显示	是否显示新获得物品的提示
310100	31010	0	31010	仙魔之争	110	0	0	0	0	0	0	0	0	[180,3,10]	0		与对手1v1的较量，展现精湛PK技术，看谁是盖世英雄！	5	0	1
310200	31020	0	31020	BOSS之家一层	0	0	0	0	0	0	0	0	0		0	0	0		1	1
310300	31020	1	31030	BOSS之家二层	0	0	0	0	0	0	0	0	0		0	0	0		1	1
310400	31040	0	31040	师门悬赏-探索灵界之森	0	0	0	0	0	0	0	0	0	[1,5,300,10]	0	0	0	1	0	1
310401	31040	1	31040	师门悬赏-击杀BOSS	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	0	1	0	1
310402	31040	2	31040	师门悬赏-击杀BOSS	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	0	1	0	1
310403	31040	3	31040	师门悬赏-消灭寒冰魔物	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	0	1	0	1
310404	31040	4	31040	师门悬赏-探索仙果之山	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	0	2	0	1
310405	31040	5	31040	师门悬赏-拦截迷惑之狸	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	0	3	0	1
411100	41110	0	41110	法宝认主	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败皓月战神获得：<color=#44e863>皓月枪</color>	5	0	1
411101	41110	1	41110	法宝认主	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败暗裔暴君获得：<color=#44e863>鬼牙刃</color>	5	0	1
411102	41110	2	41110	法宝认主	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败龙血武姬获得：<color=#44e863>龙雀环</color>	5	0	1
411103	41110	3	41110	法宝认主	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败执印龙王获得：<color=#44e863>磐龙印</color>	5	0	1
411104	41110	4	41110	法宝认主	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败杏黄术士获得：<color=#44e863>杏黄旗</color>	5	0	1
411105	41110	5	41110	法宝认主	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败东皇太一获得：<color=#44e863>东皇钟</color>	5	0	1
411106	41110	6	41110	法宝认主	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败枯藤老人获得：<color=#44e863>紫金葫芦</color>	5	0	1
411107	41110	7	41110	法宝认主	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败浴火麒麟获得：<color=#44e863>炎麟盾</color>	5	0	1
411108	41110	8	41110	法宝认主	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败刑天获得：<color=#44e863>嗜天斧</color>	5	0	1
411109	41110	9	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e863>焚源之炬</color>	5	0	1
411110	41110	10	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e863>摄魂铃</color>	5	0	1
411111	41110	11	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e863>乾云镜</color>	5	0	1
411112	41110	12	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e863>天丝琴</color>	5	0	1
411113	41110	13	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e863>九幽胄</color>	5	0	1
411114	41110	14	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e863>碧霄剑</color>	5	0	1
411115	41110	15	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e863>明心扇</color>	5	0	1
411116	41110	16	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e863>混元伞</color>	5	0	1
411117	41110	17	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e863>冥炎瓶</color>	5	0	1
411118	41110	18	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e863>神火扇</color>	5	0	1
411119	41110	19	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e863>白泽灯</color>	5	0	1
411120	41110	20	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e864>磐龙袍</color>	5	0	1
411121	41110	21	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e865>琉心笔</color>	5	0	1
411122	41110	22	41110	法宝挑战	0	0	0	0	0	0	0	0	0	[0,5,300,10]	0	0	击败Boss获得：<color=#44e864>招魂幡</color>	5	0	1
310800	31080	0	31080	仙界秘境	82	500	0	4001	1	0	0	0	0	[10,180,10]	0	2103	鼓舞点满，队伍组满<Space=1>喝下药水，暴打小怪		0	1
311400	31140	0	31140	冰晶矿脉	250	500	0	4004	1	0	330	956	1	[5,300,50,10]	0	5303	冰石巨人，落荒而逃<Space=1>打死首领，拿走芒晶		0	1
311500	31150	0	31150	古神禁地	0	0	0	4007	1|2|3|4	80	0	0	0	[30,12]	0	0	<Space=5>麒麟乃世间万兽之主,完成麒麟的试炼可获得提升灵宠实力的灵宠精华。		1	1
311700	31170	0	31170	守卫人皇	110	0	0	0	0	0	0	0	0		0	2103	击败来犯的敌军可获得<color=#109D06FF>海量经验</color>奖励。		0	1
311800	31180	0	31180	混乱妖域	110	500	0	0	0	0	0	0	0	[10,600,15, [340,260,200,150]]	0	102|103	组队前往，击退群妖，获取高评价高奖励	5	0	1
311900	31190	0	31190	麒麟之府	60	500	0	0	0	0	250	956	1	[5,480,10,5,15]	30203000	4151	<Space=5>麒麟乃世间万兽之主,完成麒麟的试炼可获得提升灵宠实力的灵宠精华。	5	0	1
311901	31190	1	31190	麒麟之府	100	500	0	0	0	0	250	956	1	[5,480,10,5,15]	30203001	4151	<Space=5>麒麟乃世间万兽之主,完成麒麟的试炼可获得提升灵宠实力的灵宠精华。	5	0	1
311902	31190	2	31190	麒麟之府	140	500	0	0	0	0	250	956	1	[5,480,10,5,15]	30203002	4151	<Space=5>麒麟乃世间万兽之主,完成麒麟的试炼可获得提升灵宠实力的灵宠精华。	5	0	1
311903	31190	3	31190	麒麟之府	200	500	0	0	0	0	250	956	1	[5,480,10,5,15]	30203003	4151	<Space=5>麒麟乃世间万兽之主,完成麒麟的试炼可获得提升灵宠实力的灵宠精华。	5	0	1
311904	31190	4	31190	麒麟之府	250	500	0	0	0	0	250	956	1	[5,480,10,5,15]	30203004	4151	<Space=5>麒麟乃世间万兽之主,完成麒麟的试炼可获得提升灵宠实力的灵宠精华。	5	0	1
311905	31190	5	31190	麒麟之府	300	500	0	0	0	0	250	956	1	[5,480,10,5,15]	30203005	4151	<Space=5>麒麟乃世间万兽之主,完成麒麟的试炼可获得提升灵宠实力的灵宠精华。	5	0	1
312200	31220	0	31220	仙盟联赛	110	0	0	0	0	0	0	0	0		0	0	0		0	1
312300	31230	0	31230	仙盟宴会	0	0	0	0	0	0	0	0	0	[900,[30,20,10,9,8,7,6,5,4,3,2,1]]	0	0	0		0	1
312400	31240	0	31240	VIP Boss	0	0	0	4010	2	80	0	0	0	[5,1800,15,101]	0	0	0		0	1
510100	51010	0	51010	娲皇遗迹	220	500	0	0	0	0	0	0	0	[10,1800,10]	0	142|143|144	组队通关高层遗迹，获取溶彩石，升级技能		0	1
510101	51010	1	51010	娲皇遗迹2层	220	500	0	0	0	0	0	0	0	[10,1800,10]	0	142|143|144	组队通关高层遗迹，获取溶彩石，升级技能		0	1
510102	51010	2	51010	娲皇遗迹3层	220	500	0	0	0	0	0	0	0	[10,1800,10]	0	142|143|144	组队通关高层遗迹，获取溶彩石，升级技能	5	0	1
510103	51010	3	51010	娲皇遗迹4层	220	500	0	0	0	0	0	0	0	[10,1800,10]	0	142|143|144	组队通关高层遗迹，获取溶彩石，升级技能	5	0	1
510104	51010	4	51010	娲皇遗迹5层	220	500	0	0	0	0	0	0	0	[10,1800,10]	0	142|143|144	组队通关高层遗迹，获取溶彩石，升级技能	5	0	1
510105	51010	5	51010	娲皇遗迹6层	220	500	0	0	0	0	0	0	0	[10,1800,10]	0	142|143|144	组队通关高层遗迹，获取溶彩石，升级技能	5	0	1
510106	51010	6	51010	娲皇遗迹7层	220	500	0	0	0	0	0	0	0	[10,1800,10]	0	142|143|144	组队通关高层遗迹，获取溶彩石，升级技能	5	0	1
510107	51010	7	51010	娲皇遗迹8层	220	500	0	0	0	0	0	0	0	[10,1800,10]	0	142|143|144	组队通关高层遗迹，获取溶彩石，升级技能	5	0	1
600100	60010	0	60010	宗门试炼一层	105	500	0	0	0	0	0	0	0	[10,1800,50,10]	30603001	181|1015|10351|20351|20354|10341|10344|20341	突破小怪包围，打死BOSS，人人都有掉落	7	0	1
