int	int	int	int	string[]	int	int[]	int[]	string[]	int	int[]	int[]	string[]	int	int[]	int[]	string[]	string
ID	dataMapId	LineId	targetNum	targetDescription1	targetType1	NPC1ID	targetValue1	targetDescription2	targetType2	NPC2ID	targetValue2	targetDescription3	targetType3	NPC3ID	targetValue3	Info	mark
唯一标识	地图Id	功能线路ID	目标数量	目标1描述	目标类型1（0.通用；1.击败指定怪物 2.获取经验；3.积分；4.金钱，5.波数 6.击败所有类型的怪物 7.阶段）	目标1ID	目标1值	目标2描述	目标类型2（0.通用；1.击败怪物 2.获取经验；3.积分；4.金钱，5.波数）	目标2ID	目标2值	目标3描述		目标3ID	目标3值	界面提示	提示
1	31040	0	1	获得积分: 	3		1200		3				3			击败<color=#44e863FF><Word info=npc id=30102003/>: 300分</color></r>击败<color=#44e863FF><Word info=npc id=30102002/>: 50分</color></r>击败<color=#44e863FF><Word info=npc id=30102001/>: 20分</color>	击败稀有的<color=#44e863FF><Word info=npc id=30102003/></color>可获得<color=#44e863FF>300分</color>
2	31040	1	1	击败: <color=#44e863FF>@NPCName@</color>	1	30102004	1		1				1			及时躲避高伤害的预警技能！	及时躲避高伤害的预警技能！
3	31040	2	1	击败: <color=#44e863FF>@NPCName@</color>	1	30102005	1		1				1			请及时躲避会自爆的<color=#44e863FF><Word info=npc id=30102006/></color>	请及时躲避会自爆的<color=#44e863FF><Word info=npc id=30102006/></color>
4	31040	3	2	击败: <color=#44e863FF>@NPCName@</color>	1	30102008	1	击败: <color=#44e863FF>@NPCName@</color>	1	30102007	10		1			优先击败<color=#44e863FF><Word info=npc id=30102008/></color>,可削弱小怪属性	优先击败<color=#44e863FF><Word info=npc id=30102008/></color>,可削弱小怪属性
5	31040	4	3	击败: <color=#44e863FF>@NPCName@</color>	1	30102009	9	击败: <color=#44e863FF>@NPCName@</color>	1	30102010	9	击败: <color=#44e863FF>@NPCName@</color>	1	30102011	9	优先击败会治疗的 <color=#44e863FF><Word info=npc id=30102011/></color>	优先击败会治疗的 <color=#44e863FF><Word info=npc id=30102011/></color>
6	31040	5	1	击败: <color=#44e863FF>@NPCName@</color>	1	30102012	20		1				1			装备<color=#44e863FF>被动技能：乾元雷</color>可迅速通关!	<color=#44e863FF>使用法宝技能</color>可迅速通关!
7	31090	0	1	击败: <color=#44e863FF>@NPCName@</color>	1	30902001	12		1				1			装备<color=#44e863FF>被动技能：乾元雷</color>可迅速通关!	<color=#44e863FF>使用法宝技能</color>可迅速通关!
8	31190	0	1	第1阶段：击败小怪数量|第2阶段：击败BOSS	6		30|1		5				5			击败终极BOSS给予奖励	
9	31190	1	1	第1阶段：击败小怪数量|第2阶段：击败BOSS	6		30|1		5				5			击败终极BOSS给予奖励	
10	31190	2	1	第1阶段：击败小怪数量|第2阶段：击败BOSS	6		30|1		5				5			击败终极BOSS给予奖励	
