int	int	int	int	int	int	int	int	int	int	int	int
ID	DataMapID	OpenServerWeek	OpenServerDay	StartWeekday	StartHour	StartMinute	EndWeekday	EndHour	EndMinute	CanEnter	StateValue
数据ID	数据地图ID	开服X周后开放	开服X天后开放	开始星期	开始时	开始分	结束星期	结束时	结束分	是否可进入副本	状态值
1	31170	0	3	1	21	0	1	21	15	1	1
2	31170	0	3	1	21	15	1	21	30	0	1
3	31170	0	3	4	21	0	4	21	15	1	1
4	31170	0	3	4	21	15	4	21	30	0	1
5	31180	0	0	1	20	30	1	21	0	1	1
6	31180	0	0	4	20	30	4	21	0	1	1
7	31230	0	0	1	20	0	1	20	15	1	1
8	31230	0	0	2	20	0	2	20	15	1	1
9	31230	0	0	3	20	0	3	20	15	1	1
10	31230	0	0	4	20	0	4	20	15	1	1
11	31230	0	0	5	20	0	5	20	15	1	1
12	31230	0	0	6	20	0	6	20	15	1	1
13	31230	0	0	7	20	0	7	20	15	1	1
14	31160	0	0	2	20	30	2	21	0	1	1
15	31160	0	0	5	20	30	5	21	0	1	1
16	31220	1	0	2	19	0	2	20	59	0	11
17	31220	1	0	2	21	0	2	21	20	1	12
18	31220	1	0	2	21	22	5	18	59	0	13
19	31220	1	0	5	19	0	5	20	59	0	21
20	31220	1	0	5	21	0	5	21	20	1	22
21	31220	1	0	5	21	22	5	23	59	0	23
22	31220	1	0	6	0	0	2	19	0	0	99
23	31010	0	0	3	20	30	3	21	0	1	1
24	31010	0	0	6	20	30	6	21	0	1	1
