int	string	string	int	int	int	int	string
id	packageName	fxName	job	audio	stopImmediate	setParent	nodeName
特效ID	路径(包名)	特效名	这个特效属于的某个职业	特效的音效	是否随动画立即结束	播放是否绑定父节点(0:不绑定,1:绑定对象坐标,2.绑定对象头顶,3.绑定对象hit点,4.武器)	绑定骨骼名称
1000	ui	fx01	0	0	0	0	
1001	ui	MagicianActivePanel_FX_3	0	0	0	0	
1002	ui	BreakPanel_FX_2	0	0	0	0	
1003	ui	MagicianActivePanel_FX_2	0	0	0	0	
1004	ui	MagicianActivePanel_FX_1	0	0	0	0	
1005	ui	Rune_LvUpSuccess	0	14	0	0	
1006	ui	Effect_fuyin_fenjie_d	0	16	0	0	
1007	ui	Effect_fuyin_fenjie_a	0	16	0	0	
1008	ui	Effect_fuyin_fenjie_c	0	0	0	0	
1009	ui	Effect_fuyin_fenjie_b	0	0	0	0	
1010	ui1	Effect_zhuangbei_qianghua_a	0	0	0	0	
1011	ui1	Effect_ziti_qianghuatisheng	0	0	0	0	
1012	ui1	Effect_zhuangbei_qianghua_c	0	14	0	0	
1013	ui1	Effect_zhuangbei_qianghua_b	0	0	0	0	
1014	ui	Guardian_Flow	0	0	0	0	
1015	ui	Guardian_Fly	0	0	0	0	
1016	ui	Pet_Get	0	18	0	0	
1017	ui	Effect_zhuangbei_xiangqian_a	0	0	0	0	
1018	ui	Effect_zhuangbei_xiangqian_b	0	20	0	0	
1019	ui	Effect_zhuangbei_xiangqian_c	0	0	0	0	
1020	ui	Effect_ziti_baoshitisheng	0	14	0	0	
1021	ui1	MainFace_Attack	0	0	0	0	
1022	ui1	MainFace_Press	0	0	0	0	
1023	ui1	MainFace_Skill	0	0	0	0	
1024	ui1	MainFace_SkillCD	0	0	0	0	
1025	ui	Guardian2_Flow	0	0	0	0	
1026	ui	Guardian2_Fly	0	0	0	0	
1027	ui	Guardian_Pickup	0	0	0	0	
1028	ui	WingsRefine_Particle	0	0	0	0	
1029	ui	WingsRefine_Particle2	0	0	0	0	
1030	ui	Boss_Cx_N	0	0	0	0	
1031	ui1	Map_Fbcx_01	0	0	0	0	
1032	ui1	Map_Fbcx_02	0	0	0	0	
1033	ui1	Map_Fbcx_03	0	19	0	0	
1034	ui	GoodEquip_Shine	0	0	0	0	
1035	ui1	ZiDongXunLu	0	0	0	0	
1036	ui1	MainFace_XpShine	0	0	0	0	
1037	ui	Pet_Absorb1	0	0	0	0	
1038	ui	Pet_Absorb2	0	0	0	0	
1039	Common1	Effect_zhujuesj	0	15	0	1	
1040	Common1	Kongqiqiang	0	0	0	0	
1041	Common1	Yindao0	0	0	0	0	
1042	Common1	Yindao2	0	0	0	0	
1043	Common1	Yindao3	0	0	0	1	
1044	Common1	Yun_fx_001	0	0	0	0	
1045	ui	EquipWash_LvUp	0	0	0	0	
1046	ui	EquipWash_Perfect	0	15	0	0	
1047	ui	EquipWash_Process	0	0	0	0	
1048	Common1	Yindao	0	0	0	0	
1049	Common1	Huashouzhi	0	0	0	0	
1050	Common1	Huashouzhi2	0	0	0	0	
1051	Common1	Yindao4	0	0	0	0	
1052	Common1	Yindao5	0	0	0	1	
1053	Common1	CommonFx_fx_004_1	0	0	0	0	
1054	Common1	Yun_fx_ani_idle	0	0	0	0	
1055	Common1	Yun_fx_ani_fly	0	0	0	0	
1057	ui	DailyQuest_Shine	0	0	0	0	
1058	ui	Effect_ziti_2beibaoji	0	0	0	0	
1059	ui	Effect_ziti_5beibaoji	0	0	0	0	
1060	Common	Commonfx_dianji	0	0	0	0	
1061	ui	Effect_ziti_jingjiechenggong	0	15	0	0	
1062	ui	CommonFx_fx_009	0	0	0	1	
1063	ui1	DungeonVictory_fx_001	0	0	0	0	
1064	ui1	DungeonNewShine	0	0	0	0	
1065	ui1	DungeonGradeShine	0	0	0	0	
1066	Common1	Map000_Yun	0	0	0	0	
1067	ui1	CommonFx_fx_013	0	0	0	1	
1068	ui	Effect_fuyin_xiangqian_a	0	0	0		
