int	int	int	int[]	string
NPCID	MonsterType	MonsterAnger	RareItemID	PortraitID
NPC表编号	怪物类型	怪物怒气值	珍稀掉落物品ID	头像ID
31503001	2	25	5202|5012|5022|10471|20471|10451|20451|20452	Body_M076
31503002	2	30	5202|5012|5022|10571|20571|10551|20551|20552	Body_M078
31503003	2	35	5006|5007|5202|5012|5022|10571|20571|10551	Body_M079
31503004	2	40	5006|5007|5202|5012|5022|10671|20671|20651	Body_M081
31503005	2	45	8074|5006|5007|5202|5012|5022|10771|10751	Body_M080
31503006	2	50	8074|5006|5007|5202|5012|5022|10771|10751	Body_M042
31503007	2	60	8084|4606|5006|5007|5202|5012|5022|10871	Body_M105
31503008	2	70	8085|4608|5006|5007|5202|5012|5022|10871	Body_M136
31501001	1	3	5207|5206|5202|5007|5006|5012|5022|10571	Body_M069
31501002	1	3	5207|5206|5202|5007|5006|5012|5022|10571	Body_M071
31501003	1	3	5207|5206|5202|5007|5006|5012|5022|10671	Body_M072
31501004	1	3	5207|5206|5202|5007|5006|5012|5022|10671	Body_M074
31501005	1	3	5207|5206|5202|5007|5006|5012|5022|10671	Body_M054
31501006	1	3	5207|5206|5202|5007|5006|5012|5022|10771	Body_M041
31501007	1	3	5207|5206|5202|5007|5006|5012|5022|10771	Body_M075
31501008	1	3	5302|5207|5206|5202|5007|5006|5012|5022	Body_M046
