int	int	string
LV	UpNeedExp	Attr
级数	升级所需经验数	属性加成
1	35	{"6":2092,"7":26}
2	37	{"6":2183,"7":27}
3	40	{"6":2275,"7":28}
4	42	{"6":2367,"7":30}
5	45	{"6":2460,"7":31}
6	47	{"6":2552,"7":32}
7	50	{"6":2645,"7":33}
8	52	{"6":2738,"7":34}
9	55	{"6":2831,"7":35}
10	57	{"6":2924,"7":37}
11	62	{"6":3018,"7":38}
12	67	{"6":3111,"7":39}
13	72	{"6":3205,"7":40}
14	77	{"6":3299,"7":41}
15	82	{"6":3394,"7":42}
16	87	{"6":3488,"7":44}
17	92	{"6":3583,"7":45}
18	97	{"6":3678,"7":46}
19	102	{"6":3773,"7":47}
20	107	{"6":3869,"7":48}
21	112	{"6":3964,"7":50}
22	117	{"6":4060,"7":51}
23	122	{"6":4156,"7":52}
24	127	{"6":4252,"7":53}
25	132	{"6":4348,"7":54}
26	137	{"6":4445,"7":56}
27	142	{"6":4542,"7":57}
28	147	{"6":4639,"7":58}
29	152	{"6":4736,"7":59}
30	157	{"6":4834,"7":60}
31	162	{"6":4931,"7":62}
32	167	{"6":5029,"7":63}
33	172	{"6":5127,"7":64}
34	177	{"6":5226,"7":65}
35	182	{"6":5324,"7":67}
36	187	{"6":5423,"7":68}
37	192	{"6":5522,"7":69}
38	197	{"6":5621,"7":70}
39	202	{"6":5720,"7":72}
40	207	{"6":5820,"7":73}
41	212	{"6":5920,"7":74}
42	217	{"6":6020,"7":75}
43	222	{"6":6120,"7":77}
44	227	{"6":6221,"7":78}
45	232	{"6":6321,"7":79}
46	237	{"6":6422,"7":80}
47	242	{"6":6524,"7":82}
48	247	{"6":6625,"7":83}
49	252	{"6":6727,"7":84}
50	257	{"6":6828,"7":85}
51	262	{"6":6930,"7":87}
52	267	{"6":7033,"7":88}
53	272	{"6":7135,"7":89}
54	277	{"6":7238,"7":90}
55	282	{"6":7341,"7":92}
56	287	{"6":7444,"7":93}
57	292	{"6":7548,"7":94}
58	297	{"6":7651,"7":96}
59	302	{"6":7755,"7":97}
60	307	{"6":7859,"7":98}
61	312	{"6":7964,"7":100}
62	317	{"6":8068,"7":101}
63	322	{"6":8173,"7":102}
64	327	{"6":8278,"7":103}
65	332	{"6":8384,"7":105}
66	337	{"6":8489,"7":106}
67	342	{"6":8595,"7":107}
68	347	{"6":8701,"7":109}
69	352	{"6":8807,"7":110}
70	357	{"6":8914,"7":111}
71	362	{"6":9020,"7":113}
72	367	{"6":9127,"7":114}
73	372	{"6":9234,"7":115}
74	377	{"6":9342,"7":117}
75	382	{"6":9450,"7":118}
76	387	{"6":9558,"7":119}
77	392	{"6":9666,"7":121}
78	397	{"6":9774,"7":122}
79	402	{"6":9883,"7":124}
80	407	{"6":9992,"7":125}
81	412	{"6":10101,"7":126}
82	417	{"6":10210,"7":128}
83	422	{"6":10320,"7":129}
84	427	{"6":10430,"7":130}
85	432	{"6":10540,"7":132}
86	437	{"6":10650,"7":133}
87	442	{"6":10761,"7":135}
88	447	{"6":10872,"7":136}
89	452	{"6":10983,"7":137}
90	457	{"6":11094,"7":139}
91	462	{"6":11206,"7":140}
92	467	{"6":11318,"7":141}
93	472	{"6":11430,"7":143}
94	477	{"6":11543,"7":144}
95	482	{"6":11655,"7":146}
96	487	{"6":11768,"7":147}
97	492	{"6":11881,"7":149}
98	497	{"6":11995,"7":150}
99	502	{"6":12108,"7":151}
100	507	{"6":12222,"7":153}
101	512	{"6":12337,"7":154}
102	517	{"6":12451,"7":156}
103	522	{"6":12566,"7":157}
104	527	{"6":12681,"7":159}
105	532	{"6":12796,"7":160}
106	537	{"6":12912,"7":161}
107	542	{"6":13027,"7":163}
108	547	{"6":13143,"7":164}
109	552	{"6":13260,"7":166}
110	557	{"6":13376,"7":167}
111	562	{"6":13493,"7":169}
112	567	{"6":13610,"7":170}
113	572	{"6":13728,"7":172}
114	577	{"6":13845,"7":173}
115	582	{"6":13963,"7":175}
116	587	{"6":14082,"7":176}
117	592	{"6":14200,"7":178}
118	597	{"6":14319,"7":179}
119	602	{"6":14438,"7":180}
120	607	{"6":14557,"7":182}
121	612	{"6":14677,"7":183}
122	617	{"6":14796,"7":185}
123	622	{"6":14917,"7":186}
124	627	{"6":15037,"7":188}
125	632	{"6":15158,"7":189}
126	637	{"6":15279,"7":191}
127	642	{"6":15400,"7":192}
128	647	{"6":15521,"7":194}
129	652	{"6":15643,"7":196}
130	657	{"6":15765,"7":197}
131	662	{"6":15888,"7":199}
132	667	{"6":16010,"7":200}
133	672	{"6":16133,"7":202}
134	677	{"6":16256,"7":203}
135	682	{"6":16380,"7":205}
136	687	{"6":16504,"7":206}
137	692	{"6":16628,"7":208}
138	697	{"6":16752,"7":209}
139	702	{"6":16877,"7":211}
140	707	{"6":17002,"7":213}
141	712	{"6":17127,"7":214}
142	717	{"6":17252,"7":216}
143	732	{"6":17378,"7":217}
144	745	{"6":17504,"7":219}
145	758	{"6":17631,"7":220}
146	771	{"6":17757,"7":222}
147	784	{"6":17884,"7":224}
148	798	{"6":18012,"7":225}
149	811	{"6":18139,"7":227}
150	825	{"6":18267,"7":228}
151	840	{"6":18395,"7":230}
152	854	{"6":18524,"7":232}
153	868	{"6":18652,"7":233}
154	883	{"6":18781,"7":235}
155	898	{"6":18911,"7":236}
156	913	{"6":19040,"7":238}
157	928	{"6":19170,"7":240}
158	944	{"6":19301,"7":241}
159	959	{"6":19431,"7":243}
160	975	{"6":19562,"7":245}
161	991	{"6":19693,"7":246}
162	1008	{"6":19825,"7":248}
163	1024	{"6":19957,"7":249}
164	1041	{"6":20089,"7":251}
165	1058	{"6":20221,"7":253}
166	1075	{"6":20354,"7":254}
167	1093	{"6":20487,"7":256}
168	1110	{"6":20620,"7":258}
169	1128	{"6":20754,"7":259}
170	1146	{"6":20888,"7":261}
171	1165	{"6":21022,"7":263}
172	1183	{"6":21157,"7":264}
173	1202	{"6":21292,"7":266}
174	1221	{"6":21427,"7":268}
175	1240	{"6":21563,"7":270}
176	1260	{"6":21698,"7":271}
177	1279	{"6":21835,"7":273}
178	1299	{"6":21971,"7":275}
179	1320	{"6":22108,"7":276}
180	1340	{"6":22245,"7":278}
181	1361	{"6":22383,"7":280}
182	1382	{"6":22520,"7":282}
183	1403	{"6":22658,"7":283}
184	1425	{"6":22797,"7":285}
185	1447	{"6":22936,"7":287}
186	1469	{"6":23075,"7":288}
187	1491	{"6":23214,"7":290}
188	1514	{"6":23354,"7":292}
189	1536	{"6":23494,"7":294}
190	1560	{"6":23635,"7":295}
191	1583	{"6":23775,"7":297}
192	1607	{"6":23916,"7":299}
193	1631	{"6":24058,"7":301}
194	1655	{"6":24200,"7":302}
195	1680	{"6":24342,"7":304}
196	1705	{"6":24484,"7":306}
197	1730	{"6":24627,"7":308}
198	1755	{"6":24770,"7":310}
199	1781	{"6":24913,"7":311}
200	1807	{"6":25057,"7":313}
201	1834	{"6":25201,"7":315}
202	1860	{"6":25346,"7":317}
203	1887	{"6":25490,"7":319}
204	1915	{"6":25636,"7":320}
205	1942	{"6":25781,"7":322}
206	1970	{"6":25927,"7":324}
207	1999	{"6":26073,"7":326}
208	2027	{"6":26220,"7":328}
209	2056	{"6":26366,"7":330}
210	2086	{"6":26514,"7":331}
211	2115	{"6":26661,"7":333}
212	2145	{"6":26809,"7":335}
213	2176	{"6":26957,"7":337}
214	2206	{"6":27106,"7":339}
215	2237	{"6":27255,"7":341}
216	2269	{"6":27404,"7":343}
217	2301	{"6":27554,"7":344}
218	2333	{"6":27704,"7":346}
219	2365	{"6":27854,"7":348}
220	2398	{"6":28005,"7":350}
221	2431	{"6":28156,"7":352}
222	2465	{"6":28308,"7":354}
223	2499	{"6":28459,"7":356}
224	2533	{"6":28612,"7":358}
225	2568	{"6":28764,"7":360}
226	2603	{"6":28917,"7":361}
227	2639	{"6":29070,"7":363}
228	2675	{"6":29224,"7":365}
229	2711	{"6":29378,"7":367}
230	2748	{"6":29532,"7":369}
231	2785	{"6":29687,"7":371}
232	2823	{"6":29842,"7":373}
233	2861	{"6":29997,"7":375}
234	2899	{"6":30153,"7":377}
235	2938	{"6":30310,"7":379}
236	2977	{"6":30466,"7":381}
237	3017	{"6":30623,"7":383}
238	3057	{"6":30780,"7":385}
239	3098	{"6":30938,"7":387}
240	3139	{"6":31096,"7":389}
241	3180	{"6":31255,"7":391}
242	3222	{"6":31413,"7":393}
243	3265	{"6":31573,"7":395}
244	3307	{"6":31732,"7":397}
245	3351	{"6":31892,"7":399}
246	3394	{"6":32052,"7":401}
247	3439	{"6":32213,"7":403}
248	3483	{"6":32374,"7":405}
249	3529	{"6":32536,"7":407}
