int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
ID	EquipClass	EquipColor	EquipStar	AtkPerC	DamagePerC	SuperHitRateC	SuperHitPerC	DamReduceC	MaxHPPerC	DefPerC	LuckyHitRateC	PetDamPerC	PerLVAtkC	MissRateC	HitRateC	DamBackPerC	PerLVMaxHPC	DropEquipPerC	DropMoneyPerC	IgnoreDefRateReduceC	DamChanceDefC	SuperHitReduceC	SkillAtkRateC	SpeedPerC	AtkSpeedC
编号ID	装备阶数	装备品质	装备星级	攻击百分比	增加伤害百分比	暴击几率	暴击值百分比	减少伤害百分比	生命上限百分比	防御力百分比	会心一击率	灵宠伤害增加百分比	攻击力+XX/等级	闪避值百分比	命中值百分比	伤害反射百分比	生命+XX/等级	增加装备掉落几率	增加掉落金币量百分比	无视防御抗性百分比	抵御百分比	暴击抗性百分比	技能伤害百分比	移动速度百分比	攻击速度
10	0	1	0	21135	14711	2500	250	21496	18433	12903	5295	2878	830	61	393	2931	41	122	122	5772	4299	521	9229	655	19615
20	0	2	0	36419	27669	64764	6476	66713	53591	37513	9960	5408	1100	123	651	9097	55	246	246	9727	13342	11111	18110	1085	36892
30	0	3	0	36419	27669	64764	6476	66713	53591	37513	9960	5408	1100	123	651	9097	55	246	246	9727	13342	11111	18110	1085	36892
40	0	4	0	47267	36720	70677	7067	84756	67318	47122	13219	6892	1225	165	792	11557	61	330	330	12983	16951	12902	23984	1320	48960
50	0	5	0	66687	48288	77290	7729	128862	109793	76855	17383	9051	1350	211	946	17572	67	422	422	16439	25772	15032	31963	1576	64384
60	0	6	0	66687	48288	77290	7729	128862	109793	76855	17383	9051	1350	211	946	17572	67	422	422	16439	25772	15032	31963	1576	64384
110	1	1	0	1202	1312	2500	250	953	668	467	472	0	150	2	2	129	7	4	4	690	190	362	706	3	1750
120	1	2	0	2192	1856	2500	250	1487	1176	823	668	0	250	5	5	202	12	10	10	1140	297	362	890	8	2475
130	1	3	0	6802	2663	2500	250	2414	5797	1689	958	589	350	10	10	329	17	20	20	1738	482	383	1208	16	3551
131	1	3	1	10567	4040	2500	250	3877	8670	2713	1454	1066	450	16	16	528	22	32	32	2391	775	412	1997	26	5387
141	1	4	1	15838	6344	2500	250	6817	15523	4771	2283	1449	550	24	24	929	27	48	48	3087	1363	441	3580	40	8458
142	1	4	2	31763	11860	2500	250	15331	33369	10731	4269	2302	750	49	49	2090	37	98	98	4845	3066	498	7312	81	15814
151	1	5	1	36989	13761	2500	250	19671	38472	13769	4953	2600	810	58	58	2682	40	116	116	5504	3934	515	8562	96	18347
152	1	5	2	43760	17614	2500	250	25875	44219	18112	6341	3016	875	69	69	3528	43	138	138	6404	5175	534	11387	115	23485
153	1	5	3	57237	23947	59921	5992	55759	79361	39031	8620	3979	1000	97	97	7603	50	194	194	8275	11152	9868	15769	161	31929
163	1	6	3	75450	29327	65877	6587	69966	103248	48976	10557	5223	1125	131	131	9540	56	262	262	10298	13993	11448	19203	218	39103
210	2	1	0	2261	2013	2500	250	1654	1264	884	724	0	275	6	6	225	13	12	12	1315	331	362	913	10	2685
220	2	2	0	7863	3457	2500	250	3146	6754	2202	1244	897	390	12	12	428	19	24	24	2140	629	395	1645	20	4609
230	2	3	0	10567	4040	2500	250	3877	8670	2713	1454	1066	450	16	16	528	22	32	32	2391	775	412	1997	26	5387
231	2	3	1	15838	6344	2500	250	6817	15523	4771	2283	1449	550	24	24	929	27	48	48	3087	1363	441	3580	40	8458
241	2	4	1	31763	11860	2500	250	15331	33369	10731	4269	2302	750	49	49	2090	37	98	98	4845	3066	498	7312	81	15814
242	2	4	2	43760	17614	2500	250	25875	44219	18112	6341	3016	875	69	69	3528	43	138	138	6404	5175	534	11387	115	23485
251	2	5	1	50451	21477	37522	3752	38649	58674	27054	7731	3467	935	81	81	5270	46	162	162	7306	7730	7112	14219	135	28635
252	2	5	2	57237	23947	59921	5992	55759	79361	39031	8620	3979	1000	97	97	7603	50	194	194	8275	11152	9868	15769	161	31929
253	2	5	3	75450	29327	65877	6587	69966	103248	48976	10557	5223	1125	131	131	9540	56	262	262	10298	13993	11448	19203	218	39103
263	2	6	3	102001	39136	71790	7179	89603	132600	62722	14088	6553	1250	174	174	12218	62	348	348	13969	17920	13266	25474	290	52181
310	3	1	0	9880	3905	2500	250	3683	8272	2578	1405	1047	440	15	15	502	22	30	30	2331	736	409	1917	25	5207
320	3	2	0	14170	5228	2500	250	5525	12500	3867	1882	1333	520	22	22	753	26	44	44	2818	1105	432	2768	36	6971
330	3	3	0	15838	6344	2500	250	6817	15523	4771	2283	1449	550	24	24	929	27	48	48	3087	1363	441	3580	40	8458
331	3	3	1	31763	11860	2500	250	15331	33369	10731	4269	2302	750	49	49	2090	37	98	98	4845	3066	498	7312	81	15814
341	3	4	1	43760	17614	2500	250	25875	44219	18112	6341	3016	875	69	69	3528	43	138	138	6404	5175	534	11387	115	23485
342	3	4	2	57237	23947	59921	5992	55759	79361	39031	8620	3979	1000	97	97	7603	50	194	194	8275	11152	9868	15769	161	31929
351	3	5	1	64758	26258	62693	6269	62637	93058	43845	9452	4412	1060	112	112	8541	53	224	224	9025	12527	10588	17324	186	35011
352	3	5	2	75450	29327	65877	6587	69966	103248	48976	10557	5223	1125	131	131	9540	56	262	262	10298	13993	11448	19203	218	39103
353	3	5	3	102001	39136	71790	7179	89603	132600	62722	14088	6553	1250	174	174	12218	62	348	348	13969	17920	13266	25474	290	52181
363	3	6	3	102001	39136	71790	7179	89603	132600	62722	14088	6553	1250	174	174	12218	62	348	348	13969	17920	13266	25474	290	52181
410	4	1	0	20042	7613	2500	250	8586	21846	6010	2740	1664	600	29	29	1170	30	58	58	3524	1717	455	4417	48	10151
420	4	2	0	24807	9048	2500	250	10093	26685	7065	3257	1889	650	35	35	1376	32	70	70	3970	2018	469	5395	58	12064
430	4	3	0	31763	11860	2500	250	15331	33369	10731	4269	2302	750	49	49	2090	37	98	98	4845	3066	498	7312	81	15814
431	4	3	1	43760	17614	2500	250	25875	44219	18112	6341	3016	875	69	69	3528	43	138	138	6404	5175	534	11387	115	23485
441	4	4	1	57237	23947	59921	5992	55759	79361	39031	8620	3979	1000	97	97	7603	50	194	194	8275	11152	9868	15769	161	31929
442	4	4	2	75450	29327	65877	6587	69966	103248	48976	10557	5223	1125	131	131	9540	56	262	262	10298	13993	11448	19203	218	39103
451	4	5	1	86599	32875	68620	6862	77822	113897	54475	11835	5815	1185	151	151	10612	59	302	302	11643	15564	12284	21459	251	43833
452	4	5	2	102001	39136	71790	7179	89603	132600	62722	14088	6553	1250	174	174	12218	62	348	348	13969	17920	13266	25474	290	52181
453	4	5	3	226146	70591	87166	8716	189038	325604	132326	25412	11288	1500	274	274	25777	75	548	548	23397	37807	18565	47149	456	94121
463	4	6	3	226146	70591	87166	8716	189038	325604	132326	25412	11288	1500	274	274	25777	75	548	548	23397	37807	18565	47149	456	94121
510	5	1	0	30063	11159	2500	250	14358	31734	10050	4017	2194	725	45	45	1957	36	90	90	4683	2871	491	6796	75	14878
520	5	2	0	33931	12564	2500	250	17096	35507	11967	4523	2406	775	52	52	2331	38	104	104	5111	3419	505	7761	86	16753
530	5	3	0	43760	17614	2500	250	25875	44219	18112	6341	3016	875	69	69	3528	43	138	138	6404	5175	534	11387	115	23485
531	5	3	1	57237	23947	59921	5992	55759	79361	39031	8620	3979	1000	97	97	7603	50	194	194	8275	11152	9868	15769	161	31929
541	5	4	1	75450	29327	65877	6587	69966	103248	48976	10557	5223	1125	131	131	9540	56	262	262	10298	13993	11448	19203	218	39103
542	5	4	2	102001	39136	71790	7179	89603	132600	62722	14088	6553	1250	174	174	12218	62	348	348	13969	17920	13266	25474	290	52181
551	5	5	1	145184	51250	78760	7876	139534	226513	97673	18450	8521	1375	221	221	19027	68	442	442	17250	27906	15565	34056	368	68334
552	5	5	2	226146	70591	87166	8716	189038	325604	132326	25412	11288	1500	274	274	25777	75	548	548	23397	37807	18565	47149	456	94121
553	5	5	3	471341	117225	99362	9936	283560	619528	198492	42201	17260	1750	397	397	38667	87	794	794	35129	56712	21660	80780	661	156301
563	5	6	3	471341	117225	99362	9936	283560	619528	198492	42201	17260	1750	397	397	38667	87	794	794	35129	56712	21660	80780	661	156301
610	6	1	0	40512	15327	2500	250	22656	42171	15859	5517	2839	850	64	64	3089	42	128	128	6045	4531	527	9594	106	20436
620	6	2	0	47202	19279	10917	1091	29070	47566	20349	6940	3191	900	73	73	3964	45	146	146	6726	5814	2786	12652	121	25706
