int	string	int	int	int	int	int	string	string	int	string	string	int	string	string	string[]	int[]
id	name	groupType	suiteType	suiteLV	job	count1	propList1	propValueList1	count2	propList2	propValueList2	count3	propList3	propValueList3	bindbones	effectIds
编号	套装名	组合类型	套装类型	套装等级	职业	阶段1所需数量	阶段1属性类型	阶段1属性值	阶段2所需数量	阶段2属性类型	阶段2属性值	阶段3所需数量	阶段3属性类型	阶段3属性值	套装特效绑定节点列表	特效表
1	【普通】1阶仙器套装	2	1	1	0	1	6|18	2220|250	2	7|20	111|250	3	6|7|18	2220|111|500		
2	【强化】1阶仙器套装	2	2	1	0	1	6|18	6216|500	2	7|20	311|500	3	6|7|18	6216|311|1000		
3	【普通】2阶仙器套装	2	1	2	0	1	6|18	4504|250	2	7|20	225|250	3	6|7|18	4504|225|500		
4	【强化】2阶仙器套装	2	2	2	0	1	6|18	14133|500	2	7|20	706|500	3	6|7|18	14133|706|1000		
5	【普通】3阶仙器套装	2	1	3	0	1	6|18	6847|250	2	7|20	342|250	3	6|7|18	6847|342|500		
6	【强化】3阶仙器套装	2	2	3	0	1	6|18	21633|500	2	7|20	1081|500	3	6|7|18	21633|1081|1000		
7	【普通】4阶仙器套装	2	1	4	0	1	6|18	10567|250	2	7|20	528|250	3	6|7|18	10567|528|500		
8	【强化】4阶仙器套装	2	2	4	0	1	6|18	33909|500	2	7|20	1695|500	3	6|7|18	33909|1695|1000		
9	【普通】5阶仙器套装	2	1	5	0	1	6|18	16564|250	2	7|20	828|250	3	6|7|18	16564|828|500		
10	【强化】5阶仙器套装	2	2	5	0	1	6|18	53466|500	2	7|20	2673|500	3	6|7|18	53466|2673|1000		
11	【普通】6阶仙器套装	2	1	6	0	1	6|18	26171|250	2	7|20	1308|250	3	6|7|18	26171|1308|500		
12	【强化】6阶仙器套装	2	2	6	0	1	6|18	84942|500	2	7|20	4247|500	3	6|7|18	84942|4247|1000		
13	【普通】7阶仙器套装	2	1	7	0	1	6|18	41599|250	2	7|20	2080|250	3	6|7|18	41599|2080|500		
14	【强化】7阶仙器套装	2	2	7	0	1	6|18	135399|500	2	7|20	6770|500	3	6|7|18	135399|6770|1000		
15	【普通】8阶仙器套装	2	1	8	0	1	6|18	66349|250	2	7|20	3317|250	3	6|7|18	66349|3317|500		
16	【强化】8阶仙器套装	2	2	8	0	1	6|18	216399|500	2	7|20	10820|500	3	6|7|18	216399|10820|1000		
17	【普通】1阶防具套装	1	1	1	1	2	7|51	103|200	3	6|18|20	4100|600|400	5	7|18	103|1000	Bip001 L UpperArm|Bip001 R UpperArm|Bip001 Spine	3123|3124|3125
18	【强化】1阶防具套装	1	2	1	1	2	7|51	154|300	3	6|18|20	6150|800|600	5	7|18	154|1600	Bip001 L UpperArm|Bip001 R UpperArm|Bip001 Spine|Bip001 Spine1	3123|3124|3125|3126
19	【普通】1阶防具套装	1	1	1	2	2	7|51	103|200	3	6|18|20	4100|600|400	5	7|18	103|1000	Bip001 Pelvis	3121
20	【强化】1阶防具套装	1	2	1	2	2	7|51	154|300	3	6|18|20	6150|800|600	5	7|18	154|1600	Bip001 Head|Bip001 Pelvis	3122|3121
21	【普通】1阶防具套装	1	1	1	3	2	7|51	103|200	3	6|18|20	4100|600|400	5	7|18	103|1000		
22	【强化】1阶防具套装	1	2	1	3	2	7|51	154|300	3	6|18|20	6150|800|600	5	7|18	154|1600		
23	【普通】2阶防具套装	1	1	2	1	2	7|51	284|200	3	6|18|20	11331|600|400	5	7|18	284|1000	Bip001 L UpperArm|Bip001 R UpperArm	3100|3102
24	【强化】2阶防具套装	1	2	2	1	2	7|51	426|300	3	6|18|20	16997|800|600	5	7|18	426|1600	Bip001 L UpperArm|Bip001 R UpperArm|Bip001 Spine	3100|3102|3101
25	【普通】2阶防具套装	1	1	2	2	2	7|51	284|200	3	6|18|20	11331|600|400	5	7|18	284|1000	Bip001 Pelvis	3111
26	【强化】2阶防具套装	1	2	2	2	2	7|51	426|300	3	6|18|20	16997|800|600	5	7|18	426|1600	Bip001 Head|Bip001 Pelvis	3112|3113
27	【普通】2阶防具套装	1	1	2	3	2	7|51	284|200	3	6|18|20	11331|600|400	5	7|18	284|1000		
28	【强化】2阶防具套装	1	2	2	3	2	7|51	426|300	3	6|18|20	16997|800|600	5	7|18	426|1600		
29	【普通】3阶防具套装	1	1	3	1	2	7|51	497|200	3	6|18|20	19859|600|400	5	7|18	497|1000	Bip001 L UpperArm|Bip001 R UpperArm	3103|3105
30	【强化】3阶防具套装	1	2	3	1	2	7|51	745|300	3	6|18|20	29789|800|600	5	7|18	745|1600	Bip001 L UpperArm|Bip001 R UpperArm|Bip001 Head|Bip001 Spine	3103|3105|3104|3106
31	【普通】3阶防具套装	1	1	3	2	2	7|51	497|200	3	6|18|20	19859|600|400	5	7|18	497|1000	Bip001 L UpperArm|Bip001 R UpperArm|Bip001 Spine	3114|3115|3116
32	【强化】3阶防具套装	1	2	3	2	2	7|51	745|300	3	6|18|20	29789|800|600	5	7|18	745|1600	Bip001 L UpperArm|Bip001 R UpperArm|Bip001 Spine|Bip001 Neck	3114|3115|3116|3117
33	【普通】3阶防具套装	1	1	3	3	2	7|51	497|200	3	6|18|20	19859|600|400	5	7|18	497|1000		
34	【强化】3阶防具套装	1	2	3	3	2	7|51	745|300	3	6|18|20	29789|800|600	5	7|18	745|1600		
35	【普通】4阶防具套装	1	1	4	1	2	7|51	764|200	3	6|18|20	30562|600|400	5	7|18	764|1000	Bip001 L UpperArm|Bip001 R UpperArm	3107|3109
36	【强化】4阶防具套装	1	2	4	1	2	7|51	1146|300	3	6|18|20	45843|800|600	5	7|18	1146|1600	Bip001 L UpperArm|Bip001 R UpperArm|Bip001 Head|Bip001 Spine	3107|3109|3108|3110
37	【普通】4阶防具套装	1	1	4	2	2	7|51	764|200	3	6|18|20	30562|600|400	5	7|18	764|1000	Bip001 Neck|Bip001 Pelvis	3118|3120
38	【强化】4阶防具套装	1	2	4	2	2	7|51	1146|300	3	6|18|20	45843|800|600	5	7|18	1146|1600	Bip001 Neck|Bip001 Pelvis	3119|3120
39	【普通】4阶防具套装	1	1	4	3	2	7|51	764|200	3	6|18|20	30562|600|400	5	7|18	764|1000		
40	【强化】4阶防具套装	1	2	4	3	2	7|51	1146|300	3	6|18|20	45843|800|600	5	7|18	1146|1600		
41	【普通】5阶防具套装	1	1	5	1	2	7|51	1131|200	3	6|18|20	45212|600|400	5	7|18	1131|1000		
42	【强化】5阶防具套装	1	2	5	1	2	7|51	1696|300	3	6|18|20	67818|800|600	5	7|18	1696|1600		
43	【普通】5阶防具套装	1	1	5	2	2	7|51	1131|200	3	6|18|20	45212|600|400	5	7|18	1131|1000		
44	【强化】5阶防具套装	1	2	5	2	2	7|51	1696|300	3	6|18|20	67818|800|600	5	7|18	1696|1600		
45	【普通】5阶防具套装	1	1	5	3	2	7|51	1131|200	3	6|18|20	45212|600|400	5	7|18	1131|1000		
46	【强化】5阶防具套装	1	2	5	3	2	7|51	1696|300	3	6|18|20	67818|800|600	5	7|18	1696|1600		
47	【普通】6阶防具套装	1	1	6	1	2	7|51	1702|200	3	6|18|20	68072|600|400	5	7|18	1702|1000		
48	【强化】6阶防具套装	1	2	6	1	2	7|51	2553|300	3	6|18|20	102108|800|600	5	7|18	2553|1600		
49	【普通】6阶防具套装	1	1	6	2	2	7|51	1702|200	3	6|18|20	68072|600|400	5	7|18	1702|1000		
50	【强化】6阶防具套装	1	2	6	2	2	7|51	2553|300	3	6|18|20	102108|800|600	5	7|18	2553|1600		
51	【普通】6阶防具套装	1	1	6	3	2	7|51	1702|200	3	6|18|20	68072|600|400	5	7|18	1702|1000		
52	【强化】6阶防具套装	1	2	6	3	2	7|51	2553|300	3	6|18|20	102108|800|600	5	7|18	2553|1600		
53	【普通】7阶防具套装	1	1	7	1	2	7|51	2566|200	3	6|18|20	102639|600|400	5	7|18	2566|1000		
54	【强化】7阶防具套装	1	2	7	1	2	7|51	3849|300	3	6|18|20	153959|800|600	5	7|18	3849|1600		
55	【普通】7阶防具套装	1	1	7	2	2	7|51	2566|200	3	6|18|20	102639|600|400	5	7|18	2566|1000		
56	【强化】7阶防具套装	1	2	7	2	2	7|51	3849|300	3	6|18|20	153959|800|600	5	7|18	3849|1600		
57	【普通】7阶防具套装	1	1	7	3	2	7|51	2566|200	3	6|18|20	102639|600|400	5	7|18	2566|1000		
58	【强化】7阶防具套装	1	2	7	3	2	7|51	3849|300	3	6|18|20	153959|800|600	5	7|18	3849|1600		
59	【普通】8阶防具套装	1	1	8	1	2	7|51	3923|200	3	6|18|20	156900|600|400	5	7|18	3923|1000		
60	【强化】8阶防具套装	1	2	8	1	2	7|51	5884|300	3	6|18|20	235350|800|600	5	7|18	5884|1600		
61	【普通】8阶防具套装	1	1	8	2	2	7|51	3923|200	3	6|18|20	156900|600|400	5	7|18	3923|1000		
62	【强化】8阶防具套装	1	2	8	2	2	7|51	5884|300	3	6|18|20	235350|800|600	5	7|18	5884|1600		
63	【普通】8阶防具套装	1	1	8	3	2	7|51	3923|200	3	6|18|20	156900|600|400	5	7|18	3923|1000		
64	【强化】8阶防具套装	1	2	8	3	2	7|51	5884|300	3	6|18|20	235350|800|600	5	7|18	5884|1600		
