int	int	int	int	int	int[]	int[]
ID	SuiteType	EquipPlace	SuiteLV	Job	CostItemID	CostItemCnt
编号	套装类型	装备部位	套装阶数	职业	材料ID	材料数量
1	1	8	1	0	5006	2
2	1	9	1	0	5007	2
3	1	10	1	0	5007	2
4	2	8	1	0	5006|5206	2|1
5	2	9	1	0	5007|5207	2|1
6	2	10	1	0	5007|5207	2|1
7	1	8	2	0	5006	3
8	1	9	2	0	5007	3
9	1	10	2	0	5007	3
10	2	8	2	0	5006|5206	3|2
11	2	9	2	0	5007|5207	3|2
12	2	10	2	0	5007|5207	3|2
13	1	8	3	0	5006	5
14	1	9	3	0	5007	5
15	1	10	3	0	5007	5
16	2	8	3	0	5006|5206	5|3
17	2	9	3	0	5007|5207	5|3
18	2	10	3	0	5007|5207	5|3
19	1	8	4	0	5006	8
20	1	9	4	0	5007	8
21	1	10	4	0	5007	8
22	2	8	4	0	5006|5206	8|5
23	2	9	4	0	5007|5207	8|5
24	2	10	4	0	5007|5207	8|5
25	1	8	5	0	5006	13
26	1	9	5	0	5007	13
27	1	10	5	0	5007	13
28	2	8	5	0	5006|5206	13|8
29	2	9	5	0	5007|5207	13|8
30	2	10	5	0	5007|5207	13|8
31	1	8	6	0	5006	21
32	1	9	6	0	5007	21
33	1	10	6	0	5007	21
34	2	8	6	0	5006|5206	21|13
35	2	9	6	0	5007|5207	21|13
36	2	10	6	0	5007|5207	21|13
37	1	8	7	0	5006	34
38	1	9	7	0	5007	34
39	1	10	7	0	5007	34
40	2	8	7	0	5006|5206	34|21
41	2	9	7	0	5007|5207	34|21
42	2	10	7	0	5007|5207	34|21
43	1	8	8	0	5006	55
44	1	9	8	0	5007	55
45	1	10	8	0	5007	55
46	2	8	8	0	5006|5206	55|34
47	2	9	8	0	5007|5207	55|34
48	2	10	8	0	5007|5207	55|34
49	1	3	1	1	5012	10
50	1	4	1	1	5012	10
51	1	5	1	1	5012	10
52	1	6	1	1	5012	10
53	1	7	1	1	5012	10
54	1	3	1	2	5022	10
55	1	4	1	2	5022	10
56	1	5	1	2	5022	10
57	1	6	1	2	5022	10
58	1	7	1	2	5022	10
59	1	3	1	3	5032	10
60	1	4	1	3	5032	10
61	1	5	1	3	5032	10
62	1	6	1	3	5032	10
63	1	7	1	3	5032	10
64	1	3	2	1	5012	16
65	1	4	2	1	5012	16
66	1	5	2	1	5012	16
67	1	6	2	1	5012	16
68	1	7	2	1	5012	16
69	1	3	2	2	5022	16
70	1	4	2	2	5022	16
71	1	5	2	2	5022	16
72	1	6	2	2	5022	16
73	1	7	2	2	5022	16
74	1	3	2	3	5032	16
75	1	4	2	3	5032	16
76	1	5	2	3	5032	16
77	1	6	2	3	5032	16
78	1	7	2	3	5032	16
79	1	3	3	1	5012	27
80	1	4	3	1	5012	27
81	1	5	3	1	5012	27
82	1	6	3	1	5012	27
83	1	7	3	1	5012	27
84	1	3	3	2	5022	27
85	1	4	3	2	5022	27
86	1	5	3	2	5022	27
87	1	6	3	2	5022	27
88	1	7	3	2	5022	27
89	1	3	3	3	5032	27
90	1	4	3	3	5032	27
91	1	5	3	3	5032	27
92	1	6	3	3	5032	27
93	1	7	3	3	5032	27
94	1	3	4	1	5012	48
95	1	4	4	1	5012	48
96	1	5	4	1	5012	48
97	1	6	4	1	5012	48
98	1	7	4	1	5012	48
99	1	3	4	2	5022	48
100	1	4	4	2	5022	48
101	1	5	4	2	5022	48
102	1	6	4	2	5022	48
103	1	7	4	2	5022	48
104	1	3	4	3	5032	48
105	1	4	4	3	5032	48
106	1	5	4	3	5032	48
107	1	6	4	3	5032	48
108	1	7	4	3	5032	48
109	1	3	5	1	5012	86
110	1	4	5	1	5012	86
111	1	5	5	1	5012	86
112	1	6	5	1	5012	86
113	1	7	5	1	5012	86
114	1	3	5	2	5022	86
115	1	4	5	2	5022	86
116	1	5	5	2	5022	86
117	1	6	5	2	5022	86
118	1	7	5	2	5022	86
119	1	3	5	3	5032	86
120	1	4	5	3	5032	86
121	1	5	5	3	5032	86
122	1	6	5	3	5032	86
123	1	7	5	3	5032	86
124	1	3	6	1	5012	155
125	1	4	6	1	5012	155
126	1	5	6	1	5012	155
127	1	6	6	1	5012	155
128	1	7	6	1	5012	155
129	1	3	6	2	5022	155
130	1	4	6	2	5022	155
131	1	5	6	2	5022	155
132	1	6	6	2	5022	155
133	1	7	6	2	5022	155
134	1	3	6	3	5032	155
135	1	4	6	3	5032	155
136	1	5	6	3	5032	155
137	1	6	6	3	5032	155
138	1	7	6	3	5032	155
139	1	3	7	1	5012	288
140	1	4	7	1	5012	288
141	1	5	7	1	5012	288
142	1	6	7	1	5012	288
143	1	7	7	1	5012	288
144	1	3	7	2	5022	288
145	1	4	7	2	5022	288
146	1	5	7	2	5022	288
147	1	6	7	2	5022	288
148	1	7	7	2	5022	288
149	1	3	7	3	5032	288
150	1	4	7	3	5032	288
151	1	5	7	3	5032	288
152	1	6	7	3	5032	288
153	1	7	7	3	5032	288
154	1	3	8	1	5012	532
155	1	4	8	1	5012	532
156	1	5	8	1	5012	532
157	1	6	8	1	5012	532
158	1	7	8	1	5012	532
159	1	3	8	2	5022	532
160	1	4	8	2	5022	532
161	1	5	8	2	5022	532
162	1	6	8	2	5022	532
163	1	7	8	2	5022	532
164	1	3	8	3	5032	532
165	1	4	8	3	5032	532
166	1	5	8	3	5032	532
167	1	6	8	3	5032	532
168	1	7	8	3	5032	532
169	2	3	1	1	5012|5202	10|2
170	2	4	1	1	5012|5202	10|2
171	2	5	1	1	5012|5202	10|2
172	2	6	1	1	5012|5202	10|2
173	2	7	1	1	5012|5202	10|2
174	2	3	1	2	5022|5202	10|2
175	2	4	1	2	5022|5202	10|2
176	2	5	1	2	5022|5202	10|2
177	2	6	1	2	5022|5202	10|2
178	2	7	1	2	5022|5202	10|2
179	2	3	1	3	5032|5202	10|2
180	2	4	1	3	5032|5202	10|2
181	2	5	1	3	5032|5202	10|2
182	2	6	1	3	5032|5202	10|2
183	2	7	1	3	5032|5202	10|2
184	2	3	2	1	5012|5202	16|3
185	2	4	2	1	5012|5202	16|3
186	2	5	2	1	5012|5202	16|3
187	2	6	2	1	5012|5202	16|3
188	2	7	2	1	5012|5202	16|3
189	2	3	2	2	5022|5202	16|3
190	2	4	2	2	5022|5202	16|3
191	2	5	2	2	5022|5202	16|3
192	2	6	2	2	5022|5202	16|3
193	2	7	2	2	5022|5202	16|3
194	2	3	2	3	5032|5202	16|3
195	2	4	2	3	5032|5202	16|3
196	2	5	2	3	5032|5202	16|3
197	2	6	2	3	5032|5202	16|3
198	2	7	2	3	5032|5202	16|3
199	2	3	3	1	5012|5202	27|5
200	2	4	3	1	5012|5202	27|5
201	2	5	3	1	5012|5202	27|5
202	2	6	3	1	5012|5202	27|5
203	2	7	3	1	5012|5202	27|5
204	2	3	3	2	5022|5202	27|5
205	2	4	3	2	5022|5202	27|5
206	2	5	3	2	5022|5202	27|5
207	2	6	3	2	5022|5202	27|5
208	2	7	3	2	5022|5202	27|5
209	2	3	3	3	5032|5202	27|5
210	2	4	3	3	5032|5202	27|5
211	2	5	3	3	5032|5202	27|5
212	2	6	3	3	5032|5202	27|5
213	2	7	3	3	5032|5202	27|5
214	2	3	4	1	5012|5202	48|8
215	2	4	4	1	5012|5202	48|8
216	2	5	4	1	5012|5202	48|8
217	2	6	4	1	5012|5202	48|8
218	2	7	4	1	5012|5202	48|8
219	2	3	4	2	5022|5202	48|8
220	2	4	4	2	5022|5202	48|8
221	2	5	4	2	5022|5202	48|8
222	2	6	4	2	5022|5202	48|8
223	2	7	4	2	5022|5202	48|8
224	2	3	4	3	5032|5202	48|8
225	2	4	4	3	5032|5202	48|8
226	2	5	4	3	5032|5202	48|8
227	2	6	4	3	5032|5202	48|8
228	2	7	4	3	5032|5202	48|8
229	2	3	5	1	5012|5202	86|13
230	2	4	5	1	5012|5202	86|13
231	2	5	5	1	5012|5202	86|13
232	2	6	5	1	5012|5202	86|13
233	2	7	5	1	5012|5202	86|13
234	2	3	5	2	5022|5202	86|13
235	2	4	5	2	5022|5202	86|13
236	2	5	5	2	5022|5202	86|13
237	2	6	5	2	5022|5202	86|13
238	2	7	5	2	5022|5202	86|13
239	2	3	5	3	5032|5202	86|13
240	2	4	5	3	5032|5202	86|13
241	2	5	5	3	5032|5202	86|13
242	2	6	5	3	5032|5202	86|13
243	2	7	5	3	5032|5202	86|13
244	2	3	6	1	5012|5202	155|21
245	2	4	6	1	5012|5202	155|21
246	2	5	6	1	5012|5202	155|21
247	2	6	6	1	5012|5202	155|21
248	2	7	6	1	5012|5202	155|21
249	2	3	6	2	5022|5202	155|21
250	2	4	6	2	5022|5202	155|21
251	2	5	6	2	5022|5202	155|21
252	2	6	6	2	5022|5202	155|21
253	2	7	6	2	5022|5202	155|21
254	2	3	6	3	5032|5202	155|21
255	2	4	6	3	5032|5202	155|21
256	2	5	6	3	5032|5202	155|21
257	2	6	6	3	5032|5202	155|21
258	2	7	6	3	5032|5202	155|21
259	2	3	7	1	5012|5202	288|34
260	2	4	7	1	5012|5202	288|34
261	2	5	7	1	5012|5202	288|34
