int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
id	type	level	attType1	attMax1	attCostMoneyMin1	attCostMoneyMax1	attType2	attMax2	attCostMoneyMin2	attCostMoneyMax2	attType3	attMax3	attCostMoneyMin3	attCostMoneyMax3	costItem	costCount	costMoneyList
编号	装备归组类型	洗练等级	属性1类型	属性1上限	仙玉洗练下限	仙玉洗练上限	属性2类型	属性2上限	仙玉洗练下限	仙玉洗练上限	属性3类型	属性3上限	仙玉洗练下限	仙玉洗练上限	消耗道具ID	消耗道具数量	勾选1,2,3条的仙玉消耗
1	1	1	7	30	10	10	32	30	10	10	26	30	10	10	5303	3	5|10|15
2	1	2	7	70	10	10	32	70	10	10	26	70	10	10	5303	5	10|20|30
3	1	3	7	120	10	10	32	120	10	10	26	120	10	10	5303	8	10|20|30
4	1	4	7	180	10	10	32	180	10	10	26	180	10	10	5303	12	10|20|30
5	1	5	7	250	10	10	32	250	10	10	26	250	10	10	5303	15	10|20|30
6	1	6	7	350	10	10	32	350	10	10	26	350	10	10	5303	18	20|40|60
7	1	7	7	500	10	10	32	500	10	10	26	500	10	10	5303	20	20|40|60
8	1	8	7	750	10	10	32	750	10	10	26	750	10	10	5303	25	30|60|90
9	1	9	7	1050	10	10	32	1050	10	10	26	1050	10	10	5303	30	30|60|90
10	1	10	7	1450	10	10	32	1450	10	10	26	1450	10	10	5303	40	40|80|120
21	2	1	6	600	200	200	27	30	10	10	26	30	10	10	5303	3	5|10|15
22	2	2	6	1400	200	200	27	70	10	10	26	70	10	10	5303	5	10|20|30
23	2	3	6	2400	200	200	27	120	10	10	26	120	10	10	5303	8	10|20|30
24	2	4	6	3600	200	200	27	180	10	10	26	180	10	10	5303	12	10|20|30
25	2	5	6	5000	200	200	27	250	10	10	26	250	10	10	5303	15	10|20|30
26	2	6	6	7000	200	200	27	350	10	10	26	350	10	10	5303	18	20|40|60
27	2	7	6	10000	200	200	27	500	10	10	26	500	10	10	5303	20	20|40|60
28	2	8	6	15000	200	200	27	750	10	10	26	750	10	10	5303	25	30|60|90
29	2	9	6	21000	200	200	27	1050	10	10	26	1050	10	10	5303	30	30|60|90
30	2	10	6	29000	200	200	27	1450	10	10	26	1450	10	10	5303	40	40|80|120
41	3	1	7	30	10	10	32	30	10	10	26	30	10	10	5303	3	5|10|15
42	3	2	7	70	10	10	32	70	10	10	26	70	10	10	5303	5	10|20|30
43	3	3	7	120	10	10	32	120	10	10	26	120	10	10	5303	8	10|20|30
44	3	4	7	180	10	10	32	180	10	10	26	180	10	10	5303	12	10|20|30
45	3	5	7	250	10	10	32	250	10	10	26	250	10	10	5303	15	10|20|30
46	3	6	7	350	10	10	32	350	10	10	26	350	10	10	5303	18	20|40|60
47	3	7	7	500	10	10	32	500	10	10	26	500	10	10	5303	20	20|40|60
48	3	8	7	750	10	10	32	750	10	10	26	750	10	10	5303	25	30|60|90
49	3	9	7	1050	10	10	32	1050	10	10	26	1050	10	10	5303	30	30|60|90
50	3	10	7	1450	10	10	32	1450	10	10	26	1450	10	10	5303	40	40|80|120
