int	int	int	int
techID	attrType	attrValue	needPoint
科技ID*1000+等级	属性类型	属性值	升到目标等级需要贡献度
1001	41	50	470
1002	41	100	580
1003	41	150	700
1004	41	200	820
1005	41	250	960
1006	41	300	1100
1007	41	350	1250
1008	41	400	1410
1009	41	450	1590
1010	41	500	1770
1011	41	550	1960
1012	41	600	2170
1013	41	650	2380
1014	41	700	2610
1015	41	750	2850
1016	41	800	3100
1017	41	850	3360
1018	41	900	3640
1019	41	950	3930
1020	41	1000	4240
1021	41	1050	4560
1022	41	1100	4890
1023	41	1150	5240
1024	41	1200	5610
1025	41	1250	5990
1026	41	1300	6390
1027	41	1350	6800
1028	41	1400	7240
1029	41	1450	7690
1030	41	1500	8160
1031	41	1550	8650
1032	41	1600	9160
1033	41	1650	9690
1034	41	1700	10240
1035	41	1750	10810
1036	41	1800	11400
1037	41	1850	12010
1038	41	1900	12650
1039	41	1950	13310
1040	41	2000	13990
1041	41	2050	14700
1042	41	2100	15430
1043	41	2150	16190
1044	41	2200	16980
1045	41	2250	17790
1046	41	2300	18620
1047	41	2350	19490
1048	41	2400	20380
1049	41	2450	21300
1050	41	2500	22260
1051	41	2550	23240
1052	41	2600	24250
1053	41	2650	25290
1054	41	2700	26370
1055	41	2750	27480
1056	41	2800	28620
1057	41	2850	29790
1058	41	2900	31000
1059	41	2950	32250
1060	41	3000	33530
1061	41	3050	34840
1062	41	3100	36200
1063	41	3150	37590
1064	41	3200	39020
1065	41	3250	40490
1066	41	3300	42000
1067	41	3350	43550
1068	41	3400	45140
1069	41	3450	46780
1070	41	3500	48450
1071	41	3550	50170
1072	41	3600	51940
1073	41	3650	53750
1074	41	3700	55600
1075	41	3750	57510
1076	41	3800	59460
1077	41	3850	61450
1078	41	3900	63500
1079	41	3950	65600
1080	41	4000	67740
1081	41	4050	69940
1082	41	4100	72190
1083	41	4150	74500
1084	41	4200	76850
1085	41	4250	79260
1086	41	4300	81730
1087	41	4350	84260
1088	41	4400	86840
1089	41	4450	89470
1090	41	4500	92170
1091	41	4550	94930
1092	41	4600	97750
1093	41	4650	100620
1094	41	4700	103570
1095	41	4750	106570
1096	41	4800	109640
1097	41	4850	112770
1098	41	4900	115970
1099	41	4950	119240
1100	41	5000	127410
1101	41	5050	136260
1102	41	5100	136970
1103	41	5150	137730
1104	41	5200	138550
1105	41	5250	139410
1106	41	5300	140340
1107	41	5350	141320
1108	41	5400	142370
1109	41	5450	143480
1110	41	5500	144670
1111	41	5550	145930
1112	41	5600	147270
1113	41	5650	148690
1114	41	5700	150190
1115	41	5750	151790
1116	41	5800	153470
1117	41	5850	155250
1118	41	5900	157130
1119	41	5950	159120
1120	41	6000	161210
1121	41	6050	163410
1122	41	6100	165720
1123	41	6150	168150
1124	41	6200	170700
1125	41	6250	173370
1126	41	6300	176180
1127	41	6350	179110
1128	41	6400	182180
1129	41	6450	185380
1130	41	6500	188730
1131	41	6550	192220
1132	41	6600	195860
1133	41	6650	199650
1134	41	6700	203600
1135	41	6750	207710
1136	41	6800	211980
1137	41	6850	216420
1138	41	6900	221020
1139	41	6950	225800
1140	41	7000	230760
1141	41	7050	235900
1142	41	7100	241220
1143	41	7150	246730
1144	41	7200	252430
1145	41	7250	258320
1146	41	7300	264420
1147	41	7350	270710
1148	41	7400	277210
1149	41	7450	283920
1150	41	7500	290840
2001	42	50	350
2002	42	100	440
2003	42	150	520
2004	42	200	620
2005	42	250	720
2006	42	300	830
2007	42	350	940
2008	42	400	1060
2009	42	450	1190
2010	42	500	1330
2011	42	550	1470
2012	42	600	1620
2013	42	650	1790
2014	42	700	1950
2015	42	750	2130
2016	42	800	2320
2017	42	850	2520
2018	42	900	2730
2019	42	950	2950
2020	42	1000	3180
2021	42	1050	3420
2022	42	1100	3670
2023	42	1150	3930
2024	42	1200	4200
2025	42	1250	4490
2026	42	1300	4790
2027	42	1350	5100
2028	42	1400	5430
2029	42	1450	5770
2030	42	1500	6120
2031	42	1550	6490
2032	42	1600	6870
2033	42	1650	7260
2034	42	1700	7680
2035	42	1750	8100
2036	42	1800	8550
2037	42	1850	9010
2038	42	1900	9490
2039	42	1950	9980
2040	42	2000	10500
2041	42	2050	11030
2042	42	2100	11580
2043	42	2150	12140
2044	42	2200	12730
2045	42	2250	13340
2046	42	2300	13970
2047	42	2350	14620
2048	42	2400	15290
2049	42	2450	15980
2050	42	2500	16690
2051	42	2550	17430
2052	42	2600	18190
2053	42	2650	18970
2054	42	2700	19780
2055	42	2750	20610
2056	42	2800	21460
2057	42	2850	22340
2058	42	2900	23250
2059	42	2950	24180
2060	42	3000	25150
2061	42	3050	26130
2062	42	3100	27150
2063	42	3150	28190
2064	42	3200	29270
2065	42	3250	30370
2066	42	3300	31500
2067	42	3350	32660
2068	42	3400	33860
2069	42	3450	35080
2070	42	3500	36340
2071	42	3550	37630
2072	42	3600	38950
2073	42	3650	40310
2074	42	3700	41700
2075	42	3750	43130
2076	42	3800	44590
2077	42	3850	46090
2078	42	3900	47630
2079	42	3950	49200
2080	42	4000	50810
2081	42	4050	52460
2082	42	4100	54140
2083	42	4150	55870
2084	42	4200	57640
2085	42	4250	59450
2086	42	4300	61300
2087	42	4350	63190
2088	42	4400	65130
2089	42	4450	67110
2090	42	4500	69130
2091	42	4550	71200
2092	42	4600	73310
2093	42	4650	75470
2094	42	4700	77670
2095	42	4750	79930
2096	42	4800	82230
2097	42	4850	84580
2098	42	4900	86980
2099	42	4950	89430
2100	42	5000	95560
2101	42	5050	102190
2102	42	5100	102730
2103	42	5150	103300
2104	42	5200	103910
2105	42	5250	104560
2106	42	5300	105250
2107	42	5350	105990
2108	42	5400	106780
2109	42	5450	107610
2110	42	5500	108500
2111	42	5550	109450
2112	42	5600	110450
2113	42	5650	111510
2114	42	5700	112640
2115	42	5750	113840
2116	42	5800	115100
2117	42	5850	116440
2118	42	5900	117850
2119	42	5950	119340
2120	42	6000	120900
2121	42	6050	122550
2122	42	6100	124290
2123	42	6150	126110
2124	42	6200	128030
2125	42	6250	130030
2126	42	6300	132130
2127	42	6350	134330
2128	42	6400	136630
2129	42	6450	139040
2130	42	6500	141550
2131	42	6550	144170
2132	42	6600	146900
2133	42	6650	149740
2134	42	6700	152700
2135	42	6750	155780
2136	42	6800	158990
2137	42	6850	162310
2138	42	6900	165770
2139	42	6950	169350
2140	42	7000	173070
2141	42	7050	176930
2142	42	7100	180920
2143	42	7150	185050
2144	42	7200	189320
2145	42	7250	193740
2146	42	7300	198310
2147	42	7350	203030
2148	42	7400	207910
2149	42	7450	212940
2150	42	7500	218130
3001	43	50	350
3002	43	100	440
3003	43	150	520
3004	43	200	620
3005	43	250	720
3006	43	300	830
3007	43	350	940
3008	43	400	1060
3009	43	450	1190
3010	43	500	1330
3011	43	550	1470
3012	43	600	1620
3013	43	650	1790
3014	43	700	1950
3015	43	750	2130
3016	43	800	2320
3017	43	850	2520
3018	43	900	2730
3019	43	950	2950
3020	43	1000	3180
3021	43	1050	3420
3022	43	1100	3670
3023	43	1150	3930
3024	43	1200	4200
3025	43	1250	4490
3026	43	1300	4790
3027	43	1350	5100
3028	43	1400	5430
3029	43	1450	5770
3030	43	1500	6120
3031	43	1550	6490
3032	43	1600	6870
3033	43	1650	7260
3034	43	1700	7680
3035	43	1750	8100
3036	43	1800	8550
3037	43	1850	9010
3038	43	1900	9490
3039	43	1950	9980
3040	43	2000	10500
3041	43	2050	11030
3042	43	2100	11580
3043	43	2150	12140
3044	43	2200	12730
3045	43	2250	13340
3046	43	2300	13970
3047	43	2350	14620
3048	43	2400	15290
3049	43	2450	15980
3050	43	2500	16690
3051	43	2550	17430
3052	43	2600	18190
3053	43	2650	18970
3054	43	2700	19780
3055	43	2750	20610
3056	43	2800	21460
3057	43	2850	22340
3058	43	2900	23250
3059	43	2950	24180
3060	43	3000	25150
3061	43	3050	26130
3062	43	3100	27150
3063	43	3150	28190
3064	43	3200	29270
3065	43	3250	30370
3066	43	3300	31500
3067	43	3350	32660
3068	43	3400	33860
3069	43	3450	35080
3070	43	3500	36340
3071	43	3550	37630
3072	43	3600	38950
3073	43	3650	40310
3074	43	3700	41700
3075	43	3750	43130
3076	43	3800	44590
3077	43	3850	46090
3078	43	3900	47630
3079	43	3950	49200
3080	43	4000	50810
3081	43	4050	52460
3082	43	4100	54140
3083	43	4150	55870
3084	43	4200	57640
3085	43	4250	59450
3086	43	4300	61300
3087	43	4350	63190
3088	43	4400	65130
3089	43	4450	67110
3090	43	4500	69130
3091	43	4550	71200
3092	43	4600	73310
3093	43	4650	75470
3094	43	4700	77670
3095	43	4750	79930
3096	43	4800	82230
3097	43	4850	84580
3098	43	4900	86980
3099	43	4950	89430
3100	43	5000	95560
3101	43	5050	102190
3102	43	5100	102730
3103	43	5150	103300
3104	43	5200	103910
3105	43	5250	104560
3106	43	5300	105250
3107	43	5350	105990
3108	43	5400	106780
3109	43	5450	107610
3110	43	5500	108500
3111	43	5550	109450
3112	43	5600	110450
3113	43	5650	111510
3114	43	5700	112640
3115	43	5750	113840
3116	43	5800	115100
3117	43	5850	116440
3118	43	5900	117850
3119	43	5950	119340
3120	43	6000	120900
3121	43	6050	122550
3122	43	6100	124290
3123	43	6150	126110
3124	43	6200	128030
3125	43	6250	130030
3126	43	6300	132130
3127	43	6350	134330
3128	43	6400	136630
3129	43	6450	139040
3130	43	6500	141550
3131	43	6550	144170
3132	43	6600	146900
3133	43	6650	149740
3134	43	6700	152700
3135	43	6750	155780
3136	43	6800	158990
3137	43	6850	162310
3138	43	6900	165770
3139	43	6950	169350
3140	43	7000	173070
3141	43	7050	176930
3142	43	7100	180920
3143	43	7150	185050
3144	43	7200	189320
3145	43	7250	193740
3146	43	7300	198310
3147	43	7350	203030
3148	43	7400	207910
3149	43	7450	212940
3150	43	7500	218130
4001	75	260	1730
4002	75	530	2140
4003	75	800	2570
4004	75	1060	3030
4005	75	1330	3530
4006	75	1600	4050
4007	75	1860	4610
4008	75	2130	5210
4009	75	2400	5840
4010	75	2660	6520
4011	75	2930	7230
4012	75	3200	7980
4013	75	3460	8770
4014	75	3730	9600
4015	75	4000	10490
4016	75	4260	11420
4017	75	4530	12390
4018	75	4800	13410
4019	75	5060	14480
4020	75	5330	15610
4021	75	5600	16790
4022	75	5860	18020
4023	75	6130	19310
4024	75	6400	20660
4025	75	6660	22070
4026	75	6930	23540
4027	75	7200	25070
4028	75	7460	26660
4029	75	7730	28330
4030	75	8000	30070
4031	75	8260	31870
4032	75	8530	33750
4033	75	8800	35690
4034	75	9060	37720
4035	75	9330	39820
4036	75	9600	42000
4037	75	9860	44260
4038	75	10130	46620
4039	75	10400	49050
4040	75	10660	51570
4041	75	10930	54180
4042	75	11200	56870
4043	75	11460	59670
4044	75	11730	62560
4045	75	12000	65540
4046	75	12260	68630
4047	75	12530	71810
4048	75	12800	75110
4049	75	13060	78510
4050	75	13330	82010
4051	75	13600	85620
4052	75	13860	89360
4053	75	14130	93200
4054	75	14400	97170
4055	75	14660	101250
4056	75	14930	105460
4057	75	15200	109780
4058	75	15460	114240
4059	75	15730	118830
4060	75	16000	123550
4061	75	16260	128400
4062	75	16530	133390
