int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
LV	Hit	Miss	DamagePer	DamReduce	IgnoreDefRate	DamChanceDef	BleedDamage	FaintRate	SuperHitReduce	LuckyHitRateReduce	SkillAtkRate	SkillAtkRateReduce	DamagePerPVP	DamagePerPVPReduce	DamBackPer	IgnoreDefRateReduce	FaintDefRate	AtkSpeedParameter	LuckyHitParameter
等级	命中	闪避	增加伤害	减少伤害	无视防御	抵御	流血伤害	击晕	暴击抗性	会心一击抗性	技能伤害	技能减伤	PVP伤害增加	PVP伤害减少	伤害反射	无视防御抗性	控制抵抗	攻速	会心一击
1	220	220	1770	516	1020	103	74	148	1448	1	893	893	1770	516	211	1020	1	2360	708
2	240	240	1800	575	1040	115	75	150	1448	1	906	906	1800	575	235	1040	1	2400	720
3	260	260	1845	653	1080	131	77	154	1448	1	920	920	1845	653	267	1080	1	2460	738
4	280	280	1920	718	1100	144	80	160	1448	1	973	973	1920	718	293	1100	1	2560	768
5	300	300	1980	784	1140	157	83	165	1448	1	1000	1000	1980	784	320	1140	1	2640	792
6	320	320	2085	850	1140	170	87	174	1448	1	1093	1093	2085	850	347	1140	1	2780	834
7	340	340	2160	939	1220	188	90	180	1448	1	1106	1106	2160	939	384	1220	1	2880	864
8	360	360	2280	1010	1280	202	95	190	1448	1	1173	1173	2280	1010	413	1280	1	3040	912
9	380	380	2385	1079	1300	216	99	199	1448	1	1253	1253	2385	1079	441	1300	1	3180	954
10	400	400	2505	1147	1320	229	104	209	1448	1	1346	1346	2505	1147	469	1320	1	3340	1002
11	420	420	2565	1229	1400	246	107	214	1448	1	1346	1346	2565	1229	502	1400	1	3420	1026
12	440	440	2655	1299	1420	260	111	221	1448	1	1413	1413	2655	1299	531	1420	1	3540	1062
13	460	460	2730	1370	1460	274	114	228	1448	1	1453	1453	2730	1370	560	1460	1	3640	1092
14	480	480	2790	1442	1500	288	116	233	1448	1	1480	1480	2790	1442	589	1500	1	3720	1116
15	500	500	3375	1572	1680	314	141	281	1448	1	1880	1880	3375	1572	643	1680	1	4500	1350
16	520	520	3435	1631	1700	326	143	286	1448	1	1920	1920	3435	1631	667	1700	1	4580	1374
17	540	540	3495	1693	1700	339	146	291	1448	1	1973	1973	3495	1693	692	1700	1	4660	1398
18	560	560	3675	1939	1740	388	153	306	1448	1	2106	2106	3675	1939	793	1740	1	4900	1470
19	580	580	3765	2096	1780	419	157	314	1448	1	2160	2160	3765	2096	857	1780	1	5020	1506
20	600	600	3900	2243	1800	449	163	325	1448	1	2266	2266	3900	2243	917	1800	1	5200	1560
21	620	620	4005	2396	1800	479	167	334	1448	1	2360	2360	4005	2396	980	1800	1	5340	1602
22	640	640	4125	2607	2000	521	172	344	1448	1	2333	2333	4125	2607	1066	2000	1	5500	1650
23	660	660	4335	2759	2020	552	181	361	1448	1	2506	2506	4335	2759	1128	2020	1	5780	1734
24	680	680	4545	2923	2100	585	189	379	1448	1	2640	2640	4545	2923	1195	2100	1	6060	1818
25	700	700	4710	3090	2140	618	196	393	1448	1	2760	2760	4710	3090	1264	2140	1	6280	1884
26	720	720	4890	3276	2260	655	204	408	1448	1	2840	2840	4890	3276	1340	2260	1	6520	1956
27	740	740	4980	3365	2340	673	208	415	1448	1	2866	2866	4980	3365	1376	2340	1	6640	1992
28	760	760	5055	3453	2420	691	211	421	1448	1	2880	2880	5055	3453	1412	2420	1	6740	2022
29	780	780	5100	3555	2520	711	213	425	1448	1	2853	2853	5100	3555	1454	2520	1	6800	2040
30	800	800	5250	3813	2760	763	219	438	1448	1	2826	2826	5250	3813	1559	2760	1	7000	2100
31	820	820	5955	3964	2960	793	248	496	1448	1	3320	3320	5955	3964	1621	2960	1	7940	2382
32	840	840	6015	4142	3200	828	251	501	1448	1	3213	3213	6015	4142	1694	3200	2	8020	2406
33	860	860	6075	4228	3260	846	253	506	1448	1	3226	3226	6075	4228	1729	3260	3	8100	2430
34	880	880	6135	4313	3300	863	256	511	1448	1	3253	3253	6135	4313	1764	3300	4	8180	2454
35	900	900	6180	4398	3340	880	258	515	1448	1	3266	3266	6180	4398	1799	3340	5	8240	2472
36	920	920	6240	4486	3400	897	260	520	1448	1	3280	3280	6240	4486	1835	3400	6	8320	2496
37	940	940	6300	4586	3460	917	263	525	1448	1	3293	3293	6300	4586	1876	3460	7	8400	2520
38	960	960	6390	4696	3580	939	266	533	1448	1	3293	3293	6390	4696	1921	3580	8	8520	2556
39	980	980	6435	4829	3720	966	268	536	1448	1	3240	3240	6435	4829	1975	3720	9	8580	2574
40	1000	1000	6630	4952	3880	990	276	553	1448	1	3306	3306	6630	4952	2025	3880	10	8840	2652
41	1020	1020	6705	5079	4000	1016	279	559	1448	1	3293	3293	6705	5079	2077	4000	11	8940	2682
42	1040	1040	6780	5180	4080	1036	283	565	1448	1	3306	3306	6780	5180	2119	4080	12	9040	2712
43	1060	1060	6810	5254	4100	1051	284	568	1448	1	3320	3320	6810	5254	2149	4100	13	9080	2724
44	1080	1080	6885	5348	4160	1070	287	574	1448	1	3346	3346	6885	5348	2187	4160	14	9180	2754
45	1100	1100	6945	5458	4260	1092	289	579	1448	1	3333	3333	6945	5458	2232	4260	15	9260	2778
46	1120	1120	7020	5553	4320	1111	293	585	1448	1	3360	3360	7020	5553	2271	4320	16	9360	2808
47	1140	1140	7080	5650	4380	1130	295	590	1448	1	3373	3373	7080	5650	2311	4380	17	9440	2832
48	1160	1160	7140	5749	4440	1150	298	595	1448	1	3386	3386	7140	5749	2351	4440	18	9520	2856
49	1180	1180	7275	5860	4540	1172	303	606	1448	1	3440	3440	7275	5860	2397	4540	19	9700	2910
50	1200	1200	7425	5948	4560	1190	309	619	1448	1	3560	3560	7425	5948	2433	4560	20	9900	2970
51	1220	1220	7545	6030	4600	1206	314	629	1448	1	3640	3640	7545	6030	2466	4600	21	10060	3018
52	1240	1240	7665	6105	4600	1221	319	639	1448	1	3746	3746	7665	6105	2497	4600	22	10220	3066
53	1260	1260	7815	6201	4660	1240	326	651	1448	1	3840	3840	7815	6201	2536	4660	23	10420	3126
54	1280	1280	7965	6292	4700	1258	332	664	1448	1	3946	3946	7965	6292	2574	4700	24	10620	3186
55	1300	1300	8055	6618	5260	1324	336	671	1448	1	3653	3653	8055	6618	2707	5260	25	10740	3222
56	1320	1320	8102	6714	5323	1343	338	675	1453	1	3652	3652	8102	6714	2746	5323	26	10802	3240
57	1340	1340	8163	6812	5366	1362	340	680	1459	3	3679	3679	8163	6812	2786	5366	27	10885	3265
58	1360	1360	8270	6910	5429	1382	345	689	1465	4	3732	3732	8270	6910	2826	5429	28	11027	3308
59	1380	1380	8317	7023	5492	1405	347	693	1471	6	3731	3731	8317	7023	2873	5492	29	11089	3326
60	1400	1400	8379	7135	5595	1427	349	698	1476	7	3718	3718	8379	7135	2918	5595	29	11172	3351
61	1420	1420	8546	7346	5678	1469	356	712	1482	9	3810	3810	8546	7346	3005	5678	29	11394	3418
62	1440	1440	8773	7564	5801	1513	366	731	1488	11	3930	3930	8773	7564	3094	5801	29	11697	3509
63	1460	1460	8940	7786	5905	1557	373	745	1494	13	4010	4010	8940	7786	3185	5905	29	11920	3576
64	1480	1480	9167	8006	6029	1601	382	764	1499	15	4129	4129	9167	8006	3275	6029	29	12223	3666
65	1500	1500	9415	8236	6152	1647	392	785	1505	17	4267	4267	9415	8236	3369	6152	29	12554	3766
