string	string	string	string	string	string
KEY	Numerical1	Numerical2	Numerical3	Numerical4	Numerical5
标识	数值1	数值2	数值3	数值4	数值5
GemOpen	1|3|5	0	0	0	0
GemOpenVip	6	0	0	0	0
GemType1	3|4|5|6|7	可镶嵌生命翡翠	0	0	0
GemType2	1|2|8|9|10	可镶嵌攻击炎晶	0	0	0
GemTypeCount	2	0	0	0	0
GemUpCostFormula	1_3501|2_3511	3	0	0	0
GemAttr	{0}+{1}	0	0	0	0
GemNewAttr	{0}级新增{1}属性	0	0	0	0
OneKeySellGridCount	48	0	0	0	0
OneKeySellItemType	101|102|103|104|105|106|107	0	0	0	0
LifePotionlist	901|902|903|904				
BagCompound	25_21|44_18|39_17				
OpenBagItem	951	((index/4.0$)#)	20	0	0
InitDepotCellCount	60	0	0	0	0
MaxDepotCellCount	100	0	0	0	0
DepotSortPriority	101|102|103|104|105|106|107|108|109|110|112	0	0	0	0
InitBagCellCount	60	0	0	0	0
MaxBagCellCount	100	0	0	0	0
BagUseItem	4	0	0	0	0
PackageSortPriority	101|102|103|104|105|106|107|108|109|110|111	0	0	0	0
ExpValueDes	(PlayerReExp!MaxReExp)*TimeValue				
IceLodeNeedPoint	1500	31401001_50|31403001_300	0	0	0
ClearDevilPoint	1200	{30102001:20,30102002:50,30102003:300}	0	0	0
AI197Point	{"31040":[[16,34],[18,99]]} 				
AI198Point	{"3119000":[[15,19],[7,16],[13,22],[21,26]],"3119001":[[15,19],[7,16],[13,22],[21,26]],"3119002":[[15,19],[7,16],[13,22],[21,26]],"3119003":[[15,19],[7,16],[13,22],[21,26]],"3119004":[[15,19],[7,16],[13,22],[21,26]],"3119005":[[15,19],[7,16],[13,22],[21,26]],"3119006":[[15,19],[7,16],[13,22],[21,26]],"3118000":[[71,17],[73,63],[21,48]],"5101002":[[114,19]],"5101004":[[56,65],[83,88]],"3101000":[[6,25]],"4111000":[[17,16]],"4111001":[[17,16]],"4111002":[[17,16]],"4111003":[[17,16]],"4111004":[[17,16]],"4111005":[[17,16]],"4111006":[[17,16]],"4111007":[[17,16]],"4111008":[[17,16]],"4111009":[[77,17]],"4111010":[[77,17]],"4111011":[[77,17]],"4111012":[[77,17]],"4111013":[[77,17]],"4111014":[[77,17]],"4111015":[[77,17]],"4111016":[[77,17]],"4111017":[[77,17]],"4111018":[[77,17]],"4111019":[[77,17]],"4111020":[[77,17]],"4111021":[[77,17]],"4111022":[[77,17]],"3116000":[[59,25],[116,27],[88,53],[114,65],[36,78],[135,82],[99,93],[109,111],[66,111],[41,120]],"6001000":[[46,16],[10,18]],"6001001":[[198,24],[184,21],[144,23],[123,23]],"6001002":[[294,21],[279,21],[264,21],[236,23]],"3121000":[[12,38]],"5101007":[[66,118]],"5101003":[[18,66]],"5101005":[[122,70]],"5101006":[[8,109],[17,109],[12,119]]} 				
RuneShop	2	0	0	0	0
RuneUnlock	0|204|304|404|504|604|704|804	0	0	0	0
RuneDoubleInlayCnt	908_1|1008_2|1108_3|1208_4				
RunePackageNum	200	0	0	0	0
RuneAttr7	(118154*(0.1+0.3*(level/50.0)+0.35*(level/50.0^2)+0.25*(level/50.0^3))*2*0.5/20#)	1_0.2|2_0.3|3_0.5|4_0.7|5_1	1.5	0	0
RuneAttr6	(118154*(0.1+0.3*(level/50.0)+0.35*(level/50.0^2)+0.25*(level/50.0^3))*2*0.5#)	1_0.2|2_0.3|3_0.5|4_0.7|5_1	1.5	0	0
RuneAttr44	1300+level*200	1_0.3|2_0.45|3_0.6|4_0.75|5_1	1.5	0	0
RuneAttr45	1300+level*200	1_0.3|2_0.45|3_0.6|4_0.75|5_1	1.5	0	0
RuneAttr46	1000+level*100	1_0.3|2_0.45|3_0.6|4_0.75|5_1	1	0	0
RuneAttr35	(118154*(0.1+0.3*(level/50.0)+0.35*(level/50.0^2)+0.25*(level/50.0^3))*2*0.5/20*0.7/5#)*5	1_0.3|2_0.45|3_0.6|4_0.75|5_1	1.5	0	0
RuneAttr36	(118154*(0.1+0.3*(level/50.0)+0.35*(level/50.0^2)+0.25*(level/50.0^3))*2*0.5/20*0.7/3/5#)*5	1_0.3|2_0.45|3_0.6|4_0.75|5_1	1.5	0	0
RuneAttr63	1500+level*500	1_0.2|2_0.3|3_0.5|4_0.7|5_1	1.5	0	0
RuneAttr64	(1500+level*500)*1.3	1_0.2|2_0.3|3_0.5|4_0.7|5_1	1.5	0	0
RuneAttr65	1500+level*500	1_0.2|2_0.3|3_0.5|4_0.7|5_1	1.5	0	0
RuneAttr66	1500+level*500	1_0.2|2_0.3|3_0.5|4_0.7|5_1	1.5	0	0
RuneAttr11	1000+level*50	1_0.3|2_0.45|3_0.6|4_0.75|5_1	1	0	0
RuneAttr42	level*600	1_0.2|2_0.3|3_0.5|4_0.7|5_1	1.5	0	0
RuneAttr41	level*400	1_0.2|2_0.3|3_0.5|4_0.7|5_1	1.5	0	0
RuneAttr27	(150+level*50)/2	1_0.3|2_0.45|3_0.6|4_0.75|5_1	1.5	0	0
RuneAttr8	(118154*(0.1+0.3*(level/50.0)+0.35*(level/50.0^2)+0.25*(level/50.0^3))*2*0.5/20/3#)	1_0.2|2_0.3|3_0.5|4_0.7|5_1	1.5	0	0
