int	string	int	string	string	string	string
FuncId	FuncName	OpenLevel	Describe	FuncIconKey	DetailDescribe	OpenDescribe
功能编号(唯一)	功能名称	显示等级	功能简介	功能对应ICON表key	功能详细介绍	开启条件显示
1	强化	6	装备强化	QianghuaIcon_a	消耗铜钱    强化装备</r>基础属性    大大提升	{0}级开启
76	封魔坛	6	封魔坛打宝	TY_GN_16	极品丹药    无敌套装</r>伤害第一    掉率翻倍	{0}级开启
9	符印	6	神秘符印	FuYinIcon_a	强力符印    特殊属性</r>自由搭配    战力飙升	{0}级开启
6	灵宠	6	灵宠	PetIcon_a	呆萌宠物    特色技能</r>培养升级    最强助战	{0}级开启
2	宝石	6	宝石镶嵌	TY_GN_31	翡翠炎晶    世间罕有</r>镶嵌装备    战力提升	{0}级开启
15	仙盟	6	仙盟	MengIcon_a	志同道合    共建仙盟</r>特色活动    一同成长	{0}级开启
8	坐骑	6	拉风坐骑	ZuoqiIcon_a	骑上白马，你就是王子	{0}级开启
34	师门悬赏	6	师门悬赏	DailyIcon_a	师门悬赏    环式任务</r>降妖除魔    赚钱升级	{0}级开启
12	境界	6	境界修行	JingJieIcon_a	日常修行    化圣成仙</r>以力证道    暴涨属性	{0}级开启
86	仙界秘境	6	仙界秘境	DailyIcon_a	伤害鼓舞    经验药水</r>满屏小怪    海量经验	{0}级开启
21	世界BOSS	6	世界BOSS	DabaoIcon_a	强大头目    争夺归属</r>珍稀材料    极品装备	{0}级开启
88	宗门试炼	6	宗门试炼	TY_GN_34	齐心协力    共闯试炼</r>装备材料    人人有份	{0}级开启
20	神兵	6	神兵附体	TY_GN_28	锤炼神兵    提升属性</r>神兵降世    谁与争锋	{0}级开启
16	仙盟任务	6	仙盟任务	wp_xmsl	获取贡献    升级仙盟</r>喂食兽粮    打熊分装         	{0}级开启
126	法宝之魂	6	法宝之魂	TreasureSoul	法宝之魂    玄奥之力</r>特殊效果    终身加持	{0}级开启
87	八卦炉	6	八卦炉	LianDanIcon_a	天材地宝    炼制金丹</r>奇妙灵丹    修仙助力	{0}级开启
97	翅膀合成	6	翅膀合成	TY_GN_30	合成翅膀    翱翔天际</r>击晕格挡    无所不能	{0}级开启
36	套装	6	套装锻造	TY_GN_33	神石铸造    强力套装</r>绚丽外形    至高战力 	{0}级开启
91	洗炼	6	装备洗炼	TY_GN_35	装备洗练    特殊属性</r>洗炼大师    战力提升	{0}级开启
82	技能潜力	6	技能潜力	SkillIcon_a	共闯遗迹    赢取神石</r>潜力提升    增强实力	{0}级开启
103	娲皇遗迹	300	娲皇遗迹	TY_GN_34	勇闯娲皇遗迹</r>组队爬塔通关</r>提升技能潜力	{0}级开启
