int	string	string	string	string	int	int
ID	name	Icon	Text	SelectActive	OpenpanelId	FuncOpenId
获取途径Id	名称	获取途径ICON	文字说明	选中控件	跳转界面	等级开启功能ID
1	商城	Shopping	每周限购		72	79
2	日常	DailyIcon_a	师门悬赏	1	175	34
3	日常	DailyIcon_a	麒麟之府	5	171	85
4	日常	DailyIcon_a	冰晶矿脉	2	176	83
5	日常	DailyIcon_a	仙界秘境	6	178	86
6	日常	DailyIcon_a	守卫人皇	7	179	89
7	日常	DailyIcon_a	混乱妖域	8	180	98
8	日常	DailyIcon_a	宗门试炼	9	177	88
9	符印塔	RuneTowerIcon	挑战符印塔		99	80
10	寻宝	FuLiIcon_a	寻宝			
11	福利	FuLiIcon_a	签到		102	81
12	集市	MarketIcon_a	集市购买		87	
13	日常	DailyIcon_a	限时活动		45	114
14	挂机	TY_GN_36	野外挂机		61	
15	充值	MoneyIcon_a	暴击神兵宝箱		77	113
16	打宝	DabaoIcon_a	180级以上</r>世界Boss		82	21
17	祈愿	TY_GN_27	祈愿富有		103	
18	祈愿	TY_GN_27	祈愿成长		103	60
19	日常	DailyIcon_a	活跃度奖励		44	78
20	合成	HeChengIcon_a	门票合成		18	75
21	商城	Shopping	成长变强		74	79
22	商城	Shopping	绑玉商城		75	79
23	打宝	ElderGodIcon	古神禁地		85	92
24	商城	Shopping	常用道具		73	79
25	强化	QianghuaIcon_a	装备强化		116	1
26	日常	DailyIcon_a	上古战场	10	182	101
27	日常	DailyIcon_a	娲皇遗迹	11	183	103
28	日常	DailyIcon_a	我要天机	12	45	114
29	合成	HeChengIcon_a	宝石合成		21	75
30	商城	sh_yl	穿戴幼龙		73	79
31	商城	wp_jld1	使用经验药水		75	79
32	VIP	VIP_GetWayIcon	成为VIP		80	117
33	境界	TY_GN_7	渡劫		48	12
34	法宝	M_Renzu_108	获得人族法宝		121	106
35	法宝	M_Mozu_201	获得魔族法宝		122	10
36	商城	Shopping	购买坐骑丹		75	79
37	境界	TY_GN_7	组队渡劫		48	12
38	仙盟	MengIcon_a	仙盟宝库		123	15
39	打宝	DabaoIcon_a	200级以上</r>世界Boss		82	21
40	打宝	DabaoIcon_a	300级以上</r>世界Boss		82	21
41	封魔坛	TY_GN_16	180级以上</r>封魔坛Boss		104	76
42	封魔坛	TY_GN_16	200级以上</r>封魔坛Boss		104	76
43	封魔坛	TY_GN_16	300级以上</r>封魔坛Boss		104	76
44	日常	DailyIcon_a	仙魔之争	14	45	74
45	仙盟	MengIcon_a	仙盟商店		26	15
46	打宝	PersonBossIcon	VIP Boss		84	22
47	封魔坛	TY_GN_16	封魔坛Boss		104	76
48	打宝	DabaoIcon_a	世界Boss		82	21
49	商城	Shopping	积分商店		76	79
50	法宝	TY_GN_25	获得仙族法宝			121
51	打宝	DabaoIcon_a	150级以上</r>世界Boss		82	21
52	打宝	BossHomeIcon	Boss之家</r>所有Boss		83	21
53	打宝	ElderGodIcon	古神禁地</r>360级Boss		85	92
54	打宝	ElderGodIcon	古神禁地</r>400级Boss		85	92
55	挂机	TY_GN_36	野外挂机		61	
56	主线怪物	TaskIcon	主线怪物		56	
57	主线任务	TaskIcon	主线任务		56	
58	封魔坛	TY_GN_16	175级以上</r>封魔坛Boss		104	76
59	合成	HeChengIcon_a	道具合成		21	75
60	打宝	ElderGodIcon	250级以上</r>古神禁地Boss		85	92
61	日常	DailyIcon_a	仙盟任务	18	187	16
