int	string	string
Id	Cmd	ParamSet
编号	GM作用	GM命令
1	玩家设为GM	@SetGM 90
2	设置移动速度	SetSpeedValue 600
3	增加等级经验丹	MakeItemCount 958 100
4	清空背包	ClearItem
5	全屏清怪	KillScreenNPC
6	增加经验	GivePlayerExpSelf 20999990000
7	充值5W	CTG 500000
8	增加铜钱	MakeMoney 3 1000000000
9	增加绑玉	MakeMoney 2 10000000
10	增加仙玉	MakeMoney 1 100000
11	"职业升2阶（可设置3,4,5）"	SetJobRank 2
12	查询自身BUFF	PrintBuff
13	服务器时间隔天	test_OnDay
14	自杀	RoleDead
15	枪0-6阶武器	MakeItemCount 10161 1|MakeItemCount 10261 1|MakeItemCount 10361 1|MakeItemCount 10461 1|MakeItemCount 10561 1|MakeItemCount 10661 1|MakeItemCount 10761 1
16	枪0-6阶护手	MakeItemCount 10162 1|MakeItemCount 10262 1|MakeItemCount 10362 1|MakeItemCount 10462 1|MakeItemCount 10562 1|MakeItemCount 10662 1|MakeItemCount 10762 1
17	枪0-6阶帽子	MakeItemCount 10163 1|MakeItemCount 10263 1|MakeItemCount 10363 1|MakeItemCount 10463 1|MakeItemCount 10563 1|MakeItemCount 10663 1|MakeItemCount 10763 1
18	枪0-6上衣	MakeItemCount 10164 1|MakeItemCount 10264 1|MakeItemCount 10364 1|MakeItemCount 10464 1|MakeItemCount 10564 1|MakeItemCount 10664 1|MakeItemCount 10764 1
19	枪0-6虎符	MakeItemCount 10165 1|MakeItemCount 10265 1|MakeItemCount 10365 1|MakeItemCount 10465 1|MakeItemCount 10565 1|MakeItemCount 10665 1|MakeItemCount 10765 1
20	枪0-6腿甲	MakeItemCount 10166 1|MakeItemCount 10266 1|MakeItemCount 10366 1|MakeItemCount 10466 1|MakeItemCount 10566 1|MakeItemCount 10666 1|MakeItemCount 10766 1
21	枪0-6铁鞋	MakeItemCount 10167 1|MakeItemCount 10267 1|MakeItemCount 10367 1|MakeItemCount 10467 1|MakeItemCount 10567 1|MakeItemCount 10667 1|MakeItemCount 10767 1
22	蓝色项链	MakeItemCount 8011 1|MakeItemCount 8021 1|MakeItemCount 8031 1|MakeItemCount 8041 1|MakeItemCount 8051 1|MakeItemCount 8061 1|MakeItemCount 8071 1|MakeItemCount 8081 1|MakeItemCount 8091 1|MakeItemCount 8101 1|MakeItemCount 8111 1
