int	int	string	int	int	int[]	int[]	int
ID	Type	Name	Lv	NeedExp	AttrType	AttrNum	SkillID
编号	神兵类型	神兵名称	神兵等级	升级所需经验	加成属性类型	属性加成值	技能ID
1	1	生命神兵	1	40	6	3901	0
2	1	生命神兵	2	50	6	4260	0
3	1	生命神兵	3	60	6	4622	0
4	1	生命神兵	4	60	6	4988	0
5	1	生命神兵	5	60	6	5357	0
6	1	生命神兵	6	60	6	5729	0
7	1	生命神兵	7	60	6	6104	0
8	1	生命神兵	8	60	6	6483	0
9	1	生命神兵	9	60	6	6865	0
10	1	生命神兵	10	70	6	7251	0
11	1	生命神兵	11	70	6	7639	0
12	1	生命神兵	12	70	6	8032	0
13	1	生命神兵	13	70	6	8427	0
14	1	生命神兵	14	80	6	8826	0
15	1	生命神兵	15	80	6	9229	0
16	1	生命神兵	16	70	6	9635	0
17	1	生命神兵	17	80	6	10044	0
18	1	生命神兵	18	80	6	10458	0
19	1	生命神兵	19	80	6	10874	0
20	1	生命神兵	20	90	6	11295	0
21	1	生命神兵	21	90	6	11718	0
22	1	生命神兵	22	90	6	12146	0
23	1	生命神兵	23	90	6	12577	0
24	1	生命神兵	24	100	6	13012	0
25	1	生命神兵	25	100	6	13450	0
26	1	生命神兵	26	100	6	13893	0
27	1	生命神兵	27	100	6	14339	0
28	1	生命神兵	28	100	6	14788	0
29	1	生命神兵	29	110	6	15242	0
30	1	生命神兵	30	110	6	15699	0
31	1	生命神兵	31	110	6	16160	0
32	1	生命神兵	32	110	6	16625	0
33	1	生命神兵	33	120	6	17094	0
34	1	生命神兵	34	120	6	17567	0
35	1	生命神兵	35	120	6	18044	0
36	1	生命神兵	36	120	6	18525	0
37	1	生命神兵	37	120	6	19009	0
38	1	生命神兵	38	130	6	19498	0
39	1	生命神兵	39	130	6	19991	0
40	1	生命神兵	40	130	6	20487	0
41	1	生命神兵	41	140	6	20988	0
42	1	生命神兵	42	140	6	21493	0
43	1	生命神兵	43	140	6	22002	0
44	1	生命神兵	44	140	6	22515	0
45	1	生命神兵	45	150	6	23033	0
46	1	生命神兵	46	150	6	23554	0
47	1	生命神兵	47	160	6	24080	0
48	1	生命神兵	48	160	6	24610	0
49	1	生命神兵	49	160	6	25144	0
50	1	生命神兵	50	170	6	25682	0
51	1	生命神兵	51	170	6	26225	0
52	1	生命神兵	52	170	6	26772	0
53	1	生命神兵	53	170	6	27323	0
54	1	生命神兵	54	180	6	27879	0
55	1	生命神兵	55	180	6	28439	0
56	1	生命神兵	56	180	6	29004	0
57	1	生命神兵	57	190	6	29573	0
58	1	生命神兵	58	190	6	30146	0
59	1	生命神兵	59	190	6	30724	0
60	1	生命神兵	60	200	6	31306	0
61	1	生命神兵	61	200	6	31893	0
62	1	生命神兵	62	200	6	32485	0
63	1	生命神兵	63	210	6	33081	0
64	1	生命神兵	64	220	6	33681	0
65	1	生命神兵	65	220	6	34286	0
66	1	生命神兵	66	220	6	34896	0
67	1	生命神兵	67	220	6	35511	0
68	1	生命神兵	68	230	6	36130	0
69	1	生命神兵	69	230	6	36754	0
70	1	生命神兵	70	240	6	37382	0
71	1	生命神兵	71	240	6	38016	0
72	1	生命神兵	72	240	6	38654	0
73	1	生命神兵	73	250	6	39297	0
74	1	生命神兵	74	260	6	39945	0
75	1	生命神兵	75	260	6	40597	0
76	1	生命神兵	76	260	6	41255	0
77	1	生命神兵	77	270	6	41917	0
78	1	生命神兵	78	270	6	42584	0
79	1	生命神兵	79	280	6	43256	0
80	1	生命神兵	80	280	6	43933	0
81	1	生命神兵	81	280	6	44616	0
82	1	生命神兵	82	290	6	45303	0
83	1	生命神兵	83	290	6	45995	0
84	1	生命神兵	84	300	6	46692	0
85	1	生命神兵	85	310	6	47394	0
86	1	生命神兵	86	310	6	48102	0
87	1	生命神兵	87	310	6	48814	0
88	1	生命神兵	88	320	6	49532	0
89	1	生命神兵	89	320	6	50254	0
90	1	生命神兵	90	330	6	50982	0
91	1	生命神兵	91	340	6	51716	0
92	1	生命神兵	92	340	6	52454	0
93	1	生命神兵	93	340	6	53198	0
94	1	生命神兵	94	350	6	53947	0
95	1	生命神兵	95	360	6	54701	0
96	1	生命神兵	96	360	6	55460	0
97	1	生命神兵	97	370	6	56225	0
98	1	生命神兵	98	370	6	56995	0
99	1	生命神兵	99	380	6	57771	0
100	1	生命神兵	100	390	6	58552	0
101	1	生命神兵	101	390	6	59339	0
102	1	生命神兵	102	400	6	60130	0
103	1	生命神兵	103	400	6	60928	0
104	1	生命神兵	104	410	6	61731	0
105	1	生命神兵	105	420	6	62539	0
106	1	生命神兵	106	420	6	63353	0
107	1	生命神兵	107	430	6	64173	0
108	1	生命神兵	108	430	6	64998	0
109	1	生命神兵	109	440	6	65829	0
110	1	生命神兵	110	450	6	66665	0
111	1	生命神兵	111	460	6	67507	0
112	1	生命神兵	112	460	6	68355	0
113	1	生命神兵	113	470	6	69209	0
114	1	生命神兵	114	470	6	70068	0
115	1	生命神兵	115	480	6	70933	0
116	1	生命神兵	116	490	6	71803	0
117	1	生命神兵	117	500	6	72680	0
118	1	生命神兵	118	500	6	73562	0
119	1	生命神兵	119	520	6	74451	0
120	1	生命神兵	120	520	6	75345	0
121	1	生命神兵	121	530	6	76245	0
122	1	生命神兵	122	530	6	77151	0
123	1	生命神兵	123	540	6	78062	0
124	1	生命神兵	124	550	6	78980	0
125	1	生命神兵	125	560	6	79904	0
126	1	生命神兵	126	560	6	80834	0
127	1	生命神兵	127	580	6	81770	0
128	1	生命神兵	128	580	6	82711	0
129	1	生命神兵	129	590	6	83659	0
130	1	生命神兵	130	590	6	84613	0
131	1	生命神兵	131	610	6	85574	0
132	1	生命神兵	132	610	6	86540	0
133	1	生命神兵	133	620	6	87512	0
