int	int	int	int	int	int[]	int	int
ID	Type	TriggerType	Condition	PreGuideId	Steps	CanSkip	RemoveWhenOtherGuide
引导id	引导类型	触发类型	触发条件	前置引导id	步骤	可否跳过	是否在其他引导出现时自动结束
1	1	101	101010	0	101	0	0
2	1	101	101020	0	201	0	0
3	1	102	101020	0	301	0	0
4	1	4	1	0	401|402|403|404	0	0
5	1	103	101120	0	501	1	0
6	1	1	21	0	601|602|603|604|605	1	0
7	1	1	96	0	701|702|703|704|705	1	0
8	1	1	72	0	801|802|803|804	1	0
9	1	15	0	0	901	1	0
10	1	999	0	0	30001|30002	0	0
11	1	1	81	0		1	0
12	1	999	102	0	1401	0	0
13	1	999	102	0	1402	0	0
14	1	51	106	0	1201	0	0
15	1	999	106	0	1501|1502	0	0
16	1	999	106	0	1601	0	0
17	1	4	3	0	10001|10002|10004	1	0
18	2	999	31250	0	1801	1	0
19	1	999	0	0	60001|60002|60003	1	0
20	1	1	80	0		1	0
21	1	1	34	0	2101|2102|2103	1	0
22	1	103	105030	0	2201	1	0
23	1	999	0	0	2301|2302	1	0
24	1	15	0	0	2401	1	0
25	1	1	60	0		1	0
26	1	15	0	0	2602	1	0
27	1	999	9	26	2701|2702|2704|2705|2706|2707|2708	1	0
28	1	1	15	0	2801|2802	1	0
29	1	1	86	0	2901|2902|2903	1	0
30	1	1	123	0	3001|3002|3003|3004	1	0
31	1	1	97	0		1	0
32	1	14	10	0	3201|3202|3203|3204	1	0
33	1	999	87	0	3301|3302|3303	1	0
34	1	999	0	0	3401|3402|3403|3404	1	0
35	1	1	121	0		1	0
36	1	1	12	0	3601|3602|3603|3604|3605|3606|3607	1	0
37	1	1	20	0		1	0
38	1	1	2	0	3801|3802|3803|3804|3805	1	0
39	1	1	90			1	0
40	1	18	102100	0	4001|4002|4003|4004|4005	1	0
41	1	999	0	40	4101|4102	1	0
42	1	15	0	0	4201	1	0
43	1	1	82	0		1	0
44	1	101	103020	0	4401	1	0
45	1	999	0	0	4501|4502|4503|4504	1	0
46	1	1	85	0		1	0
47	1	1	88	0		1	0
48	1	19	0	0	4801|4802|4803|4804|4805|4806	1	0
49	1	999	0	0	4901	1	0
50	1	1	126	0	5001|5002|5003|5004	1	0
51	2	101	101030	0	5101	1	1
52	2	102	101030	0	5201	1	1
53	2	101	101040	0	5301	1	1
54	2	102	101040	0	5401	1	1
55	2	101	101050	0	5501	1	1
56	2	101	101060	0	5601	1	1
57	2	101	101080	10	5701	1	1
58	2	999	102140	0	5801	1	1
59	2	999	0	0	5901	1	1
60							
61	2	16	102	16	6101	1	1
62	2	999	0	0	6201	1	1
63							
64							
65	2	999	0	0	6501	1	1
66							0
67							0
68							0
69							0
70	2	11	31250		7001	1	1
71							0
72							0
73							0
74							0
75							0
76							0
77							0
78							0
79							0
80	1	15	0	0	8001|8002	1	0
81	1	1	124			1	1
82	1	999	0	0	8201|8202|8203|8204|8205|8206|8207|8208|8209|8210|8211|8212|8213|8214|8215|8216	1	0
83	1	1	77	0		1	0
84	1	201	2101	21	8401	1	0
85	1	999	0	0	8501|8502|8503|8504	1	0
86	1	15	0	0	8601|8602|8603	1	0
87	1	201	4000	0	8701	1	0
88	1	999	0	0	8702	1	
89						1	
90						1	
91						1	
92						1	
93						1	
94						1	
95						1	
96						1	
97						1	
98						1	
99						1	
100						1	
101							
102	2	104	101120		10201	1	0
103	2	104	102060		10301	1	0
104	2	104	102100		10401	1	0
105	2	104	102160		10501	1	0
106	2	104	103030		10601	1	0
107	2	104	103110		10701	1	0
108	2	104	103150		10801	1	0
109	2	104	104050		10901	1	0
110	2	104	104070		11001	1	0
111	2	104	104110		11101	1	0
112	2	104	104130		11201	1	0
113	2	104	104151		11301	1	0
114	2	104	104170		11401	1	0
115	2	104	105030		11501	1	0
116	2	104	105050		11601	1	0
117	2	104	105070		11701	1	0
118	2	104	105110		11801	1	0
119	2	104	105130		11901	1	0
120	2	104	105150		12001	1	0
121	2	104	106030		12101	1	0
122	2	104	106070		12201	1	0
123	2	104	106090		12301	1	0
124	2	104	106110		12401	1	0
125	2	104	106130		12501	1	0
126	2	104	106150		12601	1	0
127	2	104	107050		12701	1	0
128	2	104	107070		12801	1	0
129	2	104	107090		12901	1	0
130	2	104	107110		13001	1	0
131	2	104	107130		13101	1	0
132	2	104	108030		13201	1	0
133	2	104	108050		13301	1	0
134	2	104	108070		13401	1	0
135	2	104	108090		13501	1	0
136	2	104	108110		13601	1	0
