int	int	int	int	string	string	int[]	int
ID	HorseID	LV	NeedExp	AttrType	AttrValue	SkillID	NeedExpTotal
编号	坐骑编号	坐骑等级	升级所需经验	每级所加属性类型	每级所加属性值	解锁坐骑技能ID	升到X级累计所需经验
1	100	1	197	6|7|23	518|25|20	0	0
2	100	2	214	6|7|23	676|33|20	0	197
3	100	3	232	6|7|23	842|42|20	0	411
4	100	4	252	6|7|23	1017|50|20	49000	643
5	100	5	273	6|7|23	1200|60|20	0	895
6	100	6	296	6|7|23	1391|69|20	0	1168
7	100	7	319	6|7|23	1596|79|20	0	1464
8	100	8	345	6|7|23	1816|90|20	0	1783
9	100	9	371	6|7|23	2050|102|20	0	2128
10	100	10	400	6|7|23	2300|115|20	49005	2499
11	100	11	429	6|7|23	2566|128|20	0	2899
12	100	12	460	6|7|23	2845|142|20	0	3328
13	100	13	492	6|7|23	3136|156|20	0	3788
14	100	14	520	6|7|23	3439|171|20	0	4280
15	100	15	0	6|7|23	3754|187|20	0	4800
51	101	1	370	6|7|23	698|34|20	0	0
52	101	2	401	6|7|23	994|49|20	0	370
53	101	3	436	6|7|23	1306|65|20	0	771
54	101	4	473	6|7|23	1633|81|20	49015	1207
55	101	5	512	6|7|23	1976|98|20	0	1680
56	101	6	555	6|7|23	2335|116|20	0	2192
57	101	7	599	6|7|23	2720|136|20	0	2747
58	101	8	647	6|7|23	3131|156|20	0	3346
59	101	9	697	6|7|23	3571|178|20	0	3993
60	101	10	750	6|7|23	4039|201|20	49020	4690
61	101	11	805	6|7|23	4538|226|20	0	5440
62	101	12	863	6|7|23	5060|253|20	0	6245
63	101	13	923	6|7|23	5606|280|20	0	7108
64	101	14	987	6|7|23	6175|308|20	0	8031
65	101	15	1052	6|7|23	6766|338|20	0	9018
66	101	16	1121	6|7|23	7379|368|20	0	10070
67	101	17	1192	6|7|23	8014|400|20	0	11191
68	101	18	1266	6|7|23	8669|433|20	0	12383
69	101	19	1351	6|7|23	9344|467|20	0	13649
70	101	20	0	6|7|23	10038|501|20	49025	15000
101	201	1	740	6|7|23	1058|52|40	0	0
102	201	2	803	6|7|23	1650|82|40	0	740
103	201	3	872	6|7|23	2273|113|40	0	1543
104	201	4	946	6|7|23	2928|146|40	49030	2415
105	201	5	1025	6|7|23	3614|180|40	0	3361
106	201	6	1110	6|7|23	4332|216|40	0	4386
107	201	7	1199	6|7|23	5101|255|40	0	5496
108	201	8	1294	6|7|23	5924|296|40	0	6695
109	201	9	1394	6|7|23	6803|340|40	0	7989
110	201	10	1500	6|7|23	7741|387|40	49035	9383
111	201	11	1610	6|7|23	8738|436|40	0	10883
112	201	12	1726	6|7|23	9783|489|40	0	12493
113	201	13	1847	6|7|23	10874|543|40	0	14219
114	201	14	1974	6|7|23	12012|600|40	0	16066
115	201	15	2105	6|7|23	13194|659|40	0	18040
116	201	16	2242	6|7|23	14421|721|40	0	20145
117	201	17	2385	6|7|23	15690|784|40	0	22387
118	201	18	2532	6|7|23	17001|850|40	0	24772
119	201	19	2685	6|7|23	18351|917|40	0	27304
120	201	20	2842	6|7|23	19738|986|40	49040	29989
121	201	21	3006	6|7|23	21159|1057|40	0	32831
122	201	22	3174	6|7|23	22625|1131|40	0	35837
123	201	23	3348	6|7|23	24133|1206|40	0	39011
124	201	24	3527	6|7|23	25681|1284|40	0	42359
125	201	25	3711	6|7|23	27268|1363|40	0	45886
126	201	26	3900	6|7|23	28892|1444|40	0	49597
127	201	27	4095	6|7|23	30550|1527|40	0	53497
128	201	28	4295	6|7|23	32239|1611|40	0	57592
129	201	29	4513	6|7|23	33957|1697|40	0	61887
130	201	30	0	6|7|23	35701|1785|40	0	66400
151	301	1	1480	6|7|23	1800|90|60	0	0
152	301	2	1607	6|7|23	2984|149|60	0	1480
153	301	3	1745	6|7|23	4230|211|60	0	3087
154	301	4	1892	6|7|23	5539|276|60	49045	4832
155	301	5	2051	6|7|23	6912|345|60	0	6724
156	301	6	2220	6|7|23	8348|417|60	0	8775
157	301	7	2399	6|7|23	9886|494|60	0	10995
158	301	8	2589	6|7|23	11532|576|60	0	13394
159	301	9	2789	6|7|23	13290|664|60	0	15983
160	301	10	3000	6|7|23	15165|758|60	49050	18772
161	301	11	3221	6|7|23	17160|858|60	0	21772
162	301	12	3453	6|7|23	19249|962|60	0	24993
163	301	13	3695	6|7|23	21432|1071|60	0	28446
164	301	14	3948	6|7|23	23707|1185|60	0	32141
165	301	15	4211	6|7|23	26072|1303|60	0	36089
166	301	16	4485	6|7|23	28526|1426|60	0	40300
167	301	17	4770	6|7|23	31065|1553|60	0	44785
168	301	18	5064	6|7|23	33686|1684|60	0	49555
169	301	19	5370	6|7|23	36385|1819|60	0	54619
170	301	20	5685	6|7|23	39159|1957|60	49055	59989
171	301	21	6012	6|7|23	42002|2100|60	0	65674
172	301	22	6349	6|7|23	44933|2246|60	0	71686
173	301	23	6696	6|7|23	47949|2397|60	0	78035
174	301	24	7054	6|7|23	51046|2552|60	0	84731
175	301	25	7422	6|7|23	54220|2711|60	0	91785
176	301	26	7801	6|7|23	57467|2873|60	0	99207
177	301	27	8190	6|7|23	60783|3039|60	0	107008
178	301	28	8590	6|7|23	64162|3208|60	0	115198
179	301	29	9000	6|7|23	67598|3379|60	0	123788
180	301	30	9421	6|7|23	71085|3554|60	0	132788
181	301	31	9852	6|7|23	74618|3730|60	0	142209
182	301	32	10294	6|7|23	78239|3911|60	0	152061
183	301	33	10746	6|7|23	81945|4097|60	0	162355
184	301	34	11209	6|7|23	85733|4286|60	0	173101
185	301	35	11682	6|7|23	89600|4480|60	0	184310
186	301	36	12166	6|7|23	93543|4677|60	0	195992
187	301	37	12660	6|7|23	97558|4877|60	0	208158
188	301	38	13165	6|7|23	101641|5082|60	0	220818
189	301	39	13717	6|7|23	105788|5289|60	0	233983
190	301	40	0	6|7|23	109995|5499|60	0	247700
201	401	1	1974	6|7|23	6998|349|80	0	0
202	401	2	2143	6|7|23	8578|428|80	0	1974
203	401	3	2326	6|7|23	10239|511|80	0	4117
204	401	4	2523	6|7|23	11984|599|80	49090	6443
205	401	5	2735	6|7|23	13814|690|80	0	8966
206	401	6	2960	6|7|23	15729|786|80	0	11701
207	401	7	3199	6|7|23	17780|889|80	0	14661
208	401	8	3452	6|7|23	19975|998|80	0	17860
209	401	9	3719	6|7|23	22319|1115|80	0	21312
210	401	10	4000	6|7|23	24818|1240|80	49095	25031
211	401	11	4295	6|7|23	27479|1373|80	0	29031
212	401	12	4604	6|7|23	30265|1513|80	0	33326
213	401	13	4927	6|7|23	33175|1658|80	0	37930
214	401	14	5264	6|7|23	36208|1810|80	0	42857
215	401	15	5615	6|7|23	39362|1968|80	0	48121
216	401	16	5981	6|7|23	42633|2131|80	0	53736
217	401	17	6360	6|7|23	46018|2300|80	0	59717
218	401	18	6753	6|7|23	49513|2475|80	0	66077
219	401	19	7160	6|7|23	53112|2655|80	0	72830
220	401	20	7581	6|7|23	56811|2840|80	49100	79990
221	401	21	8016	6|7|23	60601|3030|80	0	87571
222	401	22	8465	6|7|23	64509|3225|80	0	95587
223	401	23	8928	6|7|23	68530|3426|80	0	104052
224	401	24	9405	6|7|23	72660|3633|80	0	112980
225	401	25	9896	6|7|23	76892|3844|80	0	122385
226	401	26	10401	6|7|23	81222|4061|80	0	132281
227	401	27	10920	6|7|23	85643|4282|80	0	142682
228	401	28	11453	6|7|23	90147|4507|80	0	153602
229	401	29	12000	6|7|23	94729|4736|80	0	165055
230	401	30	12561	6|7|23	99379|4968|80	0	177055
231	401	31	13136	6|7|23	104090|5204|80	0	189616
232	401	32	13725	6|7|23	108917|5445|80	0	202752
233	401	33	14328	6|7|23	113858|5692|80	0	216477
234	401	34	14945	6|7|23	118909|5945|80	0	230805
235	401	35	15576	6|7|23	124066|6203|80	0	245750
236	401	36	16221	6|7|23	129323|6466|80	0	261326
237	401	37	16880	6|7|23	134676|6733|80	0	277547
238	401	38	17553	6|7|23	140120|7006|80	0	294427
239	401	39	18240	6|7|23	145649|7282|80	0	311980
240	401	40	18941	6|7|23	151258|7562|80	0	330220
241	401	41	19656	6|7|23	156941|7847|80	0	349161
242	401	42	20385	6|7|23	162838|8141|80	0	368817
243	401	43	21128	6|7|23	168953|8447|80	0	389202
244	401	44	21885	6|7|23	175292|8764|80	0	410330
245	401	45	22656	6|7|23	181857|9092|80	0	432215
246	401	46	23441	6|7|23	188654|9432|80	0	454871
247	401	47	24240	6|7|23	195687|9784|80	0	478312
248	401	48	25053	6|7|23	202959|10147|80	0	502552
249	401	49	25895	6|7|23	210475|10523|80	0	527605
250	401	50	0	6|7|23	218239|10911|80	0	553500
