int	string	string
id	folder	assetName
icon id	图片文件夹	资源名称
1	addons	01_wt_t
2	addons	127_t
3	addons	128_t
4	addons	129_t
5	addons	130_t
6	addons	131_t
7	addons	134_t
8	addons	135_t
9	addons	136_t
10	addons	138_t
11	addons	139_t
12	addons	142_t
13	addons	143_t
14	addons	146_t
15	addons	147_t
16	addons	149_t
17	addons	154_t
18	addons	155_t
19	addons	44_t
20	addons	65_t
21	ammunition	ar_t_01
22	ammunition	ar_t_02
23	ammunition	bl_t_01
24	ammunition	t_f_04
25	axes	axe_t_01
26	axes	axe_t_02
27	axes	axe_t_03
28	axes	axe_t_04
29	axes	axe_t_05
30	axes	axe_t_06
31	axes	axe_t_07
32	axes	axe_t_09
33	axes	axe_t_10
34	axes	a_n_t_01
35	axes	a_n_t_02
36	axes	a_n_t_03
37	axes	a_n_t_04
38	axes	a_n_t_05
39	axes	t_f_01
40	axes	t_f_02
41	bows	b_t_01
42	bows	b_t_02
43	bows	b_t_03
44	bows	b_t_04
45	bows	b_t_05
46	brass_knuckles	f_t_01
47	brass_knuckles	f_t_03
48	brass_knuckles	f_t_04
49	brass_knuckles	f_t_05
50	clubs	bl_f_t_01
51	clubs	bl_t_01
52	clubs	bl_t_02
53	clubs	bl_t_03
54	clubs	bl_t_08
55	clubs	bl_t_09
56	clubs	bl_t_10
57	controls	Button_RL_Background
58	controls	Button_RL_Border
59	controls	Button_RL_Hover
60	controls	Button_RL_Overlay
61	controls	Button_S1_Background
62	controls	Button_S1_Icon_Back
63	controls	Button_S1_Icon_Close
64	controls	Button_S1_Icon_Close_Small
65	controls	Button_S1_Icon_Create
66	controls	Button_S1_Icon_Delete
67	controls	Button_S1_Icon_Menu
68	controls	Checkbox_Checkmark
69	controls	Checkbox_Hover
70	controls	InputField_Background
71	controls	InputField_Background2
72	controls	InputField_Focus
73	controls	InputField_Glow
74	controls	InputField_Gradient
75	controls	InputField_Tribal
76	controls	Radio_Background
77	controls	Radio_Checkmark
78	controls	Radio_Hover
79	controls	Radio_Press
80	controls	SelectField_Arrow
81	controls	SelectField_Arrow_Hover
82	controls	Slider_Advanced_Horizontal_Handle
83	controls	Slider_Advanced_Horizontal_Handle_Hover
84	controls	Slider_Box_Background
85	controls	Slider_Horizontal_Background
86	controls	Slider_Horizontal_Fill
87	controls	Slider_Horizontal_Handle
88	controls	SwitchToggle_Handle
89	crossbows	a_t_04
90	daggers	kn_t_01
91	daggers	kn_t_02
92	daggers	kn_t_03
93	daggers	kn_t_04
94	daggers	kn_t_05
95	daggers	kn_t_06
96	daggers	kn_t_07
97	daggers	kn_t_08
98	daggers	k_nt_01
99	daggers	k_nt_02
100	daggers	k_nt_03
101	daggers	k_nt_04
102	daggers	k_nt_05
103	daggers	k_nt_06
104	daggers	t_f_03
105	demo	Background
106	demo	CharacterCreate_CharacterShade
107	demo	CharacterCreate_Race_Example
108	demo	CharacterSelect_List_CharacterShade
109	demo	CSL_Character_Avatar_Example
110	demo	HeroSelect_CharacterShade
111	demo	HeroSelect_Hero_AvatarExample
112	demo	Logo_Large_Background
