int	int	int	int	string
id	type	needDay	needLV	award
ID(百位是类型个位十位是该类型下的索引)	类型	需要天数	需要等级	奖励
101	1	1	0	{"1":[[30,300,1]]}
102	1	2	0	{"1":[[30,70,1]]}
103	1	3	0	{"1":[[30,70,1]]}
104	1	4	0	{"1":[[30,70,1]]}
105	1	5	0	{"1":[[30,70,1]]}
106	1	6	0	{"1":[[30,70,1]]}
107	1	7	0	{"1":[[30,70,1]]}
108	1	8	0	{"1":[[30,70,1]]}
109	1	9	0	{"1":[[30,70,1]]}
110	1	10	0	{"1":[[30,70,1]]}
111	1	11	0	{"1":[[30,70,1]]}
112	1	12	0	{"1":[[30,70,1]]}
113	1	13	0	{"1":[[30,70,1]]}
114	1	14	0	{"1":[[30,70,1]]}
115	1	15	0	{"1":[[30,70,1]]}
116	1	16	0	{"1":[[30,70,1]]}
117	1	17	0	{"1":[[30,70,1]]}
118	1	18	0	{"1":[[30,70,1]]}
119	1	19	0	{"1":[[30,70,1]]}
120	1	20	0	{"1":[[30,70,1]]}
121	1	21	0	{"1":[[30,70,1]]}
122	1	22	0	{"1":[[30,70,1]]}
123	1	23	0	{"1":[[30,70,1]]}
124	1	24	0	{"1":[[30,70,1]]}
125	1	25	0	{"1":[[30,70,1]]}
126	1	26	0	{"1":[[30,70,1]]}
127	1	27	0	{"1":[[30,70,1]]}
128	1	28	0	{"1":[[30,70,1]]}
129	1	29	0	{"1":[[30,70,1]]}
130	1	30	0	{"1":[[30,70,1]]}
131	1	31	0	{"1":[[30,70,1]]}
201	2	1	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
202	2	2	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
203	2	3	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
204	2	4	0	{"1":[[4010,2,1],[102,1,1],[3503,1,1]],"2":[[4010,2,1],[102,1,1],[3503,1,1]],"3":[[4010,2,1],[102,1,1],[3503,1,1]]}
205	2	5	0	{"1":[[4010,2,1],[105,1,1],[3512,1,1]],"2":[[4010,2,1],[105,1,1],[3512,1,1]],"3":[[4010,2,1],[105,1,1],[3512,1,1]]}
206	2	6	0	{"1":[[4010,2,1],[105,1,1],[3512,1,1]],"2":[[4010,2,1],[105,1,1],[3512,1,1]],"3":[[4010,2,1],[105,1,1],[3512,1,1]]}
207	2	7	0	{"1":[[4010,2,1],[105,1,1],[3513,1,1]],"2":[[4010,2,1],[105,1,1],[3513,1,1]],"3":[[4010,2,1],[105,1,1],[3513,1,1]]}
208	2	8	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
209	2	9	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
210	2	10	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
211	2	11	0	{"1":[[4010,2,1],[102,1,1],[3503,1,1]],"2":[[4010,2,1],[102,1,1],[3503,1,1]],"3":[[4010,2,1],[102,1,1],[3503,1,1]]}
212	2	12	0	{"1":[[4010,2,1],[105,1,1],[3512,1,1]],"2":[[4010,2,1],[105,1,1],[3512,1,1]],"3":[[4010,2,1],[105,1,1],[3512,1,1]]}
