int	int	int	int	string	int	string	string	string	int	string	string	string	string	int	int	int	int	string
id	firstType	levelNeed	secondType	secondTypeName	thirdType	thirdTypeName	makeID	unfixedItemID	unfixedItemCount	unfixedItemDisplay	itemID	itemCount	itemDisplay	money	successRate	successUpper	addonsCountMax	helpDesc
编号	第一合成类型	显示等级	第二类型	中文名	第三类型	中文名	可合成道具ID	不固定道具ID	不固定道具数量	前端控制显示位置	消耗固定道具ID	消耗固定道具数量	前端控制显示位置	消耗铜钱	成功率	成功率上限	可附加材料数	帮助文本
1	1	0	1	一代翅膀	0	0	3711|3721	0	0	0	3801	1	1	0	2000	10000	5	合成材料</r>1、<color=#31cebf>青鸾之羽</color>1个</r>2、蓝色以上装备加成功率
2	1	0	2	二代翅膀	0	0	3712|3722	3711|3721|3796|3797	1	2	3802	1	1	0	2000	8000	5	合成材料</r>1、<color=#ec4bf6>火凤精血</color>1个</r>2、<color=#31cebf>一代翅膀 </color>1个</r>3、蓝色以上装备加成功率
3	1	0	3	三代翅膀	0	0	3713|3723	3712|3722	1	2	3803	1	1	0	2000	6000	5	合成材料</r>1、<color=#fa0101>神凰冠羽</color>1个</r>2、<color=#31cebf>二代翅膀 </color>1个</r>3、蓝色以上装备加成功率
4	1	500	4	四代翅膀	1	逆天战翼	3714	3713	1	2	3804	1	1	0	2000	10000	5	合成材料</r>1、<color=#ff2828>&w info=item id=3804 </color>1个</r>2、<color=#d417fc>&w info=item id=3713 </color>1个</r>3、任意品阶的蓝色或以上品质的装备都可以增加成功率（非必须）
5	1	500	4	四代翅膀	2	玄天之翼	3724	3723	1	2	3804	1	1	0	2000	10000	5	合成材料</r>1、<color=#ff2828>&w info=item id=3804 </color>1个</r>2、<color=#d417fc>&w info=item id=3723 </color>1个</r>3、任意品阶的蓝色或以上品质的装备都可以增加成功率（非必须）
6	1	500	5	五代翅膀	1	电闪雷鸣	3715	3714	1	1	3805|3806	2|2	2|3	0	2000	10000	5	合成材料</r>1、<color=#ff2828>&w info=item id=3805 </color>2个</r>2、<color=#ff2828>&w info=item id=3806 </color>3个</r>3、<color=#d417fc>&w info=item id=3714 </color>1个</r>4、任意品阶的蓝色或以上品质的装备都可以增加成功率（非必须）
7	1	500	5	五代翅膀	2	百鸟朝凤	3725	3724	1	1	3805|3806	2|2	2|3	0	2000	10000	5	合成材料</r>1、<color=#ff2828>&w info=item id=3805 </color>2个</r>2、<color=#ff2828>&w info=item id=3806 </color>3个</r>3、<color=#d417fc>&w info=item id=3724 </color>1个</r>4、任意品阶的蓝色或以上品质的装备都可以增加成功率（非必须）
8	2	0	1	试炼通行证	0	0	4001	0	0	0	4002|4003	1|1	1|2	5000	10000	0	0	0
9	2	250	2	矿脉炸药	0	0	4004	0	0	0	4005|4006	1|1	1|2	5000	10000	0	0	0
10	2	200	3	古神印记	0	0	4007	0	0	0	4008|4009	1|1	1|2	5000	10000	0	0	0
11	3	350	1	二星橙色神罗	0	0	9065	9064|9064|9064	3	1|2|3	5304	20	1	0	10000	0	0	合成材料</r>20个<color=#ff8400>祝福水晶</color></r>3件<color=#3dfb3d>6阶1星</color><color=#ff8400>橙色仙器·神罗</color>(不可放入套装装备)
12	3	350	2	二星红色神罗	0	0	9067	9065|9065|9065	3	1|2|3	5304	2	1	0	10000	0	0	合成材料</r>2个<color=#ff8400>圣元水晶</color></r>3件<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色仙器·神罗</color>(不可放入套装装备)
13	4	0	1	龙魂2星红装	1	3阶装备	10371	10351|10352|10353|10354|10355|10356|10357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
14	4	0	1	龙魂2星红装	1	3阶装备	10372	10351|10352|10353|10354|10355|10356|10357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
15	4	0	1	龙魂2星红装	1	3阶装备	10373	10351|10352|10353|10354|10355|10356|10357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
16	4	0	1	龙魂2星红装	1	3阶装备	10374	10351|10352|10353|10354|10355|10356|10357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
17	4	0	1	龙魂2星红装	1	3阶装备	10375	10351|10352|10353|10354|10355|10356|10357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
18	4	0	1	龙魂2星红装	1	3阶装备	10376	10351|10352|10353|10354|10355|10356|10357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
19	4	0	1	龙魂2星红装	1	3阶装备	10377	10351|10352|10353|10354|10355|10356|10357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
20	4	0	1	龙魂2星红装	2	4阶装备	10471	10451|10452|10453|10454|10455|10456|10457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
21	4	0	1	龙魂2星红装	2	4阶装备	10472	10451|10452|10453|10454|10455|10456|10457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
22	4	0	1	龙魂2星红装	2	4阶装备	10473	10451|10452|10453|10454|10455|10456|10457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
23	4	0	1	龙魂2星红装	2	4阶装备	10474	10451|10452|10453|10454|10455|10456|10457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
24	4	0	1	龙魂2星红装	2	4阶装备	10475	10451|10452|10453|10454|10455|10456|10457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
25	4	0	1	龙魂2星红装	2	4阶装备	10476	10451|10452|10453|10454|10455|10456|10457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
26	4	0	1	龙魂2星红装	2	4阶装备	10477	10451|10452|10453|10454|10455|10456|10457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
27	4	0	1	龙魂2星红装	3	5阶装备	10571	10551|10552|10553|10554|10555|10556|10557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
28	4	0	1	龙魂2星红装	3	5阶装备	10572	10551|10552|10553|10554|10555|10556|10557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
29	4	0	1	龙魂2星红装	3	5阶装备	10573	10551|10552|10553|10554|10555|10556|10557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
30	4	0	1	龙魂2星红装	3	5阶装备	10574	10551|10552|10553|10554|10555|10556|10557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
31	4	0	1	龙魂2星红装	3	5阶装备	10575	10551|10552|10553|10554|10555|10556|10557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
32	4	0	1	龙魂2星红装	3	5阶装备	10576	10551|10552|10553|10554|10555|10556|10557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
33	4	0	1	龙魂2星红装	3	5阶装备	10577	10551|10552|10553|10554|10555|10556|10557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
34	4	0	1	龙魂2星红装	4	6阶装备	10671	10651|10652|10653|10654|10655|10656|10657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
35	4	0	1	龙魂2星红装	4	6阶装备	10672	10651|10652|10653|10654|10655|10656|10657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
36	4	0	1	龙魂2星红装	4	6阶装备	10673	10651|10652|10653|10654|10655|10656|10657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
37	4	0	1	龙魂2星红装	4	6阶装备	10674	10651|10652|10653|10654|10655|10656|10657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
38	4	0	1	龙魂2星红装	4	6阶装备	10675	10651|10652|10653|10654|10655|10656|10657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
39	4	0	1	龙魂2星红装	4	6阶装备	10676	10651|10652|10653|10654|10655|10656|10657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
40	4	0	1	龙魂2星红装	4	6阶装备	10677	10651|10652|10653|10654|10655|10656|10657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
41	4	0	1	龙魂2星红装	5	7阶装备	10771	10751|10752|10753|10754|10755|10756|10757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
42	4	0	1	龙魂2星红装	5	7阶装备	10772	10751|10752|10753|10754|10755|10756|10757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
