int	int	int	int[]	string
NPCID	FloorNum	MonsterType	RareItemID	PortraitID
NPC表编号	BOSS所在层数	怪物类型	珍稀掉落物品ID	头像ID
30301001	1	1	3801|8045|10471|20471|10474|4611|4612|194	Body_M006
30301002	2	1	3802|3801|8045|10471|20471|4611|4612|194	Body_M031
30301003	1	2	10451|10452|10454|10455|20451|20452|20454|20455	Body_M126
30301004	1	2	10451|10452|10454|20451|20452|20454|20453|3801	Body_M128
30301005	1	2	10571|20571|10574|20574|10551|20551|3802|3801	Body_M129
30301006	1	2	9073|10571|20571|10551|20551|20554|3802|3801	Body_M132
30301007	1	2	9073|10671|20671|10651|20651|20654|3802|3801	Body_M133
30301008	1	2	9073|10671|20671|10651|20651|20654|3802|3801	Body_M134
30301009	1	2	9073|10771|20771|10751|20751|20754|3803|3802	Body_M135
30301010	2	2	10571|20571|10574|20574|10551|20551|3802|3801	Body_M028
30301011	2	2	9073|10571|20571|10551|20551|20554|3802|3801	Body_M705
30301012	2	2	9073|10671|20671|10651|20651|20654|3803|3802	Body_M042
30301013	2	2	9073|10771|20771|10751|20751|20754|3803|3802	Body_M049
30301014	2	2	9073|10871|20871|10851|20851|3804|3803|3802	Body_M056
30301015	1	1	3801|8045|10471|20471|10474|4611|4612|194	Body_M006
30301016	2	1	3802|3801|8045|10471|20471|4611|4612|194	Body_M031
30301017	1	2	10451|10452|10454|10455|20451|20452|20454|20455	Body_M126
30301018	1	2	10451|10452|10454|20451|20452|20454|20453|3801	Body_M128
30301019	1	2	10571|20571|10574|20574|10551|20551|3802|3801	Body_M129
30301020	1	2	9073|10571|20571|10551|20551|20554|3802|3801	Body_M132
30301021	1	2	9073|10671|20671|10651|20651|20654|3802|3801	Body_M133
30301022	1	2	9073|10671|20671|10651|20651|20654|3802|3801	Body_M134
30301023	1	2	9073|10771|20771|10751|20751|20754|3803|3802	Body_M135
30301024	2	2	10571|20571|10574|20574|10551|20551|3802|3801	Body_M028
30301025	2	2	9073|10571|20571|10551|20551|20554|3802|3801	Body_M705
30301026	2	2	9073|10671|20671|10651|20651|20654|3803|3802	Body_M042
30301027	2	2	9073|10771|20771|10751|20751|20754|3803|3802	Body_M049
30301028	2	2	9073|10871|20871|10851|20851|3804|3803|3802	Body_M056
30301029	1	1	3801|8045|10471|20471|10474|4611|4612|194	Body_M006
30301030	2	1	3802|3801|8045|10471|20471|4611|4612|194	Body_M031
30301031	1	2	10451|10452|10454|10455|20451|20452|20454|20455	Body_M126
30301032	1	2	10451|10452|10454|20451|20452|20454|20453|3801	Body_M128
30301033	1	2	10571|20571|10574|20574|10551|20551|3802|3801	Body_M129
30301034	1	2	9073|10571|20571|10551|20551|20554|3802|3801	Body_M132
30301035	1	2	9073|10671|20671|10651|20651|20654|3802|3801	Body_M133
30301036	1	2	9073|10671|20671|10651|20651|20654|3802|3801	Body_M134
30301037	1	2	9073|10771|20771|10751|20751|20754|3803|3802	Body_M135
30301038	2	2	10571|20571|10574|20574|10551|20551|3802|3801	Body_M028
30301039	2	2	9073|10571|20571|10551|20551|20554|3802|3801	Body_M705
30301040	2	2	9073|10671|20671|10651|20651|20654|3803|3802	Body_M042
30301041	2	2	9073|10771|20771|10751|20751|20754|3803|3802	Body_M049
30301042	2	2	9073|10871|20871|10851|20851|3804|3803|3802	Body_M056
30301043	1	1	3801|8045|10471|20471|10474|4611|4612|194	Body_M006
30301044	2	1	3802|3801|8045|10471|20471|4611|4612|194	Body_M031
30301045	1	2	10451|10452|10454|10455|20451|20452|20454|20455	Body_M126
