int	int	int	string	string	int	int	int	int
id	type	level	attType	attValue	costCount	getExp	upExpNeed	upExpTotal
编号	强化类型	强化等级	强化属性类型	属性值（总值）	每次强化消耗的铜钱	每次强化提升的熟练度	该级升到下1级所需的熟练度	总熟练度
1	1	0	7	0	41400	1125	1632	1632
2	1	1	7	5	42700	1132	1698	3330
3	1	2	7	10	43900	1139	1766	5096
4	1	3	7	15	45000	1148	1837	6933
5	1	4	7	21	46100	1156	1909	8842
6	1	5	7	27	47100	1167	1984	10826
7	1	6	7	33	48000	1177	2061	12887
8	1	7	7	40	48900	1188	2140	15027
9	1	8	7	47	49700	1201	2222	17249
10	1	9	7	54	50500	1213	2305	19554
11	1	10	7	62	55400	1226	2391	21945
12	1	11	7	70	60000	1240	2480	24425
13	1	12	7	78	64400	1253	2570	26995
14	1	13	7	87	68600	1268	2663	29658
15	1	14	7	96	72600	1282	2758	32416
16	1	15	7	105	76400	1297	2855	35271
17	1	16	7	115	80000	1313	2955	38226
18	1	17	7	125	83500	1328	3056	41282
19	1	18	7	135	86800	1345	3161	44443
20	1	19	7	145	90000	1361	3267	47710
21	1	20	7	155	98000	1377	3376	51086
22	1	21	7	165	105600	1395	3488	54574
23	1	22	7	175	112900	1412	3601	58175
24	1	23	7	185	120000	1429	3717	61892
25	1	24	7	195	126800	1447	3836	65728
26	1	25	7	205	133300	1465	3957	69685
27	1	26	7	215	139600	1483	4080	73765
28	1	27	7	225	145700	1502	4206	77971
29	1	28	7	236	151600	1520	4334	82305
30	1	29	7	247	153900	1539	4465	86770
31	1	30	7	258	155800	1558	4598	91368
32	1	31	7	269	157700	1577	4733	96101
33	1	32	7	280	159700	1597	4871	100972
34	1	33	7	291	161600	1616	5012	105984
35	1	34	7	302	163600	1636	5155	111139
36	1	35	7	313	165600	1656	5301	116440
37	1	36	7	324	167600	1676	5449	121889
38	1	37	7	335	169700	1696	5600	127489
39	1	38	7	346	171700	1717	5753	133242
40	1	39	7	357	173800	1737	5909	139151
41	1	40	7	368	175800	1758	6067	145218
42	1	41	7	379	177900	1779	6228	151446
43	1	42	7	391	180000	1800	6392	157838
44	1	43	7	403	182100	1821	6558	164396
45	1	44	7	415	184300	1843	6727	171123
46	1	45	7	427	186400	1864	6899	178022
47	1	46	7	439	188600	1886	7073	185095
48	1	47	7	451	190700	1907	7250	192345
49	1	48	7	463	192900	1929	7429	199774
50	1	49	7	475	195100	1951	7611	207385
51	1	50	7	487	197300	1973	7796	215181
52	1	51	7	499	199600	1996	7984	223165
53	1	52	7	511	201800	2018	8174	231339
54	1	53	7	523	204000	2040	8367	239706
55	1	54	7	535	206300	2063	8563	248269
56	1	55	7	547	208600	2085	8761	257030
57	1	56	7	559	210800	2108	8963	265993
58	1	57	7	571	213100	2131	9167	275160
59	1	58	7	583	215400	2154	9374	284534
60	1	59	7	595	217800	2177	9583	294117
61	1	60	7	607	220100	2201	9796	303913
62	1	61	7	619	222400	2224	10011	313924
63	1	62	7	631	224800	2248	10229	324153
64	1	63	7	643	227100	2271	10450	334603
65	1	64	7	655	229500	2295	10674	345277
66	1	65	7	667	231900	2319	10901	356178
67	1	66	7	679	234300	2343	11130	367308
68	1	67	7	691	236700	2367	11363	378671
69	1	68	7	703	239100	2391	11598	390269
70	1	69	7	715	241500	2415	11836	402105
71	1	70	7	727	244000	2440	12078	414183
72	1	71	7	739	246400	2464	12322	426505
73	1	72	7	751	248800	2488	12569	439074
74	1	73	7	763	251300	2513	12819	451893
75	1	74	7	775	253800	2538	13072	464965
76	1	75	7	787	256300	2563	13328	478293
77	1	76	7	799	258800	2588	13587	491880
78	1	77	7	811	261300	2613	13849	505729
79	1	78	7	823	263800	2638	14114	519843
80	1	79	7	835	266300	2663	14382	534225
81	1	80	7	847	268800	2688	14653	548878
82	1	81	7	859	271400	2714	14927	563805
83	1	82	7	871	273900	2739	15204	579009
84	1	83	7	883	276500	2765	15485	594494
85	1	84	7	895	279000	2790	15768	610262
86	1	85	7	907	281600	2816	16054	626316
87	1	86	7	919	284200	2842	16344	642660
88	1	87	7	931	286800	2868	16637	659297
89	1	88	7	943	289400	2894	16932	676229
90	1	89	7	955	292000	2920	17231	693460
91	1	90	7	967	294600	2946	17533	710993
92	1	91	7	979	297300	2973	17839	728832
93	1	92	7	991	299900	2999	18147	746979
94	1	93	7	1003	302600	3026	18459	765438
95	1	94	7	1016	305200	3052	18774	784212
96	1	95	7	1029	307900	3079	19092	803304
97	1	96	7	1042	310600	3106	19413	822717
98	1	97	7	1055	313200	3132	19737	842454
99	1	98	7	1068	315900	3159	20065	862519
100	1	99	7	1081	318600	3186	20396	882915
101	1	100	7	1094	321400	3213	20730	903645
102	1	101	7	1107	324100	3241	21068	924713
103	1	102	7	1121	326800	3268	21408	946121
104	1	103	7	1135	329500	3295	21752	967873
105	1	104	7	1149	332300	3323	22100	989973
106	1	105	7	1163	335000	3350	22451	1012424
107	1	106	7	1177	337800	3378	22805	1035229
108	1	107	7	1191	340600	3406	23162	1058391
109	1	108	7	1206	343400	3434	23523	1081914
110	1	109	7	1221	346100	3461	23887	1105801
111	1	110	7	1236	348900	3489	24254	1130055
112	1	111	7	1251	351700	3517	24625	1154680
113	1	112	7	1266	354600	3546	25000	1179680
114	1	113	7	1281	357400	3574	25377	1205057
115	1	114	7	1296	360200	3602	25758	1230815
116	1	115	7	1312	363100	3630	26143	1256958
117	1	116	7	1328	365900	3659	26531	1283489
118	1	117	7	1344	368800	3688	26923	1310412
119	1	118	7	1360	371600	3716	27317	1337729
120	1	119	7	1376	374500	3745	27716	1365445
121	1	120	7	1392	377400	3774	28118	1393563
122	1	121	7	1409	380300	3803	28523	1422086
123	1	122	7	1426	383200	3832	28932	1451018
124	1	123	7	1443	386100	3861	29345	1480363
