int	int	int	int	int
id	EquipType	equipPhase	equipColor	levelMax
编号	装备类型	装备阶数	装备颜色(物品表itemColor)	强化等级上限
1	3	0	0	200
2	1	0	1	10
3	1	0	2	10
4	1	0	3	10
5	1	0	4	10
6	1	0	5	10
7	1	0	6	10
8	1	1	1	10
9	1	1	2	10
10	1	1	3	10
11	1	1	4	20
12	1	1	5	20
13	1	1	6	20
14	1	2	1	20
15	1	2	2	20
16	1	2	3	20
17	1	2	4	30
18	1	2	5	30
19	1	2	6	30
20	1	3	1	30
21	1	3	2	30
22	1	3	3	30
23	1	3	4	50
24	1	3	5	50
25	1	3	6	50
26	1	4	1	50
27	1	4	2	50
28	1	4	3	50
29	1	4	4	80
30	1	4	5	80
31	1	4	6	80
32	1	5	1	80
33	1	5	2	80
34	1	5	3	80
35	1	5	4	120
36	1	5	5	120
37	1	5	6	120
38	1	6	1	120
39	1	6	2	120
40	1	6	3	120
41	1	6	4	150
42	1	6	5	150
43	1	6	6	150
44	1	7	1	150
45	1	7	2	150
46	1	7	3	150
47	1	7	4	200
48	1	7	5	200
49	1	7	6	200
50	1	8	1	200
51	1	8	2	200
52	1	8	3	200
53	1	8	4	200
54	1	8	5	200
55	1	8	6	200
56	1	9	1	200
57	1	9	2	200
58	1	9	3	200
59	1	9	4	200
60	1	9	5	200
61	1	9	6	200
62	1	10	1	200
63	1	10	2	200
64	1	10	3	200
65	1	10	4	200
66	1	10	5	200
67	1	10	6	200
68	1	11	1	200
69	1	11	2	200
70	1	11	3	200
71	1	11	4	200
72	1	11	5	200
73	1	11	6	200
74	1	12	1	200
75	1	12	2	200
76	1	12	3	200
77	1	12	4	200
78	1	12	5	200
79	1	12	6	200
80	2	0	1	10
81	2	0	2	10
82	2	0	3	10
83	2	0	4	10
84	2	0	5	10
85	2	1	1	10
86	2	1	2	10
87	2	1	3	10
88	2	1	4	20
89	2	1	5	20
90	2	2	1	20
91	2	2	2	20
92	2	2	3	20
93	2	2	4	30
94	2	2	5	30
95	2	3	1	30
96	2	3	2	30
97	2	3	3	30
98	2	3	4	50
99	2	3	5	50
100	2	4	1	50
101	2	4	2	50
102	2	4	3	50
103	2	4	4	80
104	2	4	5	80
105	2	5	1	80
106	2	5	2	80
107	2	5	3	80
108	2	5	4	120
109	2	5	5	120
110	2	6	1	120
111	2	6	2	120
112	2	6	3	120
113	2	6	4	150
114	2	6	5	150
115	2	7	1	150
116	2	7	2	150
117	2	7	3	150
118	2	7	4	200
119	2	7	5	200
120	2	8	1	200
121	2	8	2	200
122	2	8	3	200
123	2	8	4	200
124	2	8	5	200
125	2	9	1	200
126	2	9	2	200
127	2	9	3	200
128	2	9	4	200
129	2	9	5	200
130	2	10	1	200
131	2	10	2	200
132	2	10	3	200
133	2	10	4	200
134	2	10	5	200
135	2	11	1	200
136	2	11	2	200
137	2	11	3	200
138	2	11	4	200
139	2	11	5	200
140	2	12	1	200
141	2	12	2	200
142	2	12	3	200
143	2	12	4	200
144	2	12	5	200
