int	string
id	kickout
唯一标识	原因描述
1	用户名密码错误
2	登录失败
3	创建角色错误
4	服务器未准备就绪
5	重复登录
6	等待玩家连接错误
7	本服务器玩家数目已满
8	等待玩家登录时玩家下线
9   登录失败
10	登陆失败
11	玩家正常断线
12	封包类型错误
13	错误代码
14	玩家封包类型错误
15	与服务器断开连接，错误代码
16	玩家行为异常
17	玩家行为异常
18	玩家行为异常
19	创建角色失败
20	服务器异常
21	玩家行为异常ok
22	连接超时
23	服务器异常
24	服务器异常
25	服务器异常
26	连接服务器异常
27	版本号错误
28	副本玩家已满
29	连接服务器异常
30	仙盟联赛副本已经关闭
31	切换地图异常
32	登录失败
33	登录失败
34	创建角色异常
35	登录异常
36	登录异常
37	玩家注册失败
38	与服务器断开连接
39	版本资源检查错误
40	与服务器断开连接
41	与服务器断开连接
42	创建角色错误
43	创建角色错误
44	创建角色错误
45	创建角色错误
46	创建角色错误
47	创建角色错误
48	与服务器断开连接
49	用户名不存在
50	帐号异常
51	与服务器断开连接
52	连接服务器异常
53	连接服务器异常
54	服务器繁忙请稍后再登入
55	错误代码
56	错误代码
57	错误代码
58	与服务器断开连接
59	连接服务器异常
60	连接服务器异常
61	连接服务器异常
62	连接服务器异常
63	连接服务器异常
64	错误代码
65	连接服务器异常
66	连接服务器异常
67	错误代码
68	错误代码
69	错误代码
70	错误代码
71	错误代码
72	错误代码
73	服务器异常
74	服务器异常
75	连接服务器异常
76	连接服务器异常
77	连接服务器异常
78	连接服务器异常
79	服务器异常
80	服务器异常
81	服务器异常
82	连接服务器异常
83	连接服务器异常
84	连接服务器异常
85	服务器异常
86	服务器异常
87	服务器异常
88	错误代码
89	服务器异常
90	服务器异常
91	连接服务器异常
92	服务器异常
93	目标分线不存在
94	登录服务器已关闭
95	服务器异常
96	与服务器断开连接
97	连接服务器异常
98	服务器异常
99	连接服务器异常
100	错误代码
101	错误代码
102	连接服务器异常
103	与服务器断开连接
104	错误代码
105	与服务器断开连接
106	错误代码
107	帐号验证超时
108	错误代码
109	错误代码
110	踢出重复玩家 错误代码
111	网络未连接,无法连接到服务器
