int	int	int	string	int	string
RewardID	LV	LimitNUM	Reward	VIPLimit	VIPAward
奖励ID	所需等级	全服限量	职业对应的奖励内容,每个职业4组数据，物品ID和物品数量(1.枪豪2.道师3.剑修)	需要VIP几	vip专属奖励
1	60	0	{"1":[[922,1],[4151,2],[911,1],[30,50]],"2":[[922,1],[4151,2],[911,1],[30,50]],"3":[[922,1],[4151,2],[911,1],[30,50]]}	2	[[4151,10]]
2	80	0	{"1":[[3511,1],[1500,1],[2,1],[30,100]],"2":[[3511,1],[1500,1],[2,1],[30,100]],"3":[[3511,1],[1500,1],[2,1],[30,100]]}	2	[[181,10]]
3	100	0	{"1":[[4151,5],[1502,1],[4001,1],[30,100]],"2":[[4151,5],[1502,1],[4001,1],[30,100]],"3":[[4151,5],[1502,1],[4001,1],[30,100]]}	2	[[194,1]]
4	120	0	{"1":[[105,2],[102,5],[2107,3],[911,1]],"2":[[105,2],[102,5],[2107,3],[911,1]],"3":[[105,2],[102,5],[2107,3],[911,1]]}	2	[[913,1]]
5	150	0	{"1":[[1501,1],[3,1],[924,1],[923,1]],"2":[[1501,1],[3,1],[924,1],[923,1]],"3":[[1501,1],[3,1],[924,1],[923,1]]}	3	[[7,1]]
6	180	0	{"1":[[3801,1],[181,5],[4151,5],[911,1]],"2":[[3801,1],[181,5],[4151,5],[911,1]],"3":[[3801,1],[181,5],[4151,5],[911,1]]}	3	[[199,1]]
7	200	0	{"1":[[2241,1],[3503,1],[912,1],[181,10]],"2":[[2241,1],[3503,1],[912,1],[181,10]],"3":[[2241,1],[3503,1],[912,1],[181,10]]}	4	[[3503,3]]
8	220	0	{"1":[[193,1],[3504,1],[923,1],[3,1]],"2":[[193,1],[3504,1],[923,1],[3,1]],"3":[[193,1],[3504,1],[923,1],[3,1]]}	4	[[142,50]]
9	250	0	{"1":[[195,1],[5303,50],[3514,1],[4,1]],"2":[[195,1],[5303,50],[3514,1],[4,1]],"3":[[195,1],[5303,50],[3514,1],[4,1]]}	5	[[4606,1]]
10	300	0	{"1":[[196,1],[3515,1],[143,30],[5,1]],"2":[[196,1],[3515,1],[143,30],[5,1]],"3":[[196,1],[3515,1],[143,30],[5,1]]}	5	[[3802,1]]
