int	string	int	int
ID	Content	MinLevel	MaxLevel
唯一标识	内容	最小等级	最大等级
1	每天的12点不但有趣味的小游戏可以参与，更有丰厚的奖励等着主人来领取。	1	500
2	人族篇内的法宝都在三界之中等待着主人呢，挑战法宝之灵后就可以得到法宝的认可噢。	1	500
3	击败强大的世界Boss会有更好的装备和材料噢。	1	500
4	解锁法宝不仅可以获得强大的能力，还可以解锁获得强劲的技能噢。	1	500
5	可以通过排行榜来查看三界之中的强劲对手。	1	500
6	加入仙盟不仅可以拥有一群志同道合的小伙伴，还可以参加各色各样的仙盟活动噢。	1	500
7	通过日常修行可以获得修行点，修行点可以提升你的境界并且大幅度提升能力哦。	1	500
8	强化可以大幅度的提升装备的属性，可别忘记强化你的装备喲。	1	500
9	每日完成宗门派发的师门悬赏可以获得丰厚的经验与铜钱，可别错过了噢。	1	500
10	仙界秘境可是提升经验的宝地呢，可别忘了组队挑战与服用经验药水。	1	500
11	幼龙的作用可不仅仅是萌呢，它还能帮助主人拾取战利品呢。	1	500
12	符印塔不仅仅关押着强悍的妖魔，更有无数的珍稀的符印在等待着主人你。	1	500
13	吞服圣之精可以让雏凤蜕变成为冰凰，冰凰可以大幅度提高主人的实力呢。	500	500
14	八卦炉可以炼制各色稀奇丹药大幅度提升主人的实力呢。	1	500
15	通过合成可以获得更为强劲的装备与副本入场券，还有绚丽的翅膀在等待着主人。	1	500
16	封魔坛可是前期获取装备的好去处，可别忘了挑战哟。	1	500
17	每日的娲皇遗迹会产出大量的潜力值与熔彩石，升级技能全靠它们。	1	500
18	游戏的玩法很简单：挂机+PK+打Boss	1	500
19	开通Vip可以增加额外的杀怪经验，还可以无限制的使用传送呢。	1	500
20	提升Vip等级可以增加日常副本的挑战次数。	1	500
21	使用离线挂机卡会在你下线时帮助你挂机噢，升级材料两不误！	1	500
22	努力提升灵宠和坐骑的等级吧，它们不仅可以为你提供强力的技能，更是你修仙道路上的两大助力！	1	500
