int	string	int	int	int	int	int	int	int	Vector3[]	int	string	int	int
MapID	Name	LV	MapFBType	LocalReborn	SkillReborn	CanRide	CanOutPet	TeamLimit	BornPoints	MainTaskID	MapTaskText	Camp	AtkType
场景ID	名字（小地图标题上显示的地图名字）	地图等级	副本类型	当前是否能原地复活	当前是否能技能复活	当前是否可骑马	当前宠物是否可出战	队伍限制类型	传送点	开启地图需要完成的主线任务ID	完成主线任务的条件文字	区域类型	场景有哪几种攻击模式
10010	神诀宗	1	0	1	1	1	1	0	(195,81)	0		0	1
10020	影谷	18	0	1	1	1	1	0	(207,29)	1	完成神决宗所有主线任务	0	1
10030	御剑山庄	38	0	1	1	1	1	0	(90,17)	2	完成影谷所有主线任务	0	1
10040	逍遥城	65	0	1	1	1	1	0	(213,17)	3	完成御剑山庄所有主线任务	0	35
10050	冰封回廊	130	0	1	1	1	1	0	(109,17)	4	完成逍遥城所有主线任务	0	35
10060	秘灵岛	190	0	1	1	1	1	0	(102,11)	5	完成冰封回廊所有主线任务	0	35
10070	极炎之窟	250	0	1	1	1	1	0	(64,6)	6	完成秘灵岛所有主线任务	0	35
10080	玄梦幻界	300	0	1	1	1	1	0	(121,45)	7	完成极炎之窟所有主线任务	0	35
10090	两仪山间	350	0	1	1	1	1	0	(163,73)	8	完成玄梦幻境所有主线任务	0	35
21070	深海古墓	90	0	1	1	1	1	0	(75,12)	0		5	35
21100	荒芜沙漠	240	0	1	1	1	1	0	(102,46)	0		5	35
21110	空中楼宇	350	0	1	1	1	1	0	(94,91)	0		5	35
31010	仙魔之争	0	1	1	1	1	1	0	(29,31)	0		1	2
31020	BOSS之家一层	0	8	0	0	1	1	0	(75,86)	0		5	35
31030	BOSS之家二层	0	8	0	0	1	1	0	(75,86)	0		5	35
31040	日常副本	0	1	1	1	1	1	0	(29,33)	0		0	1
31080	仙界秘境	0	2	1	1	1	1	1	(41,41)	0		0	1
31110	渡劫	0	2	0	0	1	1	0	(30,35)	0		0	1
31130	符印塔	0	1	0	0	1	1	0	(36,41)	0		0	1
31140	冰晶矿脉	0	1	1	1	1	1	0	(30,61)	0		0	1
31150	古神禁地	0	8	0	0	1	1	0	(30,35)	0		5	32
31190	麒麟之府	0	1	0	0	1	1	0	(50,23)	0		0	35
31210	仙盟BOSS	0	3	1	1	1	1	0	(132,45)	0		0	1
31220	仙盟联赛	0	4	1	1	1	1	2	(132,45)	0		5	32
31230	仙盟宴会	0	3	1	1	1	1	0	(30,61)	0		0	1
31240	VIP Boss	0	1	1	1	1	1	0	(41,41)	0		0	1
31170	守卫人皇	0	3	1	1	1	1	0	(192,50)	0		0	1
51010	娲皇遗迹	0	2	1	1	1	1	0	(50,23)	0		0	1
41110	法宝副本	0	1	0	0	1	1	0	(50,23)	0		0	1
60010	宗门试炼	0	2	1	1	1	1	0	(50,23)	0		0	1
31180	混乱妖域	0	2	1	1	1	1	0	(50,23)	0		0	1
31160	上古战场	0	8	1	1	1	1	0	(50,23)	0		1	2
31250	守护副本	0	1	1	1	1	1	1	(206,136)	0		0	1
52010	封魔坛	0	8	1	1	1	1	0	(50,23)	0		0	1
52020	封魔坛	0	1	1	1	1	1	0	(50,23)	0		0	1
