int	int	int	string	string	Vector3	float	string	Vector3	int[]	int	string[]	string	string	int
ID	DataID	LineID	Name	BigMap	MapScale	MapShowScale	MapResources	MapOffset	Effect	Music	LoadingBG	LoadName	LoadDescription	ShowBOSSTime
唯一ID	数据ID	线路ID	名字（小地图标题上显示的地图名字）	大地图文件名	地图大小(X轴,Y轴)	地图映射比例	地图资源	地图坐标偏移	地图开启特效KEY	场景音乐	loading界面背景图	loading地图名字	loading地图描述	不重复出现BOSS界面出现时间(秒)
1	10010		神诀宗	MapSJZ	(112,63)	5.9	Map001_Sjz			35	LoadingBackGround_0|LoadingBackGround_2			300
2	10020		影谷	MapYG	(107,75)	4.64	Map002_Yg			36	LoadingBackGround_0|LoadingBackGround_2			300
3	10030		御剑山庄	MapYjsz	(60.5,85.5)	6.77	Map003_Yjsz			35	LoadingBackGround_0|LoadingBackGround_2			300
4	10040		逍遥城	MapXyc	(113,90)	5.12	Map004_Xyc			35	LoadingBackGround_0|LoadingBackGround_2			300
5	10050		冰封回廊	MapBfhl	(60,59.5)	6.94	Map005_Bfhl			37	LoadingBackGround_0|LoadingBackGround_2			300
6	10060		秘灵岛	MapMld	(53.5,104)	6.73	Map006_Mld			36	LoadingBackGround_0|LoadingBackGround_2			300
7	10070		极炎之窟	MapJyzk	(58.5,112)	6.99	Map007_Jyzk			37	LoadingBackGround_0|LoadingBackGround_2			300
8	10080		玄梦幻界	MapXmhj	(67.5,61)	7.49	Map008_Xmhj			37	LoadingBackGround_0|LoadingBackGround_2			300
9	21070		深海古墓	MapShgm	(77.5,63.5)	7.03	Map107_Shgm			37	LoadingBackGround_0|LoadingBackGround_2			300
10	21100		荒芜沙漠	MapHwsm	(90,100.5)	5.65	Map110_Hwsm			36	LoadingBackGround_0|LoadingBackGround_2			300
11	31010		仙魔之争				Map101_Dtzz			36	Map101_Dtzz_load			300
12	31020	0	BOSS之家一层	MapBzjyc	(60,59.5)	8.2	Map102_Bzjyc			37	Map102_Bzjyc_load	Map102_Bzjyc_Name	Map102_Bzjyc_Content	300
13	31020	1	BOSS之家二层	MapBzjec	(54.5,57)	8.55	Map103_Bzjec			37	Map102_Bzjyc_load	Map102_Bzjyc_Name	Map102_Bzjyc_Content	300
14	31040	0	灵界之森				Map105_Ljzs	(40,0)		36	LoadingBackGround_0|LoadingBackGround_2			
15	31040	1	仙之果山				Map106_Xzgs	(40,40)		36	LoadingBackGround_0|LoadingBackGround_2			
16	31040	2	仙之果山				Map106_Xzgs	(40,40)		36	LoadingBackGround_0|LoadingBackGround_2			
17	31040	3	仙之果山				Map106_Xzgs	(40,40)		36	LoadingBackGround_0|LoadingBackGround_2			
18	31040	4	仙之果山				Map106_Xzgs	(40,40)		36	LoadingBackGround_0|LoadingBackGround_2			
19	31040	5	迷幻森林				Map104_Mhsl			36	LoadingBackGround_0|LoadingBackGround_2			
20	31080		仙界秘境				Map108_Xjmj			36	Map108_Xjmj_load			
22	31110	0	小境界渡劫				Map127_JjfbA			37	Map127_JjfbA_load	Map127_JjfbA_Name	Map127_JjfbA_Content	
