int	string	int	string	string	string	Vector3	Vector3	float
ID	Name	Type	ResourcesName	BindPoint	EffFileName	UIOffset	UIRotation	UIScale
配置ID	名称	类型	资源名	资源绑点	特效文件名	在ui上的位置偏移	在ui上的旋转	模型在ui展示时的缩放
3000	麋鹿坐骑	3	Zq01	Bone_Mount		(0,-0.2,0)	(0,-50,0)	1
3001	狼坐骑	3	Zq02	Bone_Mount		(0,-0.1,0)	(3,-50,0)	1
3002	追风坐骑	3	Zq00	Bone_Mount		(0,-0.2,0)	(0,-50,0)	1.05
3003	熊坐骑	3	Zq03	Bone_Mount		(0,-0.15,0)	(0,-50,0)	1
3004	泰坦巨猿	3	Zq04	Bone_Mount		(0,-0.15,0)	(0,-50,0)	0.9
3005	龙驹	3	Zq05	Bone_Mount		(0,-0.2,0)	(0,-50,0)	1
3006	地狱冥虎	3	Zq06	Bone_Mount		(0,-0.17,0)	(0,-50,0)	1
3007	百鸟之主	3	Zq07	Bone_Mount		(0,-0.1,0)	(0,-50,0)	0.8
3008	八宝葫芦	3	Zq08	Bone_Mount		(0,-0.1,0)	(0,-50,0)	0.6
3009	深海之王	3	Zq09	Bone_Mount		(0,-0.05,0)	(0,-50,0)	1
3010	火炎兽	3	Zq10	Bone_Mount		(0,-0.1,0)	(0,-50,0)	1
1100	基础枪	1	A_Zs_Wq/A_Zs00_Wq			(0,0,0)	(0,0,0)	1
1101	一阶枪	1	A_Zs_Wq/A_Zs01_Wq			(0,0,0)	(0,0,0)	1
1102	二阶枪	1	A_Zs_Wq/A_Zs02_Wq			(0,0,0)	(0,0,0)	1
1103	三阶枪	1	A_Zs_Wq/A_Zs03_Wq			(0,0,0)	(0,0,0)	1
1104	四阶枪	1	A_Zs_Wq/A_Zs04_Wq			(0,0,0)	(0,0,0)	1
1105	五阶枪	1	A_Zs_Wq/A_Zs05_Wq			(0,0,0)	(0,0,0)	1
1106	六阶枪	1	A_Zs_Wq/A_Zs06_Wq			(0,0,0)	(0,0,0)	1
1107	七阶枪	1	A_Zs_Wq/A_Zs07_Wq			(0,0,0)	(0,0,0)	1
1108	八阶枪	1	A_Zs_Wq/A_Zs08_Wq			(0,0,0)	(0,0,0)	1
1109	九阶枪	1	A_Zs_Wq/A_Zs09_Wq			(0,0,0)	(0,0,0)	1
1110	十阶枪	1	A_Zs_Wq/A_Zs10_Wq			(0,0,0)	(0,0,0)	1
1199	戮仙枪	1	A_Zs_Wq/A_Zs99_Wq			(0,0,0)	(0,0,0)	1
1200	基础杖	1	A_Fs_Wq/A_Fs00_Wq			(0,0,0)	(0,0,0)	1
1201	一阶杖	1	A_Fs_Wq/A_Fs01_Wq			(0,0,0)	(0,0,0)	1
1202	二阶杖	1	A_Fs_Wq/A_Fs02_Wq			(0,0,0)	(0,0,0)	1
1203	三阶杖	1	A_Fs_Wq/A_Fs03_Wq			(0,0,0)	(0,0,0)	1
1204	四阶杖	1	A_Fs_Wq/A_Fs04_Wq			(0,0,0)	(0,0,0)	1
1205	五阶杖	1	A_Fs_Wq/A_Fs05_Wq			(0,0,0)	(0,0,0)	1
1206	六阶杖	1	A_Fs_Wq/A_Fs06_Wq			(0,0,0)	(0,0,0)	1
1207	七阶杖	1	A_Fs_Wq/A_Fs07_Wq			(0,0,0)	(0,0,0)	1
1208	八阶杖	1	A_Fs_Wq/A_Fs08_Wq			(0,0,0)	(0,0,0)	1
1209	九阶杖	1	A_Fs_Wq/A_Fs09_Wq			(0,0,0)	(0,0,0)	1
1210	十阶杖	1	A_Fs_Wq/A_Fs10_Wq			(0,0,0)	(0,0,0)	1
1299	戮仙杖	1	A_Fs_Wq/A_Fs99_Wq			(0,0,0)	(0,0,0)	1
4100	枪基础套装	4	A_Zs/A_Zs00			(0,0,0)	(0,0,0)	1
4101	枪一阶套装	4	A_Zs/A_Zs01			(0,0,0)	(0,0,0)	1
4102	枪二阶套装	4	A_Zs/A_Zs02			(0,0,0)	(0,0,0)	1
4103	枪三阶套装	4	A_Zs/A_Zs03			(0,0,0)	(0,0,0)	1
4104	枪四阶套装	4	A_Zs/A_Zs04			(0,0,0)	(0,0,0)	1
4105	枪五阶套装	4	A_Zs/A_Zs05			(0,0,0)	(0,0,0)	1
4106	枪六阶套装	4	A_Zs/A_Zs06			(0,0,0)	(0,0,0)	1
4107	枪七阶套装	4	A_Zs/A_Zs07			(0,0,0)	(0,0,0)	1
4108	枪八阶套装	4	A_Zs/A_Zs08			(0,0,0)	(0,0,0)	1
4109	枪九阶套装	4	A_Zs/A_Zs09			(0,0,0)	(0,0,0)	1
4110	枪十阶套装	4	A_Zs/A_Zs10			(0,0,0)	(0,0,0)	1
4200	法基础套装	4	A_Fs/A_Fs00			(0,0,0)	(0,0,0)	1
4201	法一阶套装	4	A_Fs/A_Fs01			(0,0,0)	(0,0,0)	1
4202	法二阶套装	4	A_Fs/A_Fs02			(0,0,0)	(0,0,0)	1
4203	法三阶套装	4	A_Fs/A_Fs03			(0,0,0)	(0,0,0)	1
4204	法四阶套装	4	A_Fs/A_Fs04			(0,0,0)	(0,0,0)	1
4205	法五阶套装	4	A_Fs/A_Fs05			(0,0,0)	(0,0,0)	1
4206	法六阶套装	4	A_Fs/A_Fs06			(0,0,0)	(0,0,0)	1
4207	法七阶套装	4	A_Fs/A_Fs07			(0,0,0)	(0,0,0)	1
4208	法八阶套装	4	A_Fs/A_Fs08			(0,0,0)	(0,0,0)	1
4209	法九阶套装	4	A_Fs/A_Fs09			(0,0,0)	(0,0,0)	1
4210	法十阶套装	4	A_Fs/A_Fs10			(0,0,0)	(0,0,0)	1
2101	龙魂一阶翅膀	2	A_Zs_Cb01			(0,0,0)	(0,90,-120)	1
2102	龙魂二阶翅膀	2	A_Zs_Cb02			(0,0,0)	(0,90,-120)	1
2103	龙魂三阶翅膀	2	A_Zs_Cb03			(0,0,0)	(0,90,-120)	1
2104	龙魂四阶翅膀	2	A_Zs_Cb01			(0,0,0)	(0,90,-120)	1
2105	龙魂五阶翅膀	2	A_Zs_Cb02			(0,0,0)	(0,90,-120)	1
2201	灵瑶一阶翅膀	2	A_Fs_Cb01			(0,0,0)	(0,90,-120)	1
2202	灵瑶二阶翅膀	2	A_Fs_Cb02			(0,0,0)	(0,90,-120)	1
2203	灵瑶三阶翅膀	2	A_Fs_Cb03			(0,0,0)	(0,90,-120)	1
2204	灵瑶四阶翅膀	2	A_Fs_Cb01			(0,0,0)	(0,90,-120)	1
2205	灵瑶五阶翅膀	2	A_Fs_Cb02			(0,0,0)	(0,90,-120)	1
5001	道士鼠	5	B_Cw01			(0,0,0)	(0,0,0)	1
5002	小狐仙	5	B_Cw02			(0,0,0)	(0,0,0)	1
5003	冰原狼	5	B_Cw03			(0,0,0)	(0,0,0)	1
5004	魂将	5	B_Cw04			(0,0,0)	(0,0,0)	1
5005	铁壁金刚	5	B_Cw05			(0,0,0)	(0,0,0)	1
5006	炎魔	5	B_Cw07			(0,0,0)	(0,0,0)	1
5007	阴阳无常	5	B_Cw08			(0,0,0)	(0,0,0)	1
5008	摇滚猫熊	5	B_Cw09			(0,0,0)	(0,0,0)	1
5009	冰火冥魂	5	B_Cw10			(0,0,0)	(0,0,0)	1
5010	九黎妖虎	5	B_Cw11			(0,0,0)	(0,0,0)	1
5011	五爪金龙	5	B_Cw07			(0,0,0)	(0,0,0)	1
5012	齐天小美	5	B_Cw06			(0,0,0)	(0,0,0)	1
6100	龙魂基础副手	6	A_Zs_Fwq/A_Zs00_fwq			(0,0,0)	(0,0,0)	1
6101	龙魂一阶副手	6	A_Zs_Fwq/A_Zs01_fwq			(0,0,0)	(0,0,0)	1
6102	龙魂二阶副手	6	A_Zs_Fwq/A_Zs02_fwq			(0,0,0)	(0,0,0)	1
6103	龙魂三阶副手	6	A_Zs_Fwq/A_Zs03_fwq			(0,0,0)	(0,0,0)	1
6104	龙魂四阶副手	6	A_Zs_Fwq/A_Zs04_fwq			(0,0,0)	(0,0,0)	1
6105	龙魂五阶副手	6	A_Zs_Fwq/A_Zs05_fwq			(0,0,0)	(0,0,0)	1
6106	龙魂六阶副手	6	A_Zs_Fwq/A_Zs06_fwq			(0,0,0)	(0,0,0)	1
6107	龙魂七阶副手	6	A_Zs_Fwq/A_Zs07_fwq			(0,0,0)	(0,0,0)	1
6108	龙魂八阶副手	6	A_Zs_Fwq/A_Zs08_fwq			(0,0,0)	(0,0,0)	1
6109	龙魂九阶副手	6	A_Zs_Fwq/A_Zs09_fwq			(0,0,0)	(0,0,0)	1
6110	龙魂十阶副手	6	A_Zs_Fwq/A_Zs10_fwq			(0,0,0)	(0,0,0)	1
6199	龙魂戮仙副手	6	A_Zs_Fwq/A_Zs99_fwq			(0,0,0)	(0,0,0)	1
6200	灵瑶基础副手	6	A_Fs_Fwq/A_Fs00_fwq			(0,0,0)	(0,0,0)	1
6201	灵瑶一阶副手	6	A_Fs_Fwq/A_Fs01_fwq			(0,0,0)	(0,0,0)	1
6202	灵瑶二阶副手	6	A_Fs_Fwq/A_Fs02_fwq			(0,0,0)	(0,0,0)	1
6203	灵瑶三阶副手	6	A_Fs_Fwq/A_Fs03_fwq			(0,0,0)	(0,0,0)	1
6204	灵瑶四阶副手	6	A_Fs_Fwq/A_Fs04_fwq			(0,0,0)	(0,0,0)	1
6205	灵瑶五阶副手	6	A_Fs_Fwq/A_Fs05_fwq			(0,0,0)	(0,0,0)	1
6206	灵瑶六阶副手	6	A_Fs_Fwq/A_Fs06_fwq			(0,0,0)	(0,0,0)	1
6207	灵瑶七阶副手	6	A_Fs_Fwq/A_Fs07_fwq			(0,0,0)	(0,0,0)	1
6208	灵瑶八阶副手	6	A_Fs_Fwq/A_Fs08_fwq			(0,0,0)	(0,0,0)	1
6209	灵瑶九阶副手	6	A_Fs_Fwq/A_Fs09_fwq			(0,0,0)	(0,0,0)	1
6210	灵瑶十阶副手	6	A_Fs_Fwq/A_Fs10_fwq			(0,0,0)	(0,0,0)	1
