int	int	int	Vector3
ID	MonsterType	LevelDelta	Color
唯一标识	怪物类型	等级差	颜色
1	0	-60	(0.5,0.5,0.5)
2	0	-30	(0.83,0.83,0.83)
3	0	30	(0.85,0.65,0.13)
4	0	50	(0.8,0.22,0)
5	1	-60	(0.5,0.5,0.5)
6	1	-30	(0.83,0.83,0.83)
7	1	30	(0.85,0.65,0.13)
8	1	50	(0.8,0.22,0)
9	4	-60	(0.5,0.5,0.5)
10	4	-30	(0.83,0.83,0.83)
11	4	30	(0.85,0.65,0.13)
12	4	50	(0.8,0.22,0)
13	6	-60	(0.5,0.5,0.5)
14	6	-30	(0.83,0.83,0.83)
15	6	30	(0.85,0.65,0.13)
16	6	50	(0.8,0.22,0)
17	7	-60	(0.5,0.5,0.5)
18	7	-30	(0.83,0.83,0.83)
19	7	30	(0.85,0.65,0.13)
20	7	50	(0.8,0.22,0)
21	2	-100	(0.5,0.5,0.5)
22	2	100	(0.8,0.22,0)
23	3	-100	(0.5,0.5,0.5)
24	3	100	(0.8,0.22,0)
25	5	-100	(0.5,0.5,0.5)
26	5	100	(0.8,0.22,0)
