int	int	Vector3	int	int
NPCID	MapId	Position	scope	turned
怪物id	地图id	刷新位置	寻路范围	朝向
10403001	10040	(29,147)	2	
10503001	10050	(63,56)	2	
10603001	10060	(86,197)	2	
10703001	10070	(19,210)	2	
10803001	10080	(61,61)	2	
10903001	10080	(117,136)	2	
20103001	21070	(15,37)	2	
20103002	21070	(138,39)	2	
20103003	21070	(42,74)	2	
20103004	21070	(106,69)	2	
20103005	21070	(13,104)	2	
20103006	21070	(138,105)	2	
20103007	21070	(76,112)	2	
20203001	21100	(167,75)	2	
20203002	21100	(69,91)	2	
20203003	21100	(34,61)	2	
20203004	21100	(139,103)	2	
20203005	21100	(32,128)	2	
20203006	21100	(154,146)	2	
20203007	21100	(79,187)	2	
31503001	31150	(174,85)	2	(174,85)
31503002	31150	(142,115)	2	(142,115)
31503003	31150	(102,133)	2	(102,133)
31503004	31150	(88,82)	2	(88,82)
31503005	31150	(40,107)	2	
31503006	31150	(155,194)	2	
31503007	31150	(101,207)	2	
31503008	31150	(51,171)	2	
10101001	10010	(205,104)	10	
10101002	10010	(171,107)	8	
10101003	10010	(133,103)	8	
10101004	10010	(120,56)	12	
10101005	10010	(81,52)	10	
10102001	10010	(81,15)	10	
10103001	10010	(43,14)	3	
10201001	10020	(193,33)	10	
10201002	10020	(147,19)	10	
10201003	10020	(155,66)	10	
10201004	10020	(168,117)	10	
10201005	10020	(118,135)	10	
10202001	10020	(57,110)	10	
10203001	10020	(20,53)	2	
10301001	10030	(59,15)	10	
10301002	10030	(54,65)	10	
10301003	10030	(106,69)	10	
10301004	10030	(106,120)	10	
10301005	10030	(61,120)	10	
10302001	10030	(15,114)	10	
10303001	10030	(21,160)	2	
10401001	10040	(161,21)	10	
10401002	10040	(144,70)	10	
10401003	10040	(203,94)	12	
10401004	10040	(197,160)	12	
10401005	10040	(151,154)	12	
10402001	10040	(104,147)	12	
10501001	10050	(86,14)	10	
10501002	10050	(46,19)	10	
10501003	10050	(18,55)	10	
10501004	10050	(32,86)	10	
10501005	10050	(74,100)	10	
10502001	10050	(101,66)	10	
10601001	10060	(85,21)	10	
10601002	10060	(50,19)	10	
10601003	10060	(35,52)	10	
10601004	10060	(20,108)	10	
10601005	10060	(71,96)	10	
10602001	10060	(91,150)	10	
10701001	10070	(28,20)	12	
10701002	10070	(19,54)	12	
10701003	10070	(69,57)	12	
10701004	10070	(70,106)	12	
10701005	10070	(104,148)	12	
10702001	10070	(62,174)	12	
10801001	10080	(120,76)	12	
10801002	10080	(110,104)	12	
10801003	10080	(57,109)	12	
10801004	10080	(20,81)	12	
10801005	10080	(21,38)	12	
10802001	10080	(61,19)	12	
10901001	10090	(163,26)	12	
10901002	10090	(108,525)	12	
10901003	10090	(110,77)	12	
10901004	10090	(66,77)	12	
10901005	10090	(66,131)	12	
10902001	10090	(65,177)	12	
20102001	21070	(49,38)	6	
20102002	21070	(108,39)	6	
20102003	21070	(14,73)	6	
20102004	21070	(138,72)	6	
20102005	21070	(44,107)	6	
20102006	21070	(109,105)	6	
20202001	21100	(71,53)	6	
20202002	21100	(124,63)	6	
20202003	21100	(39,90)	6	
20202004	21100	(166,108)	6	
20202005	21100	(56,132)	6	
20202006	21100	(129,143)	6	
20202007	21100	(93,150)	6	
20302001	21100	(132,55)	6	
20302002	21100	(132,128)	6	
20302003	21100	(94,14)	6	
20302004	21100	(97,166)	6	
20302005	21100	(52,37)	6	
20302006	21100	(51,144)	6	
20302007	21100	(17,92)	6	
3011	10010	(12,11)	1	
3021	10020	(6,51)	1	
3031	10030	(7,142)	1	
3041	10040	(55,130)	1	
3051	10050	(78,48)	1	
3061	10060	(99,168)	1	
3071	10070	(15,171)	1	
3081	10080	(76,40)	1	
31702001	31170	(165,83)	1	
31702002	31170	(152,65)	1	
31703001	31170	(173,62)	1	
31704001	31170	(54,50)	1	
31704002	31170	(36,25)	1	
31704003	31170	(60,27)	1	100
30301001	31020	(63,53)	3	185
30301002	31030	(77,66)	3	255
30303001	31020	(37,37)	3	
30303002	31020	(83,85)	3	
30303003	31020	(63,107)	3	
30303004	31020	(13,56)	3	
30303005	31020	(25,96)	3	
30303006	31020	(71,10)	3	
30303007	31020	(110,44)	3	
30303008	31030	(95,30)	3	
30303009	31030	(18,28)	3	
30303010	31030	(31,67)	3	
30303011	31030	(18,103)	3	
30303012	31030	(93,98)	3	
31903001	31240	(22,20)	3	
31903002	31240	(22,20)	3	
31903003	31240	(22,20)	3	
31903004	31240	(22,20)	3	
31903005	31240	(22,20)	3	
31903006	31240	(22,20)	3	
31903007	31240	(22,20)	3	
31903008	31240	(22,20)	3	
31903009	31240	(22,20)	3	
31903010	31240	(22,20)	3	
31903011	31240	(22,20)	3	
31903012	31240	(22,20)	3	
31903013	31240	(22,20)	3	
