int	int	string	string	int	float	float	float	Vector3	float	Vector3	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	float	string	int	int	int	int	int	int[]	int	int	int
NPCID	NPCType	MODE	charName	NPCLV	ModleHeight	ModelRadius	ModeProportion	UIModeLOffset	UIModeLProportion	UIModelRotation	CanDeadFly	Country	MinAtk	MaxAtk	Def	PoisionAtk	FireAtk	IceAtk	PoisionDef	IceDef	AtkInterval	Hit	MissRate	SuperHiteRate	OrgSpeed	MoveType	AtkDist	Skill1	Skill2	Skill3	Skill4	Skill5	Skill6	Skill7	Skill8	AtkType	Sight	MoveArea	DHP	MaxHPEx	IsBoss	SP	AIType	CanAttack	weight	HeadPortrait	Show	AtkFeedback	hurtFeedback	AutomaticFace	Dig	Sounds	LifeBarCount	NPCEffect	NPCSpeakID
编号	类型	模型	名称	等级	点击模型高度（单位米）	点击模型半径(单位米)	模型缩放比例	模型在UI界面上的位置偏移	模型在UI界面上的缩放比例	模型在UI界面上的旋转	是否能够被击飞(0:不,1:可)	所属国家	最小攻击力	最大攻击力	防御值	技能加成	额外伤害	真实伤害	NPC系	真实抵御	攻击间隔	命中	闪避	暴击几率	移动速度	移动方式	攻击距离	技能一	技能二	技能三	技能四	技能五	技能六	技能七	技能八	攻击判断	视野范围	可移动范围	HP	最大HP扩展	BOSS类型	SP	AI编号	是否可被攻击	NPC重量	头像图标	默认NPC是否显示	怪物攻击反馈	怪物被击反馈	是否自动面向	挖洞(制造障碍点)	普攻|被击|死亡	血条数量（Boss用）	NPC出场特效	NPC默认对话语音ID
3011	20	P001	第1章传送点1	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
3021	20	P001	第2章传送点1	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
3031	20	P001	第3章传送点1	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
3041	20	P001	第4章传送点1	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
3051	20	P001	第5章传送点1	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
3061	20	P001	第6章传送点1	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
3071	20	P001	第7章传送点1	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
3081	20	P001	第8章传送点1	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
1	2	M015	测试NPC	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
90	2	M015	标识点90	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
91	2	M015	标识点91	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
92	2	M015	标识点92	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
93	2	M015	标识点93	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
94	2	M015	标识点94	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
95	2	M015	标识点95	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
96	2	M015	标识点96	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
97	2	M015	标识点97	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
98	2	M015	标识点98	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
99	2	M015	标识点99	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
100	2	M015	标识点100	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
101	2	M015	标识点101	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
102	2	M015	标识点102	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
103	2	M015	标识点103	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
104	2	M015	标识点104	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	9	9	6	10000	1	0	0	0	3000	282	0	0	300	2	5	0	0	0	0	0	0	0	0	0	10	2	1000	0	0	11	201	1	1		1	1	1	0	0	0	9		0
1000	2	M152	石头怪	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	7	7	20	0	0	0	0	0	4000	282	0	0	200	2	3	0	0	0	0	0	0	0	0	0	10	2	20	0	0	0	1	1	1		1	1	1	1	0	0	9		0
1001	19	L001	石堆	2	1.2	0.65	1.5	(0,0,0)	1	(0,0,0)	1	0	7	7	20	0	0	0	0	0	3000	282	0	0	300	2	6	0	0	0	0	0	0	0	0	1	5	2	10	0	0	0	201	1	0		1	1	2	0	0	0	9		0
1002	2	L002	木栅栏	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	7	7	20	0	0	0	0	0	3000	282	0	0	300	2	6	0	0	0	0	0	0	0	0	1	5	2	10	0	0	0	201	1	0		1	1	2	0	0	0	9		0
1003	19	L003	兵器架	2	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	7	7	20	0	0	0	0	0	3000	282	0	0	300	2	6	0	0	0	0	0	0	0	0	1	5	2	10	0	0	0	201	1	0		1	1	2	0	0	0	9		0
1006	2	N017	师兄分身	2	1.2	0.5	1	(-0.28,0.08,0)	0.75	(-9.22,15,0)	1	0	5	10	20	0	0	0	0	0	2500	282	0	0	150	2	2	10027	0	0	0	0	0	0	0	0	30	30	500	0	0	0	1	1	1		1	1	1	0	0	0	9	0	0
1007	2	N017	傲海师兄	2	2.5	0.9	1.5	(-0.28,0.08,0)	0.75	(-9.22,15,0)	0	0	20	40	20	0	0	0	0	0	2500	282	0	0	100	2	2	10028	10027	0	0	0	0	0	0	0	20	20	10000	0	3	0	1	1	1	M153	1	3	1	0	0	0	9	0	0
1008	2	N017A	傲海师兄	2	2.5	0.9	1.5	(-0.28,0.08,0)	0.75	(-9.22,15,0)	0	0	20	40	20	0	0	0	0	0	750	282	0	0	100	2	2	10028	10027	0	0	0	0	0	0	0	20	20	10000	0	3	0	1	1	1	M153	1	1	1	0	0	0	9		0
1009	2	N999	神秘人	2	2.5	0.9	0.3	(-0.12,0,0)	0.43	(0,15,0)	0	0	20	40	20	0	0	0	0	0	750	282	0	0	100	2	2	10028	10027	0	0	0	0	0	0	0	20	20	10000	0	3	0	1	1	1	M153	1	1	1	0	0	0	9	0	0
2000	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
