int	int	int	int	int	string[]
ID	NPCID	DataMapId	Interval	NextTime	Dialogues
唯一标示	NPCID	副本数据地图id,0表示通用	选择触发NPC数量	时间间隔	瞎BB内容
1	50106012	0	1	18	筋斗云！金箍棒！随俺迎敌！！|你可听过大圣威名！|呵！妖怪，吃老娘一棒！|三味真炎炼我身，赐我火眼金睛眼！|你问问它，能禁得起老娘一棍子吗？！|灭我何用，何曾减我狂骄！
2	50106001	0	1	18	猫在哪？本鼠爷手又痒了。|我这一拂尘下去可是会出大事的！|你说我卖萌？怎么可能！|我绝不会眼睁睁看着主人被欺负的！嗯~我会闭上眼睛哒~|主人你流血了，需不需要给你一个温暖的怀抱。|主人你手上亮闪闪的东西是什么，能吃吗~|虽然我也是一只鼠，可人人都喜欢我~
3	50106002	0	1	18	我可是一只高贵的狐仙~|主人在我心中比灵宠丹还要重要！唔…|主人你冷吗？我的尾巴可暖和了~|收起的我的小木槌，送朵鲜花给主人~
4	50106003	0	1	18	我就是传说中的纯种冰原之狼！|你看我这闪着寒光的利爪，就问你害不害怕！|嗷呜~快给我找个妖兽来试验我刚学会的技能！|宗门新来了一种灵兽跟我长得很像，叫什么来着？二哈？|伤痛不会让我消沉，只能激发我更强的斗志！|意外可不会让我变得手忙脚乱！
5	50106004	0	1	18	万年已逝，吾在凡尘早无眷念！|依吾所言，有吾相伴，汝之幸也！|吾这一身傲骨，怎可寄人篱下。|汝只需跟在吾后打扫战场便可。|不似人，不似鬼，无尽的生命，又如何？|刀原是吾唯一的伙伴，如今汝为一个！|
6	50106005	0	1	18	听说双臂过膝是帝王相？那俺算不算？|一步一个脚印，正是用来形容俺们这种拥有巨大体积的生物。|难道你看不出俺与其他杂鱼的区别么?俺的强壮是这么的明显！|知道俺们之间的差距了吗？|敌方战斗力？五分之一个俺！|弱爆了，它能扛得住俺一锤子吗？|没有俺一锤子消灭不了的敌人，如果有，两锤子！
7	50106006	0	1	18	我就像那一把火，熊熊火焰温暖了你。|世界如此美好，我却如此火爆，这样不好！|以前我家住在极炎之地，那地方啊？除了冷没别的毛病。|下雨了，快！找个地方避雨！|主人你说这天为什么只会降水而不会降火？|这鬼天气，我都快给热死了！
8	1000	0	1	18	都叫俺傻大个，俺可不傻。|尘归尘，土归土，石头归石头。|俺可不是绊脚石！
9	10101007	0	1	18	喵，我们一起来玩躲猫猫吧。|我可有九条命哦~|
10	10101008	0	1	18	你喜欢我吗？|春意盎然，鸟语……呃。|有花有水，鸟儿在哪呢？
11	10101004	0	1	18	咱的牙堪比利刃，不怕死的就来啊。|站着别动，咱去叫人。|咱就喜欢人多欺负人少！
12	10101005	0	1	18	我可是最厉害的猎手！|快逃吧，我快要追上你了。|狩猎游戏开始了！|
13	10102001	0	1	18	我便是百兽之王！|你瞅啥，小心我咬你！|小子，你这眼神是质疑我说的话吗！
14	10103001	0	1	18	一只愤怒的巨熊将会是你最可怕的敌人。|鱼与熊掌不可兼得。|什么！你要熊掌！？
15	10201001	0	1	18	可别打我的注意，我的肉可不好吃。|我都入魔了，你还打我的主意！|新鲜猪肉，一斤三块，三斤十块。
16	10201002	0	1	18	俗话说枪打出头鸟，我还是低调点的好。|早起的鸟儿有虫吃。|点子扎手，风紧扯呼。
