int	int
ID	MaxLV
NPCID	玩家最大可掉落等级
10101001	62
10101002	64
10101003	66
10101004	68
10101005	70
10102001	73
10201001	76
10201002	79
10201003	82
10201004	85
10201005	88
10202001	92
10301001	95
10301002	98
10301003	101
10301004	104
10301005	107
10302001	110
10401001	130
10401002	140
10401003	150
10401004	160
10401005	170
10402001	180
10501001	190
10501002	200
10501003	210
10501004	220
10501005	230
10502001	240
10601001	250
10601002	260
10601003	270
10601004	280
10601005	290
10602001	300
10701001	310
10701002	320
10701003	330
10701004	340
10701005	350
10702001	360
10801001	370
10801002	380
10801003	390
10801004	400
10801005	410
10802001	410
10103001	70
10203001	85
10303001	190
10403001	230
10503001	300
10603001	350
10703001	400
10803001	450
10303001	190
10403001	230
10503001	300
10603001	350
10703001	400
10803001	450
30201000	0
30201001	0
30201002	0
30201003	0
30201004	0
30201005	0
30201010	0
30201011	0
30201012	0
30201013	0
30201014	0
30201015	0
30201020	0
30201021	0
30201022	0
30201023	0
30201024	0
30201025	0
31401001	0
31403001	0
20102001	190
20102002	200
20102003	240
20102004	250
20102005	290
20102006	310
20102007	340
20202001	310
20202002	320
20202003	360
20202004	370
20202005	410
20202006	420
20202007	460
20103001	205
20103002	245
20103003	260
20103004	280
20103005	315
20103006	335
20103007	365
20203001	355
20203002	360
20203003	405
20203004	410
20203005	455
20203006	460
20203007	505
20103001	205
20103002	245
20103003	260
20103004	280
20103005	315
20103006	335
20103007	365
20203001	355
20203002	360
20203003	405
20203004	410
20203005	455
20203006	460
20203007	505
30303001	255
30303002	280
30303003	310
30303004	335
30303005	360
30303006	385
30303007	425
30303008	340
30303009	350
30303010	400
30303011	450
30303012	500
30303001	255
30303002	280
30303003	310
30303004	335
30303005	360
30303006	385
30303007	425
30303008	340
30303009	350
30303010	400
30303011	450
30303012	500
31501001	0
31501002	0
31501003	0
31501004	0
31501005	0
31501006	0
31501007	0
31501008	0
31503001	0
31503002	0
31503003	0
31503004	0
31503005	0
31503006	0
31503007	0
31503008	0
60203001	0
60203002	0
60203003	0
60203004	190
60203005	190
60203006	210
60203007	230
60203008	255
60203009	280
60203010	305
60203011	330
60203012	355
60203013	380
60203014	405
60203015	430
60203016	455
60203017	480
60203018	505
60203019	530
60203020	555
60203021	580
60203022	655
60203023	680
60203024	705
30903001	0
30903001	0
30903001	0
30903001	0
30903001	0
30903001	0
30903001	0
30903001	0
30903001	0
30903001	0
30903001	0
30903001	0
30903001	0
31903001	0
31903002	0
31903003	0
31903004	0
31903005	0
31903006	0
30301001	260
30301002	300
30603001	0
30603002	0
30603003	0
30603004	0
