int	int	int	int	string	string
ID	RangListType	RankA	RankB	Gift	Tip
奖励ID	榜单类型	排行榜名次	排行榜名次	职业对应的礼包内容,每个职业5组数据，物品ID和物品数量(1.枪豪2.道师3.剑修)	目标提示
1	2	1	1	{"1":[[203,1,1],[6712,1,0],[181,50,1],[5,2,1]],"2":[[203,1,1],[6812,1,0],[181,50,1],[5,2,1]],"3":[[203,1,1],[6912,1,0],[181,50,1],[5,2,1]]}	全服强化总等级第1名领取
2	2	2	5	{"1":[[204,1,1],[6713,1,0],[181,25,1],[5,1,1]],"2":[[204,1,1],[6813,1,0],[181,25,1],[5,1,1]],"3":[[204,1,1],[6913,1,0],[181,25,1],[5,1,1]]}	全服强化总等级第2-5名领取
3	2	6	20	{"1":[[205,1,1],[6714,1,0],[181,15,1],[4,1,1]],"2":[[205,1,1],[6814,1,0],[181,15,1],[4,1,1]],"3":[[205,1,1],[6914,1,0],[181,15,1],[4,1,1]]}	全服强化总等级第6-20名领取
4	1	1	1	{"1":[[4702,1,1],[6706,1,0],[3503,4,1],[3513,4,1]],"2":[[4702,1,1],[6806,1,0],[3503,4,1],[3513,4,1]],"3":[[4702,1,1],[6906,1,0],[3503,4,1],[3513,4,1]]}	全服坐骑总等级第1名领取
5	1	2	5	{"1":[[4703,1,1],[6707,1,0],[3503,2,1],[3513,2,1]],"2":[[4703,1,1],[6807,1,0],[3503,2,1],[3513,2,1]],"3":[[4703,1,1],[6907,1,0],[3503,2,1],[3513,2,1]]}	全服坐骑总等级第2-5名领取
6	1	6	20	{"1":[[4704,1,1],[6708,1,0],[3503,1,1],[3513,1,1]],"2":[[4704,1,1],[6808,1,0],[3503,1,1],[3513,1,1]],"3":[[4704,1,1],[6908,1,0],[3503,1,1],[3513,1,1]]}	全服坐骑总等级第6-20名领取
7	3	1	1	{"1":[[4699,1,1],[6709,1,0],[4151,50,1],[5,2,1]],"2":[[4699,1,1],[6809,1,0],[4151,50,1],[5,2,1]],"3":[[4699,1,1],[6909,1,0],[4151,50,1],[5,2,1]]}	全服宝石总等级第1名领取
8	3	2	5	{"1":[[4700,1,1],[6710,1,0],[4151,25,1],[5,1,1]],"2":[[4700,1,1],[6810,1,0],[4151,25,1],[5,1,1]],"3":[[4700,1,1],[6910,1,0],[4151,25,1],[5,1,1]]}	全服宝石总等级第2-5名领取
9	3	6	20	{"1":[[4701,1,1],[6711,1,0],[4151,15,1],[4,1,1]],"2":[[4701,1,1],[6811,1,0],[4151,15,1],[4,1,1]],"3":[[4701,1,1],[6911,1,0],[4151,15,1],[4,1,1]]}	全服宝石总等级第6-20名领取
10	4	1	1	{"1":[[4190,1,1],[6703,1,0],[106,5,1],[103,5,1]],"2":[[4190,1,1],[6803,1,0],[106,5,1],[103,5,1]],"3":[[4190,1,1],[6903,1,0],[106,5,1],[103,5,1]]}	全服等级第1名领取
11	4	2	5	{"1":[[4191,1,1],[6704,1,0],[106,4,1],[103,4,1]],"2":[[4191,1,1],[6804,1,0],[106,4,1],[103,4,1]],"3":[[4191,1,1],[6904,1,0],[106,4,1],[103,4,1]]}	全服等级第2-5名领取
12	4	6	20	{"1":[[4192,1,1],[6705,1,0],[106,3,1],[103,3,1]],"2":[[4192,1,1],[6805,1,0],[106,3,1],[103,3,1]],"3":[[4192,1,1],[6905,1,0],[106,3,1],[103,3,1]]}	全服等级第6-20名领取
13	5	1	1	{"1":[[4696,1,1],[6700,1,0],[3504,3,1],[3514,3,1]],"2":[[4696,1,1],[6800,1,0],[3504,3,1],[3514,3,1]],"3":[[4696,1,1],[6900,1,0],[3504,3,1],[3514,3,1]]}	全服境界等级第1名领取
14	5	2	5	{"1":[[4697,1,1],[6701,1,0],[3504,2,1],[3514,2,1]],"2":[[4697,1,1],[6801,1,0],[3504,2,1],[3514,2,1]],"3":[[4697,1,1],[6901,1,0],[3504,2,1],[3514,2,1]]}	全服境界等级第2-5名领取
15	5	6	20	{"1":[[4698,1,1],[6702,1,0],[3513,2,1],[3503,2,1]],"2":[[4698,1,1],[6802,1,0],[3513,2,1],[3503,2,1]],"3":[[4698,1,1],[6902,1,0],[3513,2,1],[3503,2,1]]}	全服境界等级第6-20名领取
16	6	1	1	{"1":[[207,1,1],[7000,1,0],[106,5,1],[103,5,1]],"2":[[207,1,1],[7000,1,0],[106,5,1],[103,5,1]],"3":[[207,1,1],[7000,1,0],[106,5,1],[103,5,1]]}	全服战力第1名领取
17	6	2	5	{"1":[[208,1,1],[7001,1,0],[106,4,1],[103,4,1]],"2":[[208,1,1],[7001,1,0],[106,4,1],[103,4,1]],"3":[[208,1,1],[7001,1,0],[106,4,1],[103,4,1]]}	全服战力第2-5名领取
18	6	6	20	{"1":[[209,1,1],[7002,1,0],[106,3,1],[103,3,1]],"2":[[209,1,1],[7002,1,0],[106,3,1],[103,3,1]],"3":[[209,1,1],[7002,1,0],[106,3,1],[103,3,1]]}	全服战力第6-20名领取
