int	int	int	int	int
ID	PetID	Rank	UpNeedExp	AtkAdd
编号	灵宠NPCID	灵宠阶数	灵宠升阶所需经验数	当前等级灵宠攻击
1	50106001	1	99	103
2	50106001	2	124	145
3	50106001	3	139	189
4	50106001	4	153	236
5	50106001	5	161	286
6	50106001	6	180	339
7	50106001	7	218	396
8	50106001	8	254	457
9	50106001	9	302	521
10	50106001	10	414	589
11	50106001	11	573	661
12	50106001	12	639	738
13	50106001	13	715	819
14	50106001	14	829	906
15	50106001	15	0	997
51	50106002	1	370	139
52	50106002	2	401	191
53	50106002	3	436	246
54	50106002	4	473	305
55	50106002	5	512	368
56	50106002	6	555	435
57	50106002	7	599	506
58	50106002	8	647	581
59	50106002	9	697	661
60	50106002	10	750	747
61	50106002	11	805	837
62	50106002	12	863	932
63	50106002	13	923	1034
64	50106002	14	987	1142
65	50106002	15	1052	1257
66	50106002	16	1121	1378
67	50106002	17	1192	1506
68	50106002	18	1266	1641
69	50106002	19	1351	1782
70	50106002	20	0	1931
101	50106101	1	1234	247
102	50106101	2	1339	420
103	50106101	3	1454	604
104	50106101	4	1577	801
105	50106101	5	1709	1010
106	50106101	6	1850	1232
107	50106101	7	1999	1469
108	50106101	8	2157	1721
109	50106101	9	2324	1988
110	50106101	10	2500	2272
111	50106101	11	2684	2572
112	50106101	12	2877	2891
113	50106101	13	3079	3231
114	50106101	14	3290	3591
115	50106101	15	3509	3973
116	50106101	16	3738	4377
117	50106101	17	3975	4803
118	50106101	18	4220	5252
119	50106101	19	4475	5725
120	50106101	20	4738	6221
121	50106101	21	5010	6743
122	50106101	22	5290	7279
123	50106101	23	5580	7829
124	50106101	24	5878	8392
125	50106101	25	6185	8969
126	50106101	26	6500	9556
127	50106101	27	6825	10154
128	50106101	28	7158	10762
129	50106101	29	7546	11377
130	50106101	30	0	12000
151	50106102	1	740	247
152	50106102	2	803	351
153	50106102	3	872	461
154	50106102	4	946	579
155	50106102	5	1025	705
156	50106102	6	1110	838
157	50106102	7	1199	980
158	50106102	8	1294	1131
159	50106102	9	1394	1292
160	50106102	10	1500	1462
161	50106102	11	1610	1642
162	50106102	12	1726	1834
163	50106102	13	1847	2037
164	50106102	14	1974	2254
165	50106102	15	2105	2483
166	50106102	16	2242	2725
167	50106102	17	2385	2980
168	50106102	18	2532	3250
169	50106102	19	2685	3534
170	50106102	20	2842	3832
171	50106102	21	3006	4144
172	50106102	22	3174	4466
173	50106102	23	3348	4796
174	50106102	24	3527	5134
175	50106102	25	3711	5480
176	50106102	26	3900	5833
177	50106102	27	4095	6191
178	50106102	28	4295	6556
179	50106102	29	4513	6925
180	50106102	30	0	7299
201	50106201	1	1480	571
202	50106201	2	1607	779
203	50106201	3	1745	1000
204	50106201	4	1892	1235
205	50106201	5	2051	1486
206	50106201	6	2220	1753
207	50106201	7	2399	2037
208	50106201	8	2589	2339
209	50106201	9	2789	2660
210	50106201	10	3000	3001
211	50106201	11	3221	3361
212	50106201	12	3453	3744
213	50106201	13	3695	4152
214	50106201	14	3948	4584
215	50106201	15	4211	5042
216	50106201	16	4485	5526
217	50106201	17	4770	6038
218	50106201	18	5064	6577
219	50106201	19	5370	7144
220	50106201	20	5685	7740
221	50106201	21	6012	8366
222	50106201	22	6349	9009
223	50106201	23	6696	9669
224	50106201	24	7054	10346
225	50106201	25	7422	11037
226	50106201	26	7801	11742
227	50106201	27	8190	12460
228	50106201	28	8590	13189
229	50106201	29	9000	13927
230	50106201	30	9421	14674
231	50106201	31	9852	15428
232	50106201	32	10294	16197
233	50106201	33	10746	16979
234	50106201	34	11209	17774
235	50106201	35	11682	18581
236	50106201	36	12166	19399
237	50106201	37	12660	20226
238	50106201	38	13165	21062
239	50106201	39	13717	21905
240	50106201	40	0	22753
251	50106301	1	1974	1399
252	50106301	2	2143	1676
253	50106301	3	2326	1970
254	50106301	4	2523	2285
255	50106301	5	2735	2619
256	50106301	6	2960	2975
257	50106301	7	3199	3353
258	50106301	8	3452	3757
259	50106301	9	3719	4185
260	50106301	10	4000	4638
261	50106301	11	4295	5118
262	50106301	12	4604	5630
263	50106301	13	4927	6173
264	50106301	14	5264	6750
265	50106301	15	5615	7360
266	50106301	16	5981	8006
267	50106301	17	6360	8688
268	50106301	18	6753	9407
269	50106301	19	7160	10163
270	50106301	20	7581	10958
271	50106301	21	8016	11792
272	50106301	22	8465	12650
273	50106301	23	8928	13530
274	50106301	24	9405	14432
275	50106301	25	9896	15353
276	50106301	26	10401	16294
277	50106301	27	10920	17251
278	50106301	28	11453	18222
279	50106301	29	12000	19207
280	50106301	30	12561	20203
281	50106301	31	13136	21208
282	50106301	32	13725	22233
283	50106301	33	14328	23276
284	50106301	34	14945	24337
285	50106301	35	15576	25413
286	50106301	36	16221	26503
287	50106301	37	16880	27606
288	50106301	38	17553	28720
289	50106301	39	18240	29844
290	50106301	40	18941	30975
291	50106301	41	19656	32111
292	50106301	42	20385	33290
293	50106301	43	21128	34514
294	50106301	44	21885	35781
295	50106301	45	22656	37094
296	50106301	46	23441	38454
297	50106301	47	24240	39860
298	50106301	48	25053	41315
299	50106301	49	25895	42818
300	50106301	50	0	44371
301	50106204	1	1234	463
302	50106204	2	1339	636
303	50106204	3	1454	820
304	50106204	4	1577	1017
305	50106204	5	1709	1226
306	50106204	6	1850	1448
307	50106204	7	1999	1685
308	50106204	8	2157	1937
309	50106204	9	2324	2204
310	50106204	10	2500	2488
311	50106204	11	2684	2788
312	50106204	12	2877	3107
313	50106204	13	3079	3447
314	50106204	14	3290	3807
315	50106204	15	3509	4189
