int	int	int	int	int
ID	EquipColor	EquipClass	Exp	integrate
编号	装备品质	装备阶数	灵宠吸收装备经验参数	仙盟捐献与兑换积分
1	3	1	50	50
2	3	2	50	50
3	3	3	50	50
4	3	4	50	50
5	3	5	50	50
6	3	6	50	50
7	3	7	50	50
8	3	8	50	50
9	3	9	50	50
10	3	10	50	50
11	3	11	50	50
12	3	12	50	50
13	4	1	75	75
14	4	2	75	75
15	4	3	75	75
16	4	4	75	75
17	4	5	75	75
18	4	6	75	75
19	4	7	75	75
20	4	8	75	75
21	4	9	75	75
22	4	10	75	75
23	4	11	75	75
24	4	12	75	75
25	5	1	400	400
26	5	2	400	400
27	5	3	400	400
28	5	4	400	400
29	5	5	400	400
30	5	6	400	400
31	5	7	400	400
32	5	8	400	400
33	5	9	400	400
34	5	10	400	400
35	5	11	400	400
36	5	12	400	400
37	6	1	1200	1200
38	6	2	1200	1200
39	6	3	1200	1200
40	6	4	1200	1200
41	6	5	1200	1200
42	6	6	1200	1200
43	6	7	1200	1200
44	6	8	1200	1200
45	6	9	1200	1200
46	6	10	1200	1200
47	6	11	1200	1200
48	6	12	1200	1200
