int	string	int	int	int	int	int	int	int	string	string	string	int[]	string	string	int	int
ID	Name	Quality	UnLockNeedItemID	UnLockNeedItemCnt	DecomposeExp	InitRank	MaxRank	UseNeedRank	SkillID	SkillScore	SkillUnLock	ShowSkill	IconKey	InitFightPower	ShowFightPower	Sort
灵宠编号NPCID	灵宠名称	灵宠品质	解锁灵宠物品ID	解锁所需物品数量	分解单个解锁物品可获得升阶经验	灵宠初始阶数	灵宠最高阶数	多少阶可切换外观	灵宠技能ID	技能评分	灵宠技能解锁需要阶数	灵宠主界面展示技能	品质底图icon	灵宠初始战力	模型展示战力	灵宠排序
50106001	道士鼠	2	4201	1	1000	1	15	1	48200|48205	530|1237	4|10	48200|48205	LS_Quality1	1036	15129	1
50106002	灵狐仙	2	4202	1	1000	1	20	4	48215|48220|48225	869|1448|3477	4|10|20	48215|48220|48225	LS_Quality1	1396	38444	2
50106101	冰原狼妖	3	4203	1	1000	1	30	6	47111|48235|48240	3733|6221|14932	4|10|20	47111|48235|48240	LS_Quality2	2476	168203	100
50106102	鬼将军	3	4204	1	1000	1	30	6	48245|48250|48255	2299|3832|9196	4|10|20	48245|48250|48255	LS_Quality2	2476	103626	101
50106201	铁壁金刚	4	4205	1	1000	1	40	6	48260|48265|48270	6966|11610|27865	4|10|20	48260|48265|48270	LS_Quality3	5716	318579	200
50106103	摇滚熊猫	3	4208	1	1000	1	30	6	48320|48325|48330	3102|5170|12409	4|10|20	48320|48325|48330	LS_Quality3	3916	122537	102
50106204	齐天小美	4	4212	1	1000	1	40	6	48275|48280|48285	5793|9656|23175	4|10|20	48275|48280|48285	LS_Quality3	4636	265078	201
50106301	炎魔	5	4206	1	1000	1	50	6	48290|48295|48300	13149|21916|52599	4|10|20	48290|48295|48300	LS_Quality4	13996	618779	301
50106302	阴阳无常	5	4207	1	1000	1	50	6	48305|48310|48315	18177|30295|72709	4|10|20	48305|48310|48315	LS_Quality3	31996	823802	302
