int	int	int	int	int	int
LV	EXP1	EXP2	TalentPoint	ReExp	fightPower
等级	升到下一级所需经验1	升级下一级所需经验2	等级获取的天赋点	等级经验效率(second)	等级对应推荐战力
1	0	35	0	6	4084
2	0	45	0	7	4218
3	0	55	0	8	4412
4	0	70	0	10	4614
5	0	90	0	12	4816
6	0	105	0	13	5040
7	0	130	0	15	5664
8	0	155	0	17	5990
9	0	190	0	20	6258
10	0	220	0	22	6544
11	0	265	0	25	6820
12	0	310	0	28	7068
13	0	365	0	31	7316
14	0	430	0	35	7546
15	0	490	0	38	9176
16	0	570	0	42	9394
17	0	670	0	47	9594
18	0	765	0	51	10164
19	0	880	0	56	10532
20	0	1005	0	61	10932
21	0	1155	0	67	11278
22	0	1320	0	73	11896
23	0	1500	0	79	12402
24	0	1710	0	86	12980
25	0	1935	0	93	13460
26	0	2175	0	100	14056
27	0	2455	0	108	14404
28	0	2760	0	116	14732
29	0	3135	0	126	15050
30	0	3510	0	135	15794
31	0	3880	0	145	17162
32	0	4275	0	155	18564
33	0	4730	0	166	18884
34	0	5215	0	177	19182
35	0	5775	0	189	19460
36	0	6405	0	202	19782
37	0	7085	0	215	20114
38	0	7820	0	228	20558
39	0	8690	0	243	20982
40	0	9630	0	258	22636
41	0	10645	0	273	23082
42	0	11825	0	290	23466
43	0	13105	0	307	23702
44	0	14490	0	324	24060
45	0	16080	0	343	24450
46	0	17800	0	362	24808
47	0	19710	0	382	25148
48	0	21835	0	403	25490
49	0	24180	0	425	25986
50	0	26780	0	448	26402
51	0	29520	0	470	26792
52	0	32670	0	495	27136
53	0	53940	0	520	27602
54	0	77735	0	546	28042
55	0	104430	0	574	30432
56	0	136565	0	614	30972
57	0	172805	0	655	31518
58	0	213700	0	698	32144
59	0	259635	0	743	32700
60	0	310990	0	790	34718
61	0	367730	0	838	35574
62	0	431110	0	889	36560
63	0	500090	0	940	37484
64	0	577725	0	996	38480
65	0	661135	0	1051	39516
66	0	753045	0	1109	40488
67	0	854085	0	1170	41452
68	0	964115	0	1233	42442
69	0	1082810	0	1297	44100
70	0	1212300	0	1364	45208
71	0	1351390	0	1432	46464
72	0	1504450	0	1505	47816
73	0	1668335	0	1579	49326
74	0	1844550	0	1655	51356
75	0	2034860	0	1734	54558
76	0	2205515	0	1788	56574
77	0	2385845	0	1843	57450
78	0	2577565	0	1900	58306
79	0	2781245	0	1959	59394
80	0	2994480	0	2018	61464
81	0	3276340	0	2115	61920
82	0	3574810	0	2213	62426
83	0	3897135	0	2316	62870
84	0	4239415	0	2421	63460
85	0	4604235	0	2529	64084
86	0	4996365	0	2642	64592
87	0	5413310	0	2758	65390
88	0	5854080	0	2876	66056
89	0	6327945	0	3000	66730
90	0	6827925	0	3126	70306
91	0	7359420	0	3256	72358
92	0	7926130	0	3391	73190
93	0	8522430	0	3528	74014
94	0	9159250	0	3671	74924
95	0	9833370	0	3818	76242
96	0	10543615	0	3968	77416
97	0	11299470	0	4124	78392
98	0	12094505	0	4283	79440
99	0	12938780	0	4448	80510
100	0	13828415	0	4617	81798
101	0	14561625	0	4724	83658
102	0	15322315	0	4832	85584
103	0	16120950	0	4944	87018
104	0	16952310	0	5058	89272
105	0	17824265	0	5176	91210
106	0	18734820	0	5297	94128
107	0	19681650	0	5420	96480
108	0	20676965	0	5548	98788
109	0	21711220	0	5678	101418
110	0	22789410	0	5811	105334
111	0	23916960	0	5948	109326
112	0	25087340	0	6087	113414
113	0	26314365	0	6231	117398
114	0	27591470	0	6378	121453
115	0	28920155	0	6528	125658
