int	string	int	int	string	string
ID	Name	IS Percentage	type	desc	Parameter
编号	属性名称	是否百分比	属性类型	属性说明	公式计算参数
1	等级	0	0	提升角色的生命、命中和闪避	LV
2	力量	0	3	提升龙魂的攻击和命中	STR
3	身法	0	3	提升角色的防御力和闪避	PHY
4	体质	0	3	提升角色的生命值	CON
5	灵力	0	3	提升灵瑶的攻击和命中	PNE
6	生命	0	1	可承受攻击扣除的生命总值	MaxHP
7	攻击	0	1	对目标攻击造成的伤害值	Atk
8	防御	0	1	受到攻击时减少的伤害值	Def
9	命中	0	1	进行攻击时命中对方的几率	Hit
10	闪避	0	1	受到攻击时躲避对方伤害的几率	Miss
11	攻速	2	2	提升角色的攻击频率	AtkSpeed
12	暴击率	1	2	攻击时触发暴击的几率	SuperHitRate
13	暴击伤害	0	2	触发暴击时增加的伤害值	SuperHit
14	暴伤抗性	1	2	受到暴击时百分比减少暴击伤害	SuperHitReduce
15	会心一击	1	2	攻击时触发会心一击的几率	LuckyHitRate
16	会心一击伤害	1	2	触发会心一击时增加的伤害百分比	LuckyHit
17	会心一击抗性	1	2	抵抗会心一击出现的几率	LuckyHitRateReduce
18	技能伤害	1	2	增加所有技能伤害	SkillAtkRate
19	增加伤害	1	2	提高对目标攻击造成的伤害百分比	DamagePer
20	伤害减免	1	2	减少被攻击时受到的伤害百分比	DamReducePer
21	生命回复	0	2	每秒回复的生命值	HPRestore
22	伤害反射	1	2	受到的伤害按百分比反馈给对手	DamBackPer
23	移动速度	0	2	提高角色的移动速度	SpeedValue
24	灵宠伤害	0	0	灵宠对目标攻击造成的伤害值	PetAtk
25	灵宠增加伤害	1	2	提升灵宠对目标攻击造成的伤害百分比	PetDamPer
26	真实伤害	0	2	特殊攻击效果，无视防御，只有真实抵抗可以减免伤害	IceAtk
27	真实抵抗	0	2	特殊防御效果，可以减免真实伤害造成的伤害	IceDef
28	无视防御	1	2	攻击时百分比无视目标的防御	IgnoreDefRate
29	无视防御抗性	1	2	受击时减少对方的无视防御属性	IgnoreDefRateReduce
30	格挡	1	2	玩家被攻击时有20%几率触发的减少伤害百分比	DamChanceDef
31	流血伤害	1	2	增加流血造成伤害的百分比	BleedDamage
32	攻击回血	0	2	每次攻击回复固定生命值	AtkBackHP
33	击晕	1	2	攻击时使目标玩家眩晕0.5秒的几率	FaintRate
34	控制抵抗	1	2	受击时使即将受到的眩晕效果不生效的几率	FaintDefRate
35	额外伤害	0	2	对目标攻击造成最终伤害后，再加成一定伤害值	FinalHurt
36	最终减伤	0	2	减少被攻击受到的最终伤害的部分伤害值	FinalHurtReduce
37	PVP伤害增加	1	2	对抗玩家时百分比提高造成的伤害	DamagePerPVP
38	PVP伤害减免	1	2	对抗玩家时百分比减少受到的伤害	DamagePerPVPReduce
39	连击几率	1	0	攻击命中目标后，有几率额外对目标造成一次100%技能伤害的攻击	ComboRate
40	连击伤害	1	0	连击触发时会造成的技能伤害	ComboDamPer
41	基础攻击	1	0		BaseAtkPer
42	基础生命	1	0		BaseMaxHPPer
43	基础防御	1	0		BaseDefPer
44	命中	1	0		HitRate
45	闪避	1	0		MissRate
46	杀怪经验	1	0		FightExpRate
48	魂器基础属性	1	0		HorcruxBasePer
49	技能减伤	1	2	减少被攻击时受到的技能伤害百分比	SkillAtkRateReduce
50	生命	1	0		MaxHPPer
51	攻击	1	0		AtkPer
52	每1级+%s攻击	2	0		PerLVAtk
53	每1级+%s生命	0	0		PerLVMaxHP
54	增加装备掉率	1	0		DropEquipPer
55	增加金币	1	0		DropMoneyPer
56	神兵生命属性	1	0		GodWeaponMaxHPPer
57	神兵攻击属性	1	0		GodWeaponAtkPer
58	宝石生命属性	1	0		StoneMaxHPPer
59	宝石攻击属性	1	0		StoneAtkPer
60	装备基础属性	1	0		EquipBasePer
61	真实伤害	1	0		IceAtkPer
62	真实抵抗	1	0		IceDefPer
63	防具生命	1	0		ArmorMaxHPPer
64	仙器攻击	1	0		RelicsAtkPer
65	武器攻击	1	0		WeaponAtkPer
66	防具防御	1	0		ArmorDefPer
67	最小攻击	0	0		MinAtk
68	最大攻击	0	0		MaxAtk
69	防御	1	0		DefPer
70	暴击伤害	1	0		SuperHitPer
71	移动速度	1	0		SpeedPer
72	防护值	0	0		MaxProDef
73	防护值	1	0		ProDefHPPer
74	护盾吸收伤害	1	0		ProDefAbsorb
75	基础命中	1	0		BaseHitPer
76	基础闪避	1	0		BaseMissPer
77	灵宠最小攻击	0	0		PetMinAtk
78	灵宠最大攻击	0	0		PetMaxAtk
79	额外输出伤害	0	0		OnlyFinalHurt
80	PVP攻击回血	0	0		PVPAtkBackHP
81	经验暴击	1	0	攻击时20%的概率触发额外经验加成比率	ChanceExpRate
82	坐骑攻击	1	0		HorseAtkPer
83	宝石基础属性	1	0		StoneBasePer
84	境界基础属性	1	0		RealmBasePer
85	宠物技能伤害	1	0		PetSkillAtkRate
86	翅膀生命	1	0		WingHPPer
87	套装基础属性	1	0		SuiteBasePer
88	强化攻击	1	0		
