string	string	int	int	int	int	int	string	string	string	string	string	int	string
id	name	type	npcId	lv	colorLV	isCanDelete	descList	rewardList	 lightList	infoList	guideDesc	isShowGuideReward	szDayCount
任务ID	任务名称	任务类型	起始NPCID	可接等级	任务难度	是否可删除	任务详情	奖励信息	任务灯信息	任务完成条件	向导描述	是否显示向导奖励	任务完成信息
1	ms_name_1	0	10104001	1	1	0	{"1": "info_1_0_1_msg", "0": "info_1_0_0_msg"}	{"1": {"J1": "info_1_0_1_reward_0", "J2": "info_1_0_1_reward_1"}, "0": {"J1": "info_1_0_0_reward_0", "J2": "info_1_0_0_reward_1"}}	{"1": {"10104001": "-1"}, "0": {"10104001": "-1"}}	{"1": {"0": "m_info_1_0_1_0_msg"}, "0": {}}		1	-
1000	ms_name_1000	0	10104001	1	1	0	{"0": "info_1000_0_0_msg"}	{"0": {"-": "info_1000_0_0_reward_0"}}	{"0": {"10104002": "2"}}	{"0": {"0": "m_info_1000_0_0_0_msg"}}	-	0	-
1001	ms_name_1001	0	10104001	2	1	0	{"1": "info_1001_0_1_msg", "0": "info_1001_0_0_msg"}	{"1": {"J1": "info_1001_0_1_reward_0", "J2": "info_1001_0_1_reward_1"}, "0": {"J1": "info_1001_0_0_reward_0", "J2": "info_1001_0_0_reward_1"}}	{"1": {"10104002": "2"}, "0": {"10104002": "1"}}	{"1": {"0": "m_info_1001_0_1_0_msg"}, "0": {"0": "m_info_1001_0_0_0_msg"}}	-	0	-
1002	ms_name_1002	0	10104010	3	1	0	{"1": "info_1002_0_1_msg", "0": "info_1002_0_0_msg"}	{"1": {"-": "info_1002_0_1_reward_0"}, "0": {"-": "info_1002_0_0_reward_0"}}	{"1": {"10104001": "2"}, "0": {"10104001": "1"}}	{"1": {"0": "m_info_1002_0_1_0_msg"}, "0": {"0": "m_info_1002_0_0_0_msg"}}	-	0	-
101010	ms_name_101010	0	10104003	4	1	0	{"0": "info_101010_0_0_msg"}	{"0": {"-": "info_101010_0_0_reward_0"}}	{"0": {"10104003": "2"}}	{"0": {"0": "m_info_101010_0_0_0_msg"}}	-	0	-
101020	ms_name_101020	0	10104004	5	1	0	{"1": "info_101020_0_1_msg", "0": "info_101020_0_0_msg", "2": "info_101020_0_2_msg"}	{"1": {"-": "info_101020_0_1_reward_0"}, "0": {"-": "info_101020_0_0_reward_0"}, "2": {"-": "info_101020_0_2_reward_0"}}	{"1": {"10104004": "1"}, "0": {"10104004": "-1"}, "2": {"10104004": "2"}}	{"1": {"0": "m_info_101020_0_1_0_msg"}, "0": {"0": "m_info_101020_0_0_0_msg"}, "2": {"0": "m_info_101020_0_2_0_msg"}}	-	0	-
101030	ms_name_101030	0	10104005	6	1	0	{"1": "info_101030_0_1_msg", "0": "info_101030_0_0_msg", "2": "info_101030_0_2_msg"}	{"1": {"-": "info_101030_0_1_reward_0"}, "0": {"-": "info_101030_0_0_reward_0"}, "2": {"-": "info_101030_0_2_reward_0"}}	{"1": {"10104005": "1"}, "0": {"10104005": "-1"}, "2": {"10104005": "2"}}	{"1": {"0": "m_info_101030_0_1_0_msg"}, "0": {"0": "m_info_101030_0_0_0_msg"}, "2": {"0": "m_info_101030_0_2_0_msg"}}	-	0	-
101040	ms_name_101040	0	10104006	7	1	0	{"1": "info_101040_0_1_msg", "0": "info_101040_0_0_msg", "2": "info_101040_0_2_msg"}	{"1": {"-": "info_101040_0_1_reward_0"}, "0": {"-": "info_101040_0_0_reward_0"}, "2": {"-": "info_101040_0_2_reward_0"}}	{"1": {"10104006": "1"}, "0": {"10104006": "-1"}, "2": {"10104006": "2"}}	{"1": {"0": "m_info_101040_0_1_0_msg"}, "0": {"0": "m_info_101040_0_0_0_msg"}, "2": {"0": "m_info_101040_0_2_0_msg"}}	-	0	-
