int	string	int	int	int	int	string	int[]	int[]	int	string	string	int	int
Lv	Name	IsBigRealm	NeedPoint	NeedGood	NeedNum	NeedActiveTreasure	AddAttrType	AddAttrNum	BossID	Img	SitTime	Quality	FightPower
境界等级	境界名称	是否大境界	开启渡劫需要修行点	开启渡劫需要道具ID	开启渡劫消耗的道具数量	开启渡劫需要激活法宝条件	境界加成属性类型	境界加成属性值	渡劫BOSSID	境界图片	打坐时间秒 key 评级 D-1,C-2,B-3,A-4,S-5	境界品质	推荐战力
0		0	300	0	0	0	6|7	0|0	61103000		{"1":0,"2":0,"3":0,"4":0,"5":0}		0
1	锻体	0	360	0	0	0	6|7	4700|230	61103001	white1	{"1":0,"2":0,"3":0,"4":0,"5":0}	1	42856
2	练气	0	400	0	0	0	6|7	9900|490	61103002	white2	{"1":0,"2":0,"3":0,"4":0,"5":0}	1	85447
3	凝神	1	640	0	0	0	6|7	15800|790	61203001	white3	{"1":0,"2":0,"3":0,"4":0,"5":0}	1	185124
4	筑基	0	720	0	0	0	6|7|19	25400|1270|1000	61103003	blue1	{"1":0,"2":0,"3":0,"4":0,"5":0}	2	442323
5	辟谷	0	810	0	0	0	6|7|19	32600|1630|1000	61103004	blue2	{"1":0,"2":0,"3":0,"4":0,"5":0}	2	724431
6	开光	0	920	0	0	0	6|7|19	40600|2030|1000	61103005	blue3	{"1":0,"2":0,"3":0,"4":0,"5":0}	2	1179544
7	融合	1	1700	0	0	0	6|7|19	49600|2480|1000	61203002	blue4	{"1":0,"2":0,"3":0,"4":0,"5":0}	2	1638798
8	金丹	0	1440	0	0	0	6|7|19|18	64500|3220|1000|2000	61103006	purple1	{"1":0,"2":0,"3":0,"4":0,"5":0}	3	2343156
9	旋照	0	1440	0	0	0	6|7|19|18	75600|3780|1000|2000	61103007	purple2	{"1":0,"2":0,"3":0,"4":0,"5":0}	3	3039692
10	心动	0	1440	0	0	0	6|7|19|18	87800|4390|1000|2000	61103008	purple3	{"1":0,"2":0,"3":0,"4":0,"5":0}	3	3774724
11	灵寂	1	2730	0	0	0	6|7|19|18	101500|5070|1000|2000	61203003	purple4	{"1":0,"2":0,"3":0,"4":0,"5":0}	3	4796797
12	元婴	0	1960	0	0	0	6|7|19|18|49	127400|6370|1000|2000|3000	61103009	orange1	{"1":0,"2":0,"3":0,"4":0,"5":0}	4	5305695
13	婴变	0	2130	0	0	0	6|7|19|18|49	144100|7200|1000|2000|3000	61103010	orange2	{"1":0,"2":0,"3":0,"4":0,"5":0}	4	6736107
14	出窍	0	2130	0	0	0	6|7|19|18|49	162600|8130|1000|2000|3000	61103011	orange3	{"1":0,"2":0,"3":0,"4":0,"5":0}	4	7188111
15	离识	1	4120	0	0	0	6|7|19|18|49	183000|9150|1000|2000|3000	61203004	orange4	{"1":0,"2":0,"3":0,"4":0,"5":0}	4	7651156
16	化神	0	3180	0	0	0	6|7|19|18|49	228000|11400|5000|2000|3000	61103012	red1	{"1":0,"2":0,"3":0,"4":0,"5":0}	5	8527071
17	洞虚	0	3180	0	0	0	6|7|19|18|49	252600|12630|5000|2000|3000	61103013	red2	{"1":0,"2":0,"3":0,"4":0,"5":0}	5	9044280
18	合体	1	5740	0	0	0	6|7|19|18|49	279600|13980|5000|2000|3000	61203005	red3	{"1":0,"2":0,"3":0,"4":0,"5":0}	5	9883863
19	大乘	0	4040	0	0	0	6|7|19|18|49|20	354400|17720|5000|2000|3000|2000	61103014	Pink1	{"1":0,"2":0,"3":0,"4":0,"5":0}	6	10144010
20	返虚	0	4040	0	0	0	6|7|19|18|49|20	386800|19340|5000|2000|3000|2000	61103015	Pink2	{"1":0,"2":0,"3":0,"4":0,"5":0}	6	11016210
21	渡劫	1	5740	0	0	0	6|7|19|18|49|20	422000|21100|5000|2000|3000|2000	61203006	Pink3	{"1":0,"2":0,"3":0,"4":0,"5":0}	6	11806955
