int	int	string	int	int	int[]	int	int	int	string	string	string	int
id	funcType	Name	funcId	LV	conditions	targetValue	recommendFightPower	strongerFightPower	title	desc	Icon	OpenUI
标识编号	模块ID	模块名称	功能ID	等级限制	辅助条件	数量	推荐战力	更强战力	标题	描述	图标	界面索面ID
101	1	装备	0	90	3|0|2	5	5152	6896	二阶紫色1星装备	获得并穿戴<color=#fa0101>5件二阶紫色及以上</color>装备	TY_GN_32	113
102	1	装备	0	90	3|0|2	7	6896	10528	三阶橙色1星装备	获得并穿戴<color=#fa0101>7件二阶紫色及以上</color>装备	TY_GN_32	113
103	1	装备	0	90	3|1|3	5	10528	13860	三阶橙色2星装备	获得并穿戴<color=#fa0101>5件三阶紫色1星及以上</color>装备	TY_GN_32	113
104	1	装备	0	90	3|1|3	7	13860	28018	四阶橙色2星装备	获得并穿戴<color=#fa0101>7件三阶紫色1星及以上</color>装备	TY_GN_32	113
105	1	装备	0	90	4|1|3	5	28018	35258	五阶橙色2星装备	获得并穿戴<color=#fa0101>5件三阶橙色1星及以上</color>装备	TY_GN_32	113
106	1	装备	0	90	4|1|3	7	35258	49918	五阶橙色2星装备	获得并穿戴<color=#fa0101>7件三阶橙色1星及以上</color>装备	TY_GN_32	113
107	1	装备	0	90	4|2|4	5	49918	70786	五阶红色2星装备	获得并穿戴<color=#fa0101>5件四阶橙色2星及以上</color>装备	TY_GN_32	113
108	1	装备	0	90	4|2|4	7	70786	76876	五阶红色2星装备	获得并穿戴<color=#fa0101>7件四阶橙色2星及以上</color>装备	TY_GN_32	113
109	1	装备	0	90	4|2|5	5	76876	82540	六阶红色2星装备	获得并穿戴<color=#fa0101>5件五阶橙色2星及以上</color>装备	TY_GN_32	113
110	1	装备	0	90	4|2|5	7	82540	111906	六阶红色2星装备	获得并穿戴<color=#fa0101>7件五阶橙色2星及以上</color>装备	TY_GN_32	113
111	1	装备	0	90	5|2|5	3	111906	120694	七阶红色2星装备	获得并穿戴<color=#fa0101>3件五阶红色2星及以上</color>装备	TY_GN_32	113
112	1	装备	0	90	5|2|5	5	120694	132508	七阶红色2星装备	获得并穿戴<color=#fa0101>5件五阶红色2星及以上</color>装备	TY_GN_32	113
113	1	装备	0	90	5|2|5	7	132508	158830	七阶红色2星装备	获得并穿戴<color=#fa0101>7件五阶红色2星及以上</color>装备	TY_GN_32	113
114	1	装备	0	90	5|2|6	3	158830	189526	八阶红色2星装备	获得并穿戴<color=#fa0101>3件六阶红色2星及以上</color>装备	TY_GN_32	113
115	1	装备	0	90	5|2|6	5	189526	219590	八阶红色2星装备	获得并穿戴<color=#fa0101>5件六阶红色2星及以上</color>装备	TY_GN_32	113
116	1	装备	0	90	5|2|6	7	219590	254240	八阶红色2星装备	获得并穿戴<color=#fa0101>7件六阶红色2星及以上</color>装备	TY_GN_32	113
117	1	装备	0	90	5|2|7	3	254240	283564	八阶红色2星装备	获得并穿戴<color=#fa0101>3件七阶红色2星及以上</color>装备	TY_GN_32	113
118	1	装备	0	90	5|2|7	5	283564	311722	八阶红色2星装备	获得并穿戴<color=#fa0101>5件七阶红色2星及以上</color>装备	TY_GN_32	113
119	1	装备	0	90	5|2|7	7	311722	388890	八阶红色2星装备	获得并穿戴<color=#fa0101>7件七阶红色2星及以上</color>装备	TY_GN_32	113
120	1	装备	0	90	5|2|8	3	388890	431732	八阶红色2星装备	获得并穿戴<color=#fa0101>3件八阶红色2星及以上</color>装备	TY_GN_32	113
121	1	装备	0	90	5|2|8	5	431732	481446	八阶红色2星装备	获得并穿戴<color=#fa0101>5件八阶红色2星及以上</color>装备	TY_GN_32	113
122	1	装备	0	90	5|2|8	7	481446	481446	八阶红色2星装备	获得并穿戴<color=#fa0101>7件八阶红色2星及以上</color>装备	TY_GN_32	113
201	2	强化	1	70	0	35	3231	6634	装备强化	穿戴装备累计强化等级达到<color=#fa0101>35级</color>	QianghuaIcon_a	116
202	2	强化	1	70	0	70	6634	14007	装备强化	穿戴装备累计强化等级达到<color=#fa0101>70级</color>	QianghuaIcon_a	116
203	2	强化	1	70	0	140	14007	16008	激活强化加成	穿戴装备累计强化等级达到<color=#fa0101>140级</color>	QianghuaIcon_a	116
204	2	强化	1	70	0	160	16008	20578	装备强化	穿戴装备累计强化等级达到<color=#fa0101>160级</color>	QianghuaIcon_a	116
205	2	强化	1	70	0	200	20578	25407	装备强化	穿戴装备累计强化等级达到<color=#fa0101>200级</color>	QianghuaIcon_a	116
206	2	强化	1	70	0	240	25407	35917	激活强化加成	穿戴装备累计强化等级达到<color=#fa0101>240级</color>	QianghuaIcon_a	116
207	2	强化	1	70	0	320	35917	47678	装备强化	穿戴装备累计强化等级达到<color=#fa0101>320级</color>	QianghuaIcon_a	116
208	2	强化	1	70	0	400	47678	60840	装备强化	穿戴装备累计强化等级达到<color=#fa0101>400级</color>	QianghuaIcon_a	116
