int	string	string
ID	Title	Description
唯一id	标题	描述
1	EquipSuitPanel_HowToPlayTips_TitleTxt	EquipSuit_HowTo
2	EquipSuitPanel_HowToPlayTips_TitleTxt	EquipWash_HowToPlay
3	FindPrecious_RuleDescribe	WorldBossHowToPlay
4	FindPrecious_RuleDescribe	PersonalBossHowToPlay
5	FindPrecious_RuleDescribe	ResourceBack_Rule
6	FindPrecious_RuleDescribe	XMZZRule
7	FindPrecious_RuleDescribe	RedPacketText
8	FindPrecious_RuleDescribe	StrengthenRule
9	FindPrecious_RuleDescribe	UnionRule
10	FindPrecious_RuleDescribe	UnionStoreRule
11	FindPrecious_RuleDescribe	FairyListRule
12	FindPrecious_RuleDescribe	RealmRule
13	HowToPlay	ImpactRankHint2
14	HowToPlay	ImpactRankHint1
15	HowToPlay	ImpactRankHint3
16	HowToPlay	ImpactRankHint4
17	HowToPlay	ImpactRankHint5
18	HowToPlay	ImpactRankHint6
19	FindPrecious_RuleDescribe	ElderGodHowToPlay
20	HowToPlay	HappyXBRule
21	HowToInvest	InvestRule
22	MountToplay1	MountRank1
23	MountToplay2	MountRank2
24	PetTonplay1	PetRank1
25	PetTonplay2	PetRank2
26	HowToPlay	VIPInvestRule
