int	int[]	int
ID	AttrType	TowerID
物品编号	符印属性类型	解锁符印塔编号
4311	7	108
4312	7	108
4313	7	108
4314	7	108
4315	7	108
4316	6	0
4317	6	0
4318	6	0
4319	6	0
4320	6	0
4331	46	208
4332	46	208
4333	46	208
4334	46	208
4335	46	208
4346	63	708
4347	63	708
4348	63	708
4349	63	708
4350	63	708
4351	64	608
4352	64	608
4353	64	608
4354	64	608
4355	64	608
4356	65	808
4357	65	808
4358	65	808
4359	65	808
4360	65	808
4361	66	508
4362	66	508
4363	66	508
4364	66	508
4365	66	508
4371	42	1108
4372	42	1108
4373	42	1108
4374	42	1108
4375	42	1108
4376	41	1008
4377	41	1008
4378	41	1008
4379	41	1008
4380	41	1008
4381	27	408
4382	27	408
4383	27	408
4384	27	408
4385	27	408
4386	8	908
4387	8	908
4388	8	908
4389	8	908
4390	8	908
4391	26	308
4392	26	308
4393	26	308
4394	26	308
4395	26	308
4396	26|46	904
4397	26|46	904
4398	26|46	904
4399	26|46	904
4400	26|46	904
4411	8|66	1004
4412	8|66	1004
4413	8|66	1004
4414	8|66	1004
4415	8|66	1004
4401	7|41	1104
4402	7|41	1104
4403	7|41	1104
4404	7|41	1104
4405	7|41	1104
4406	6|42	1204
4407	6|42	1204
4408	6|42	1204
4409	6|42	1204
4410	6|42	1204
4416	64|65	1208
4417	64|65	1208
4418	64|65	1208
4419	64|65	1208
4420	64|65	1208
