int	int	int	string	string	int	int	int	int	int	int	int
ID	TowerId	FloorIndex	FloorName	RewardTitle	RuneEssence	RuneMagicEssence	BossId	UnLockRune	UnLockHole	UnLockCompose	RuneDrop
唯一标识	所属的塔	塔层序号	塔名	塔层奖励标题	符印精华数量	符印融合石数量	BossId	解锁的符印类型	解锁的符印孔数量	解锁的符印合成类型	符印掉落物品id
101	1	1	第一层	通关第一层奖励	1000	0	60103001	0	0	0	4316
102	1	2	第二层	通关第二层奖励	1000	0	60103002	0	0	0	4316
103	1	3	第三层	通关第三层奖励	1000	0	60103003	0	0	0	4317
104	1	4	第四层	通关第四层奖励	5000	0	60103004	0	0	0	4317
105	1	5	第五层	通关第五层奖励	1000	0	60103005	0	0	0	4318
106	1	6	第六层	通关第六层奖励	1000	0	60103006	0	0	0	4318
107	1	7	第七层	通关第七层奖励	1000	0	60103007	0	0	0	4319
108	1	8	第八层	通关第八层奖励	5000	0	60103008	4314	0	0	4319
201	2	1	第一层	通关第一层奖励	1200	0	60103009	0	0	0	4311
202	2	2	第二层	通关第二层奖励	1200	0	60103010	0	0	0	4311
203	2	3	第三层	通关第三层奖励	1200	0	60103011	0	0	0	4312
204	2	4	第四层	通关第四层奖励	8400	0	60103012	0	1	0	4312
205	2	5	第五层	通关第五层奖励	1200	0	60103013	0	0	0	4313
206	2	6	第六层	通关第六层奖励	1200	0	60103014	0	0	0	4313
207	2	7	第七层	通关第七层奖励	1200	0	60103015	0	0	0	4314
208	2	8	第八层	通关第八层奖励	8400	0	60103016	4334	0	0	4314
301	3	1	第一层	通关第一层奖励	2000	0	60103017	0	0	0	4331
302	3	2	第二层	通关第二层奖励	2000	0	60103018	0	0	0	4331
303	3	3	第三层	通关第三层奖励	2000	0	60103019	0	0	0	4332
304	3	4	第四层	通关第四层奖励	14000	0	60103020	0	1	0	4332
305	3	5	第五层	通关第五层奖励	2000	0	60103021	0	0	0	4333
306	3	6	第六层	通关第六层奖励	2000	0	60103022	0	0	0	4333
307	3	7	第七层	通关第七层奖励	2000	0	60103023	0	0	0	4334
308	3	8	第八层	通关第八层奖励	14000	0	60103024	4394	0	0	4334
401	4	1	第一层	通关第一层奖励	3200	0	60103025	0	0	0	4391
402	4	2	第二层	通关第二层奖励	3200	0	60103026	0	0	0	4391
403	4	3	第三层	通关第三层奖励	3200	0	60103027	0	0	0	4392
404	4	4	第四层	通关第四层奖励	22400	0	60103028	0	1	0	4392
405	4	5	第五层	通关第五层奖励	3200	0	60103029	0	0	0	4393
