string	Vector3	float
SceneName	Rotation	Intensity
场景名称	旋转	强度
Map000_Xsdt	(66,210,0)	0.8
Map001_Sjz	(60,153,0)	0.8
Map002_Yg	(60,130,0)	0.8
Map003_Yjsz	(60,40,0)	0.8
Map004_Xyc	(60,130,0)	0.8
Map005_Bfhl	(55,50,0)	0.5
Map006_Mld	(55,50,0)	0.8
Map007_Jyzk	(55,30,0)	0.8
Map107_Shgm	(55,50,0)	0.6
Map008_Xmhj	(55,50,0)	0.8
Map101_Dtzz	(55,45,0)	0.8
Map102_Bzjyc	(55,120,0)	0.9
Map103_Bzjec	(55,30,0)	0.9
Map104_Mhsl	(55,180,0)	0.9
Map105_Ljzs	(55,50,0)	0.8
Map106_Xzgs	(55,50,0)	0.8
Map107_Shgm	(55,90,0)	0.9
Map108_Xjmj	(60,90,0)	0.6
Map109_Xsjq	(60,90,0)	0.6
Map110_Hwsm	(60,150,0)	0.6
Map111_Lqrz	(55,225,0)	0.8
Map112_Mqzd	(60,90,0)	0.9
Map113_Fyt	(55,180,0)	0.6
Map114_Bjkm	(55,60,0)	0.8
Map115_Gsjd	(55,140,0)	0.9
Map116_Sgzc	(60,140,0)	0.7
Map117_Swrh	(55,15,0)	0.8
Map118_Hlyy	(55,90,0)	0.8
Map119_Qlzf	(60,90,0)	0.8
Map121_Xmyh	(60,90,0)	0.8
Map122_Xmls	(55,150,0)	0.5
Map125_Shfb	(55,45,0)	0.9
Map126_JjfbB	(60,135,0)	0.9
Map127_JjfbA	(60,150,0)	0.5
Map128_Fmt	(55,100,0)	0.7
Map129_Grboss	(60,80,0)	1
Map201_Whmj_1	(55,75,0)	0.9
Map202_Whmj_2	(55,90,0)	1
Map203_Whmj_3	(55,150,0)	0.8
Map204_Whmj_4	(55,150,0)	0.9
Map205_Whmj_5	(55,150,0)	0.8
Map206_Whmj_6	(55,150,0)	0.8
Map207_Whmj_7	(55,40,0)	1
Map209_Zmsl_1	(55,40,0)	0.8
Map210_Zmsl_2	(55,40,0)	0.9
Map211_Zmsl_3	(55,40,0)	0.8
Map212_Zmsl_4	(55,30,0)	0.8
Map213_Zmsl_5	(60,140,0)	1
Map214_Zmsl_6	(60,90,0)	0.8
