int	int[]	int	int	int[]	int
RewardID	ItemID	IsBind	VipLv	OrdinaryNum	VipMultiple
编号ID	物品ID(左为首月，除此之外月份都是右边)	是否绑定	Vip等级	普通物品数量(左为首月，除此之外月份都是右边)	Vip倍数
1	1|1	1	0	1|1	1
2	13|13	1	2	1|1	2
3	1|145	1	3	1|1	3
4	911|13	1	0	1|1	1
5	1|146	1	4	1|1	4
6	1|1	1	0	1|1	1
7	13|13	1	5	1|1	5
8	145|145	1	6	1|1	6
9	911|13	1	0	1|1	1
10	145|146	1	7	1|1	7
11	1|1	1	0	1|1	1
12	13|13	1	2	1|1	2
13	1|145	1	3	1|1	3
14	911|13	1	0	1|1	1
15	1|146	1	4	1|1	4
16	1|1	1	0	1|1	1
17	13|13	1	5	1|1	5
18	145|145	1	6	1|1	6
19	911|13	1	0	1|1	1
20	145|146	1	7	1|1	7
21	1|1	1	0	1|1	1
22	13|13	1	2	1|1	2
23	1|145	1	3	1|1	3
24	911|13	1	0	1|1	1
25	1|146	1	4	1|1	4
26	1|1	1	0	1|1	1
27	13|13	1	5	1|1	5
28	145|145	1	6	1|1	6
29	911|13	1	0	1|1	1
30	145|146	1	7	1|1	7
