int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	string	string	string	int	int
SkillID	SkillName	SkillTypeID	SkillLV	SkillMaxLV	UseType	FuncType	CastTime	SkillType	HurtType	ContinueUse	AtkType	AtkRadius	Tag	AtkDist	StiffTime	CoolDownTime	MP	HP	 XP	UseItemID	UseItemCount	Effect1	EffectValue11	EffectValue12	EffectValue13	Effect2	EffectValue21	EffectValue22	EffectValue23	Effect3	EffectValue31	EffectValue32	EffectValue33	Effect4	EffectValue41	EffectValue42	EffectValue43	Effect5	EffectValue51	EffectValue52	EffectValue53	Effect6	EffectValue61	EffectValue62	EffectValue63	LearnSkillReq	LearnSkillLV	LearnLVReq	FightPower	    LVUpCostMoneyType	LVUpCostMoney	LVUpCostExp	ClientActionLimit	ClientSkillSeriesLimit	SkillOfSeries	ExpendMPRate	ExAttr1	ExAttr3	ExAttr4	ExAttr5	WarnInfo	CtrlActionID	BuffEffectID	EffectName	IconName	SkillNameIcon	Description	BuffDescription	Skillsource	Skillactmark	BuffDisplay
?	技能名称	技能TYPEID	技能等级	最高等级	使用职业	按功能分类	施法时间	技能类型	伤害类型	能否自动施法	释放方式	效果半径	释放对象	释放距离	僵持时间	冷却时间	消耗MP	消耗HP	消耗XP	消耗物品ID	消耗物品数量	技能效果1	效果a	效果b	效果c	技能效果2	效果a	效果b	效果c	技能效果3	效果a	效果b	效果c	技能效果4	效果a	效果b	效果c	技能效果5	效果a	效果b	效果c	技能效果6	效果a	效果b	效果c	前置技能ID	前置技能等级需求	等级需求	技能战力	技能升级消耗金钱类型	升级消耗货币	升级消耗经验	客户端动作行为限制字段,按位操作的	客户端技能系限制	技能所属的系	技能消耗MP的比率	关联技能typeID	技能有效地图	升级需求道具ID	升级需求道具数量	预警	buff控制对象动作mark	Buff特效文件名	特效名	技能ICON	无用	技能描述	Buff描述	技能来源	技能动作Mark	buff是否显示
100	普通攻击	100	1	1	2	8	0	1	0	0	2	6	40	5	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_100	-	普通攻击	普通攻击	-	10	0
101	普通攻击	101	1	1	2	8	0	1	0	0	12	13	40	5	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_101	-	普通攻击	普通攻击	-	11	0
102	普通攻击	102	1	1	2	8	0	1	0	0	2	6	40	5	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_102	-	普通攻击	普通攻击	-	12	0
103	普通攻击	103	1	1	2	8	0	1	0	0	12	13	40	5	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_103	-	普通攻击	普通攻击	-	13	0
150	灭世龙雀	150	1	1	2	1	0	13	0	0	16	0	40	4	0	60000	0	0	0	0	0	1060	50105017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1839	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	TB_JN_ZD_150	-	(PVE)召唤大范围烈火,对周围<color=#109d06FF>10</color>个怪物造成<color=#109d06FF>3</color>次伤害，每次造成<color=#109d06FF>150%</color>技能伤害(对野外小怪每次附加<color=#109d06FF>500%</color>技能伤害)	(PVE)召唤大范围烈火,对周围<color=#109d06FF>10</color>个怪物造成<color=#109d06FF>3</color>次伤害，每次造成<color=#109d06FF>150%</color>技能伤害(对野外小怪每次附加<color=#109d06FF>500%</color>技能伤害)	龙雀环	28	0
151	龙雀伤害	151	1	1	2	1	0	1	0	0	2	13	80	0	0	1000	0	0	0	0	0	1010	15000	0	0	9999	1000	0	0	1200	10	0	0	1009	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	1839	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	TB_JN_ZD_150	-	(PVE)召唤大范围烈火,对周围<color=#109d06FF>10</color>个怪物造成<color=#109d06FF>3</color>次伤害，每次造成<color=#109d06FF>150%</color>技能伤害(对野外小怪每次附加<color=#109d06FF>500%</color>技能伤害)	(PVE)召唤大范围烈火,对周围<color=#109d06FF>10</color>个怪物造成<color=#109d06FF>3</color>次伤害，每次造成<color=#109d06FF>150%</color>技能伤害(对野外小怪每次附加<color=#109d06FF>500%</color>技能伤害)	龙雀环	21	0
190	翻滚	190	1	1	0	10	0	0	0	0	9	0	40	8	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TB_JN_TY_190	-	翻滚	翻滚	-	99	0
200	普通攻击	200	1	1	4	8	0	1	0	0	12	13	40	7	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_200	-	普通攻击	普通攻击	-	10	0
201	普通攻击	201	1	1	4	8	0	1	0	0	12	13	40	7	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_201	-	普通攻击	普通攻击	-	11	0
