int	int	int	int	int	int	string	int	int[]	int	int[]	int	int	int	string	int
ID	ShopType	ShopSort	ItemID	ItemCnt	IsBind	ItemListEx	RefreshType	VIPLV	LV	PurchaseNumber	MoneyType	MoneyNumber	LimitValue	SalesStatus	TheOnlyShop
标识	商店类型	商品排序	物品ID	物品数量	是否绑定	附加物品列表	刷新类型	VIP等级限制	玩家等级限制	限购数量	购买货币类型	货币数量	限制条件	销售状态	唯一商品
1	1	4	6	1	1	[]	2	0	0	1	1	400	0	4zhe	
2	1	1	2200	1	1	[]	2	0	0	1	2	50	0	hot	
3	1	2	2201	1	1	[]	2	0	0	1	2	50	0	hot	
5	1	3	2213	1	1	[]	2	0|2|4|5|6|8	0	10|20|30|50|70|99	1	20	0	3zhe	
6	1	5	3504	1	1	[]	2	2	0	2	1	135	0	5zhe	
7	1	6	3514	1	1	[]	2	2	0	2	1	135	0	5zhe	
8	1	7	2204	1	1	[]	2	3	220	5	1	100	0	hot	
9	1	8	2203	1	1	[]	2	4|6|8	240	3|6|10	1	100	0	hot	
10	1	9	4187	1	1	[]	2	8	0	1	1	600	0	3zhe	
11	1	10	4188	1	1	[]	2	8	0	1	1	600	0	3zhe	
51	2		3796	1	0	[]	0	0	0	0	1	280	0	hot	
52	2		3797	1	0	[]	0	0	0	0	1	280	0	hot	
53	2		4101	1	0	[]	0	0	0	0	1	380	0	6zhe	
54	2		4102	1	0	[]	0	0	0	0	1	288	0	hot	
55	2		952	1	0	[]	0	0	0	0	1	25	0		
56	2		911	1	0	[]	0	0	0	0	1	15	0		
57	2		914	1	0	[]	0	0	0	0	1	20	0		
58	2		954	1	0	[]	0	0	0	0	1	1	0		
59	2		956	1	0	[]	0	0	250	0	1	10	0		
60	2		4001	1	0	[]	0	0	0	0	1	40	0		
61	2		4007	1	0	[]	0	0	200	0	1	80	0		
62	2		4004	1	0	[]	0	0	240	0	1	20	0		
63	2		957	1	0	[]	0	0	0	0	1	50	0		
64	2		2050	1	0	[]	0	0	0	0	1	50	0		
101	3		181	1	0	[]	0	0	0	0	1	10	0		
102	3		966	1	0	[]	0	0	0	0	1	88	0		
103	3		3501	1	0	[]	0	0	0	0	1	10	0		
104	3		3511	1	0	[]	0	0	0	0	1	10	0		
105	3		967	1	0	[]	0	0	300	0	1	128	0		
106	3		4202	1	1	[]	0	0	0	1	1	388	0		1
107	3		250	1	1	[]	0	0	0	1	1	388	0		1
108	3		4205	1	1	[]	0	0	120	1	1	988	0	6zhe	1
109	3		256	1	1	[]	0	0	120	1	1	988	0	6zhe	1
110	3		4207	1	1	[]	0	0	150	1	1	3888	0	4zhe	1
111	3		257	1	1	[]	0	0	150	1	1	3888	0	4zhe	1
151	4		181	1	1	[]	0	0	0	0	2	10	0		
152	4		952	1	1	[]	0	0	0	0	2	25	0		
153	4		4101	1	1	[]	0	0	0	0	2	688	0		
154	4		911	1	1	[]	0	0	0	0	2	15	0		
155	4		4202	1	1	[]	0	0	0	1	2	388	0		1
156	4		250	1	1	[]	0	0	0	1	2	388	0		1
157	4		4205	1	1	[]	0	0	120	1	2	1588	0		1
158	4		256	1	1	[]	0	0	120	1	2	1588	0		1
159	4		4207	1	1	[]	0	0	150	1	2	8888	0		1
160	4		257	1	1	[]	0	0	150	1	2	8888	0		1
161	4		914	1	1	[]	0	0	0	0	2	20	0		
162	4		956	1	1	[]	0	0	250	0	2	10	0		
163	4		4001	1	1	[]	0	0	0	0	2	40	0		
164	4		4007	1	1	[]	0	0	200	0	2	80	0		
165	4		4004	1	1	[]	0	0	250	0	2	20	0		
166	4		966	1	1	[]	0	0	0	0	2	88	0		
167	4		967	1	1	[]	0	0	300	0	2	128	0		
201	5		12	1	1	[]	4	0	0	1	16	120	0		
202	5		13	1	1	[]	4	0	0	1	16	200	0		
203	5		954	1	1	[]	4	0	0	20	16	5	0		
204	5		181	1	1	[]	4	0	0	6	16	100	0		
205	5		911	1	1	[]	4	0	0	1	16	100	0		
206	5		952	1	1	[]	4	0	0	1	16	200	0		
251	6		901	100	1	[]	0	0	0	0	3	3000	0		
252	6		902	100	1	[]	0	0	0	0	3	6000	0		
253	6		903	100	1	[]	0	0	0	0	3	15000	0		
254	6		904	100	1	[]	0	0	0	0	3	30000	0		
301	7		4314	1	0	[]	0	0	0	0	24	2400	0		
302	7		4315	1	0	[]	0	0	0	0	24	7800	0		
303	7		4319	1	0	[]	0	0	0	0	24	2400	0		
304	7		4320	1	0	[]	0	0	0	0	24	7800	0		
305	7		4324	1	0	[]	0	0	0	0	24	2400	0		
306	7		4325	1	0	[]	0	0	0	0	24	7800	0		
307	7		4329	1	0	[]	0	0	0	0	24	2400	0		
308	7		4330	1	0	[]	0	0	0	0	24	7800	0		
309	7		4334	1	0	[]	0	0	0	0	24	2400	0		
310	7		4335	1	0	[]	0	0	0	0	24	7800	0		
311	7		4339	1	0	[]	0	0	0	0	24	2400	0		
312	7		4340	1	0	[]	0	0	0	0	24	7800	0		
313	7		4344	1	0	[]	0	0	0	0	24	2400	0		
314	7		4345	1	0	[]	0	0	0	0	24	7800	0		
315	7		4349	1	0	[]	0	0	0	0	24	2400	0		
316	7		4350	1	0	[]	0	0	0	0	24	7800	0		
317	7		4354	1	0	[]	0	0	0	0	24	2400	0		
318	7		4355	1	0	[]	0	0	0	0	24	7800	0		
319	7		4359	1	0	[]	0	0	0	0	24	2400	0		
320	7		4360	1	0	[]	0	0	0	0	24	7800	0		
321	7		4364	1	0	[]	0	0	0	0	24	2400	0		
322	7		4365	1	0	[]	0	0	0	0	24	7800	0		
323	7		4369	1	0	[]	0	0	0	0	24	2400	0		
324	7		4370	1	0	[]	0	0	0	0	24	7800	0		
325	7		4374	1	0	[]	0	0	0	0	24	2400	0		
326	7		4375	1	0	[]	0	0	0	0	24	7800	0		
327	7		4379	1	0	[]	0	0	0	0	24	2400	0		
328	7		4380	1	0	[]	0	0	0	0	24	7800	0		
329	7		4384	1	0	[]	0	0	0	0	24	2400	0		
330	7		4385	1	0	[]	0	0	0	0	24	7800	0		
331	7		4389	1	0	[]	0	0	0	0	24	2400	0		
332	7		4390	1	0	[]	0	0	0	0	24	7800	0		
351	8		4611	1	1	[]	6	0	0	10	15	2	2		
352	8		4612	1	1	[]	6	0	0	10	15	2	2		
353	8		4613	1	1	[]	6	0	0	10	15	2	2		
354	8		4614	1	1	[]	6	0	0	10	15	2	2		
355	8		4615	1	1	[]	6	0	0	10	15	2	2		
356	8		4609	1	1	[]	6	0	0	2	15	50	3		
357	8		4610	1	1	[]	6	0	0	2	15	100	3		
358	8		912	1	1	[]	6	0	0	4	15	30	4		
359	8		252	1	1	[]	6	0	0	1	15	500	5		
401	9		191	1	1	[]	6	0	0	1	15	50	2		
402	9		192	1	1	[]	6	0	0	1	15	100	3		
403	9		193	1	1	[]	6	0	0	1	15	120	4		
404	9		194	1	1	[]	6	0	0	1	15	125	5		
405	9		195	1	1	[]	6	0	0	1	15	150	6		
406	9		196	1	1	[]	6	0	0	1	15	440	7		
501	11		4504	1	1	[]	0	0	100	0	25	20	0		
502	11		181	1	1	[]	0	0	0	0	25	10	0		
503	11		952	1	1	[]	0	0	0	0	25	25	0		
504	11		4101	1	1	[]	0	0	0	0	25	688	0		
505	11		4102	1	1	[]	0	0	0	0	25	288	0		
506	11		911	1	1	[]	0	0	0	0	25	15	0		
507	11		914	1	1	[]	0	0	0	0	25	20	0		
508	11		956	1	1	[]	0	0	0	0	25	10	0		
509	11		4001	1	1	[]	0	0	0	0	25	40	0		
510	11		4004	1	1	[]	0	0	0	0	25	20	0		
511	11		966	1	1	[]	0	0	0	0	25	88	0		
512	11		967	1	1	[]	0	0	0	0	25	128	0		
513	11		221	1	1	[]	0	0	0	1	25	50	0		
514	11		223	1	1	[]	0	0	0	1	25	80	0		
515	11		225	1	1	[]	0	0	0	1	25	140	0		
516	11		232	1	1	[]	0	0	0	1	25	640	0		
651	14		57	1	1	[[5,1,1],[181,20,1],[912,1,1]]	0	0	0	1	1	188	0		
652	14		4208	1	1	[[4151,40,1],[5,1,1],[913,1,1]]	0	0	0	1	1	388	0		
653	14		255	1	1	[[195,1,1],[181,100,1],[913,1,1]]	0	0	0	1	1	1088	0		
701	15		4181	1	1	[[3,1,1],[4151,5,1],[13,2,1]]	0	0	0	1	1	188	0		
702	15		4185	1	1	[[913,1,1],[4151,10,1],[4,1,1]]	0	0	0	1	1	288	0		
703	15		912	1	1	[[4,1,1],[102,5,1],[923,1,1]]	0	0	0	1	1	188	0		
704	15		194	2	1	[[5,1,1],[102,5,1],[2213,1,1]]	0	0	0	1	1	288	0		
705	15		2213	2	1	[[912,1,1],[181,15,1],[13,1,1]]	0	0	0	1	1	188	0		
