int	int[]	int[]	string[]	int[]	int[]	string[]	int
TaskID	NpcID	TalkNum	content	Speaker1	Speaker2	NpcIcon	TaskMusic
任务ID	NpcID1|NpcID2	对话总条数	每条对话的内容	每条对话的人物1	每条对话的人物2	NPC半身像ICON	剧情对话音效ID
101010	10104003	1	101010_on_visit_10104003_{0}_1	1	1	Body_N999	638
101020	10104004	1	101020_on_visit_10104004_{0}_1	1	1	Body_N020	639
101030	10104005	1	101030_on_visit_10104005_{0}_1	1	1	Body_N012	640
101040	10104006	1	101040_on_visit_10104006_{0}_1	1	1	Body_N001	641
101050	10104007	3	101050_on_visit_10104007_{0}_1	1|0|0	1	Body_N003	642
101060	10104008	1	101060_on_visit_10104008_{0}_1	1	1	Body_N999	643
101070	10104009	1	101070_on_visit_10104009_{0}_1	1	1	Body_N999	0
101080	10104009	1	101080_on_visit_10104009_{0}_1	1	1	Body_N999	644
101090	10104010	1	101090_on_visit_10104010_{0}_1	1	1	Body_N010	645
101100	10104010	1	101100_on_visit_10104010_{0}_1	1	1	Body_N006	645
101110	10104011	1	101110_on_visit_10104011_{0}_1	1	1	Body_N006	647
101120	10104012	1	101120_on_visit_10104012_{0}_1	1	1	Body_N999	648
101130	10104013	1	101130_on_visit_10104013_{0}_1	1	1	Body_N999	649
102010	10204001	2	102010_on_visit_10204001_{0}_1	1|0	1	Body_N999	0
102020	10204002	1	102020_on_visit_10204002_{0}_1	1	1	Body_N999	650
102030	10204003	1	102030_on_visit_10204003_{0}_1	1	1	Body_N009	0
102040	10204004	1	102040_on_visit_10204004_{0}_1	1	1	Body_N999	658
102050	10204005	1	102050_on_visit_10204005_{0}_1	1	1	Body_N999	0
102060	10204006	1	102060_on_visit_10204006_{0}_1	1	1	Body_N010	674
102070	10204007	2	102070_on_visit_10204007_{0}_1	1|1	1	Body_N011	0
102080	10204008	1	102080_on_visit_10204008_{0}_1	1	1	Body_N013	657
102090	10204009	1	102090_on_visit_10204009_{0}_1	1	1	Body_N013	0
102100	10204010	2	102100_on_visit_10204010_{0}_1	1|0	1	Body_N999	0
102110	10204011	1	102110_on_visit_10204011_{0}_1	1	1	Body_N999	651
102120	10204012	1	102120_on_visit_10204012_{0}_1	1	1	Body_N999	0
102130	10204013	1	102130_on_visit_10204013_{0}_1	1	1	Body_N010	660
102140	10204014	1	102140_on_visit_10204014_{0}_1	1	1	Body_N999	0
102150	10204015	1	102150_on_visit_10204015_{0}_1	1	1	Body_N999	672
102160	10204016	1	102160_on_visit_10204016_{0}_1	1	1	Body_N999	685
102170	10204017	1	102170_on_visit_10204017_{0}_1	1	1	Body_N1000	659
103010	10304001	1	103010_on_visit_10304001_{0}_1	1	1	Body_N999	673
103020	10304002	1	103020_on_visit_10304002_{0}_1	1	1	Body_N012	661
103030	10304003	1	103030_on_visit_10304003_{0}_1	1	1	Body_N028	0
103040	10304003|32504001	1|1	103040_on_visit_10304003_{0}_1|103040_on_visit_32504001_{0}_1	1	1	Body_N011|Body_N011	0
103050	10304003	1	103050_on_visit_10304003_{0}_1	1	1	Body_N028	0
103060	10304004	1	103060_on_visit_10304004_{0}_1	1	1	Body_N999	652
103070	10304005	1	103070_on_visit_10304005_{0}_1	1	1	Body_N999	0
103080	10304006	1	103080_on_visit_10304006_{0}_1	1	1	Body_N015	0
103090	10304007	1	103090_on_visit_10304007_{0}_1	1	1	Body_N999	0
103100	10304008	1	103100_on_visit_10304008_{0}_1	1	1	Body_N017	664
103110	10304009	1	103110_on_visit_10304009_{0}_1	1	1	Body_N999	0
103120	10304010	1	103120_on_visit_10304010_{0}_1	1	1	Body_N999	0
103130	10304011	1	103130_on_visit_10304011_{0}_1	1	1	Body_N015	683
103140	10304012	1	103140_on_visit_10304012_{0}_1	1	1	Body_N999	0
103150	10304013	1	103150_on_visit_10304013_{0}_1	1	1	Body_N999	661
103160	10304014	1	103160_on_visit_10304014_{0}_1	1	1	Body_N999	653
103170	10304015	1	103170_on_visit_10304015_{0}_1	1	1	Body_N999	0
103180	10304016	1	103180_on_visit_10304016_{0}_1	1	1	Body_N999	684
103190	10304017	1	103190_on_visit_10304017_{0}_1	1	1	Body_N999	662
104010	10404001	3	104010_on_visit_10404001_{0}_1	1|1|0	1	Body_N001	663
104020	10404001	1	104020_on_visit_10404001_{0}_1	1	1	Body_N020	0
104030	10404001	1	104030_on_visit_10404001_{0}_1	1	1	Body_N020	0
104040	10404002	1	104040_on_visit_10404002_{0}_1	1	1	Body_N017	0
104050	10404003	1	104050_on_visit_10404003_{0}_1	1	1	Body_N999	675
104060	10404004	1	104060_on_visit_10404004_{0}_1	1	1	Body_N999	0
104070	10404005	1	104070_on_visit_10404005_{0}_1	1	1	Body_N999	683
104080	10404006	1	104080_on_visit_10404006_{0}_1	1	1	Body_N019	0
104090	10404007	1	104090_on_visit_10404007_{0}_1	1	1	Body_N011	0
104100	10404008	1	104100_on_visit_10404008_{0}_1	1	1	Body_N999	685
104110	10404009	1	104110_on_visit_10404009_{0}_1	1	1	Body_N999	0
104120	10404010	1	104120_on_visit_10404010_{0}_1	1	1	Body_N999	662
104130	10404011	1	104130_on_visit_10404011_{0}_1	1	1	Body_N017	0
104140	10404012	1	104140_on_visit_10404012_{0}_1	1	1	Body_N017	654
104150	10404013	1	104140_on_visit_10404012_{0}_1	1	1	Body_N017	0
104151	10404013	1	104151_on_visit_10404013_{0}_1	1	1	Body_N017	0
104160	10404014	1	104160_on_visit_10404014_{0}_1	1	1	Body_N017	665
104170	10404015	1	104170_on_visit_10404015_{0}_1	1	1	Body_N017	0
105010	10504001	3	105010_on_visit_10504001_{0}_1	1|1|0	1	Body_N017	666
105020	10504002	1	105020_on_visit_10504002_{0}_1	1	1	Body_N017	0
105030	10504003	1	105030_on_visit_10504003_{0}_1	1	1	Body_N017	0
105040	10504004	1	105040_on_visit_10504004_{0}_1	1	1	Body_N017	0
105050	10504005	1	105050_on_visit_10504005_{0}_1	1	1	Body_N017	0
105060	10504006	1	105060_on_visit_10504006_{0}_1	1	1	Body_N017	0
105070	10504007	1	105070_on_visit_10504007_{0}_1	1	1	Body_N017	669
105080	10504008	1	105080_on_visit_10504008_{0}_1	1	1	Body_N017	655
105090	10504009	1	105090_on_visit_10504009_{0}_1	1	1	Body_N017	660
105100	10504010	1	105100_on_visit_10504010_{0}_1	1	1	Body_N017	0
105110	10504011	1	105110_on_visit_10504011_{0}_1	1	1	Body_N017	667
105120	10504012	1	105120_on_visit_10504012_{0}_1	1	1	Body_N017	674
105130	10504013	1	105130_on_visit_10504013_{0}_1	1	1	Body_N017	668
105140	10504014	1	105140_on_visit_10504014_{0}_1	1	1	Body_N017	0
105150	10504015	1	105150_on_visit_10504015_{0}_1	1	1	Body_N017	0
106010	10604001	3	106010_on_visit_10604001_{0}_1	1|1|1	1	Body_N017	0
106020	10604002	1	106020_on_visit_10604002_{0}_1	1	1	Body_N017	0
106030	10604003	1	106030_on_visit_10604003_{0}_1	1	1	Body_N017	671
106040	10604004	1	106040_on_visit_10604004_{0}_1	1	1	Body_N017	656
106050	10604005	1	106050_on_visit_10604005_{0}_1	1	1	Body_N017	0
106060	10604006	1	106060_on_visit_10604006_{0}_1	1	1	Body_N017	0
106070	10604007	1	106070_on_visit_10604007_{0}_1	1	1	Body_N017	673
106080	10604008	1	106080_on_visit_10604008_{0}_1	1	1	Body_N017	670
106090	10604009	1	106090_on_visit_10604009_{0}_1	1	1	Body_N017	0
106100	10604010	1	106100_on_visit_10604010_{0}_1	1	1	Body_N017	0
106110	10604011	1	106110_on_visit_10604011_{0}_1	1	1	Body_N017	0
106120	10604012	1	106120_on_visit_10604012_{0}_1	1	1	Body_N017	0
106130	10604013	1	106130_on_visit_10604013_{0}_1	1	1	Body_N017	0
106140	10604014	1	106140_on_visit_10604014_{0}_1	1	1	Body_N017	0
106150	10604015	1	106150_on_visit_10604015_{0}_1	1	1	Body_N017	0
